Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
6309,Berkshire Medical Center,AcuteHospital,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$147,441,176 ",,"$3,801,645 ","$56,149,008 ",,,,"$26,212,786 ","$233,604,615 ","$273,487,333 ",,,,"$662,167,488 ","$456,161,495 ","$206,005,993 ","$18,975,009 ","$498,468,335 ","$732,072,950 ","$3,068,570 ","$47,647,946 ","$31,499,142 ","$67,494,355 ","$149,710,013 ","$60,898,378 ",,"$64,286,036 ","$125,184,414 ","$274,894,427 ","$422,433,000 ","$26,862,321 ","$7,883,202 ","$457,178,523 ","$732,072,950 ","$410,577,568 ",,"$91,668,193 ","$14,728,625 ","$5,709,417 ",,"$522,683,803 ","$21,180,987 ",,,"$141,069 ",,"$21,322,056 ","$544,005,859 ","$274,568,810 ",,"$32,185,505 ","$2,487,278 ","$4,601,402 ","$205,288,392 ",,"$519,131,387 ","$24,874,472 ","($30,462,050)","$386,091 ","($5,201,487)",,,"($5,201,487)",0.70%,3.90%,4.60%,1.6,50,77,10.7,27.10%,62.40%,14,"$4,436,430 ",-3.20%,4.10%,0.80%
8,Fairview Hospital,AcuteHospital,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$42,758 ",,"$191,631 ","$8,271,598 ","$10,637,467 ",,,"$1,585,209 ","$20,728,663 ","$30,915,567 ",,,,"$43,680,483 ","$29,698,804 ","$13,981,679 ","$22,527 ","$44,919,773 ","$65,648,436 ","$156,430 ","$11,780,752 ",,"$4,690,102 ","$16,627,284 ","$3,071,725 ",,"$7,312,312 ","$10,384,037 ","$27,011,321 ","$33,918,660 ","$4,460,213 ","$258,242 ","$38,637,115 ","$65,648,436 ","$53,957,031 ",,"$3,170,393 ","$5,554,218 ","$15,750 ",,"$62,697,392 ","$1,919,962 ",,,"$747,928 ",,"$2,667,890 ","$65,365,282 ","$35,509,100 ",,"$2,467,255 ","$125,026 ","$518,558 ","$27,525,436 ",,"$66,145,375 ","($780,093)","($2,215,745)",,"($2,995,838)",,,"($2,995,838)",-5.30%,4.10%,-1.20%,1.2,56,28,6.4,8.60%,58.90%,12,"($6,350,061)",-15.10%,4.50%,-10.60%
3106,"Berkshire Health Systems, Inc.",HHS,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$162,361,785 ",,"$3,993,276 ","$68,022,115 ",,,,"$31,295,714 ","$265,672,890 ","$314,797,336 ",,,,"$441,396,993 ","$220,688,415 ","$220,708,578 ","$12,869,056 ","$548,374,970 ","$814,047,860 ","$3,225,000 ","$63,951,579 ",,"$87,745,383 ","$154,921,962 ","$63,970,103 ",,"$94,252,188 ","$158,222,291 ","$313,144,253 ","$461,439,629 ","$31,322,534 ","$8,141,444 ","$500,903,607 ","$814,047,860 ","$508,479,854 ",,"$111,158,089 ","$21,760,519 ","$5,700,167 ",,"$647,098,629 ","$23,504,278 ",,,"$1,526,043 ",,"$25,030,321 ","$672,128,950 ","$418,990,072 ",,"$34,665,845 ","$2,613,159 ","$5,119,960 ","$220,294,328 ",,"$681,683,364 ","($9,554,414)",,"($355,445)","($9,909,859)",,,"($9,909,859)",-5.10%,3.70%,-1.40%,1.7,49,51,4.7,11.50%,61.50%,6,"($37,015,100)",-9.60%,3.90%,-5.70%
11794,Berkshire Faculty Services,PhysicianOrganization,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$32,558,126 ",,"$11,091,646 ","$1,477,676 ",,,"$45,127,448 ",,,,,,-,"$45,127,448 ","$53,233,518 ",,,,,"$21,118,127 ",,"$74,351,645 ","($29,224,197)","$29,224,197 ",,,,,-,-64.80%,,-64.80%,-,,,0,,,0,"($30,701,873)",-70.30%,,-70.30%
12118,Berkshire Orthopaedic Associates,PhysicianOrganization,3106,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$11,362,129 ",,"$620,129 ",,,,"$11,982,258 ",,,,,,-,"$11,982,258 ","$13,941,493 ",,,$855 ,,"$2,955,492 ",,"$16,897,840 ","($4,915,582)","$3,453,598 ","($741,536)","($2,203,520)",,,"($2,203,520)",-41.00%,,-41.00%,-,,,"-5,748.20",,,0,"($4,915,582)",-41.00%,,-41.00%
39,Cape Cod Hospital,AcuteHospital,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$15,108,274 ","$121,723,441 ","$2,563,718 ","$49,234,670 ","$72,855,260 ",,,"$20,360,842 ","$281,846,205 ","$35,944,049 ",,,,"$474,812,620 ","$272,466,239 ","$202,346,381 ","$262,605,918 ","$500,896,348 ","$782,742,553 ","$9,595,986 ","$20,248,507 ","$3,912,941 ","$164,557,212 ","$198,314,646 ","$95,454,300 ",,"$665,048 ","$96,119,348 ","$294,433,994 ","$452,364,510 ","$35,944,049 ",,"$488,308,559 ","$782,742,553 ","$536,525,409 ",,"$8,354,742 ","$30,285,139 ",,"$1,425,588 ","$576,590,878 ","$3,455,196 ","$733,633 ","$115,694 ","$1,705,333 ",,"$6,009,856 ","$582,600,734 ","$298,767,333 ",,"$33,807,667 ","$4,000,322 ","$6,751,484 ","$211,712,490 ",,"$555,039,296 ","$27,561,438 ","($27,462,429)","$1,086,529 ","$1,185,538 ",,"$7,161,592 ","$8,347,130 ",3.70%,1.00%,4.70%,1.4,33,125,4.8,20.90%,62.40%,8,"($2,723,701)",-1.60%,1.10%,-0.50%
40,Falmouth Hospital,AcuteHospital,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$2,497,431 ","$31,486,142 ","$480,649 ","$13,733,599 ","$214,965 ",,,"$5,727,159 ","$54,139,945 ","$17,655,992 ",,,,"$184,200,728 ","$108,772,875 ","$75,427,853 ","$165,590,433 ","$258,674,278 ","$312,814,223 ","$2,224,296 ","$4,261,538 ","$841,294 ","$44,709,313 ","$52,036,441 ","$23,227,619 ",,,"$23,227,619 ","$75,264,060 ","$219,894,171 ","$17,655,992 ",,"$237,550,163 ","$312,814,223 ","$157,997,520 ",,"$2,397,861 ","$9,828,349 ",,"$692,755 ","$170,916,485 ","$2,202,822 ","$254,430 ",,"$1,001,867 ",,"$3,459,119 ","$174,375,604 ","$93,984,209 ",,"$7,711,089 ","$1,126,484 ","$2,215,862 ","$58,782,749 ",,"$163,820,393 ","$10,555,211 ","($8,877,446)","$746,841 ","$2,424,606 ",,"$4,670,632 ","$7,095,238 ",4.10%,2.00%,6.10%,1,32,112,5.8,24.30%,75.90%,14,"$726,862 ",-1.70%,2.10%,0.40%
3109,"Cape Cod Healthcare, Inc.",HHS,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$75,883,420 ","$202,110,781 ","$8,179,557 ","$80,313,108 ",,,,"$49,808,000 ","$416,294,866 ","$59,485,876 ","$7,225,426 ",,,"$813,457,553 ","$454,346,056 ","$359,111,497 ","$526,273,259 ","$952,096,058 ","$1,368,390,924 ","$12,135,191 ","$24,571,085 ",,"$313,678,708 ","$350,384,984 ","$122,443,308 ",,"$51,096,321 ","$173,539,629 ","$523,924,613 ","$772,039,932 ","$72,426,379 ",,"$844,466,311 ","$1,368,390,924 ","$833,337,773 ",,"$52,056,208 ","$52,074,339 ",,"$2,926,535 ","$940,394,855 ","$6,752,250 ","$4,038,588 ","$115,694 ","$4,645,675 ",,"$15,552,207 ","$955,947,062 ","$576,107,785 ",,"$56,674,202 ","$5,442,134 ","$8,967,346 ","$304,064,128 ",,"$951,255,595 ","$4,691,467 ",,"$3,211,592 ","$7,903,059 ",,"$12,622,572 ","$20,525,631 ",-1.10%,1.60%,0.50%,1.2,35,133,3.8,13.00%,61.70%,8,"($47,382,872)",-7.00%,1.70%,-5.20%
11810,Medical Affiliates of Cape Cod Inc,PhysicianOrganization,3109,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$76,227,440 ",,"$1,355,930 ","$2,390,406 ",,"$11,320 ","$79,985,096 ",,,,,,-,"$79,985,096 ","$85,297,706 ",,"$2,686,590 ",$337 ,,"$27,510,248 ",,"$115,494,881 ","($35,509,785)","$35,509,785 ",,,,,-,-44.40%,,-44.40%,-,,,"-97,397.20",,,0,"($37,900,191)",-48.80%,,-48.80%
91,Massachusetts General Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$588,540,000 ","$14,034,000 ","$128,671,000 ","$325,063,000 ",,,"$21,433,000 ","$175,831,000 ","$1,253,572,000 ","$261,114,000 ","$47,629,000 ","$1,339,271,000 ",,"$4,077,867,000 ","$2,278,521,000 ","$1,799,346,000 ","$485,214,000 ","$3,932,574,000 ","$5,186,146,000 ","$53,429,000 ","$372,636,000 ","$101,055,000 ","$481,612,000 ","$1,008,732,000 ","$612,803,000 ",,"$754,009,000 ","$1,366,812,000 ","$2,375,544,000 ","$1,382,012,000 ","$1,428,590,000 ",,"$2,810,602,000 ","$5,186,146,000 ","$2,954,608,000 ",,"$1,360,745,000 ","$202,936,000 ","$19,000 ",,"$4,518,308,000 ","$755,000 ","$2,000 ",,"($260,000)",,"$497,000 ","$4,518,805,000 ","$1,562,693,000 ",,"$221,831,000 ","$27,521,000 ","$27,325,000 ","$2,443,146,000 ",,"$4,282,516,000 ","$236,289,000 ","($209,279,000)","$27,345,000 ","$54,355,000 ","($2,613,000)",,"$51,742,000 ",5.20%,,5.20%,1.2,40,57,6,28.30%,54.20%,10,"$33,334,000 ",0.80%,,0.80%
22,Brigham and Women's Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$461,623,000 ",,"$218,111,000 ","$270,482,000 ",,,"$7,208,000 ","$165,826,000 ","$1,123,250,000 ","$32,052,000 ","$74,087,000 ",,,"$3,306,027,000 ","$1,583,324,000 ","$1,722,703,000 ","$652,932,000 ","$2,481,774,000 ","$3,605,024,000 ","$126,547,000 ","$272,838,000 ","$63,764,000 ","$474,898,000 ","$938,047,000 ","$1,537,427,000 ",,"$348,876,000 ","$1,886,303,000 ","$2,824,350,000 ","$398,444,000 ","$382,230,000 ",,"$780,674,000 ","$3,605,024,000 ","$2,282,609,000 ",,"$839,002,000 ","$96,499,000 ","$76,000 ",,"$3,218,186,000 ","$822,000 ","($18,000)",,"($136,000)",,"$668,000 ","$3,218,854,000 ","$1,149,245,000 ",,"$193,734,000 ","$55,049,000 ","$21,154,000 ","$1,722,127,000 ",,"$3,141,309,000 ","$77,545,000 ","($314,143,000)","$34,271,000 ","($202,327,000)","($6,315,000)",,"($208,642,000)",2.40%,,2.40%,1.2,43,82,1.8,11.00%,21.70%,8,"($19,030,000)",-0.60%,,-0.60%
59,Brigham and Women's Faulkner Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$75,167,000 ","$89,000 ",,"$27,318,000 ",,,"$1,166,000 ","$5,674,000 ","$109,414,000 ",,"$108,000 ",,,"$235,591,000 ","$133,673,000 ","$101,918,000 ","$7,546,000 ","$109,572,000 ","$218,986,000 ","$2,120,000 ","$42,276,000 ","$16,955,000 ","$25,186,000 ","$86,537,000 ","$6,791,000 ",,"$8,249,000 ","$15,040,000 ","$101,577,000 ","$113,118,000 ","$4,291,000 ",,"$117,409,000 ","$218,986,000 ","$277,513,000 ",,"$7,503,000 ","$27,980,000 ","$36,000 ",,"$313,032,000 ","$179,000 ","($5,000)",,"($40,000)",,"$134,000 ","$313,166,000 ","$155,767,000 ",,"$14,307,000 ","$425,000 ","$2,076,000 ","$119,694,000 ",,"$292,269,000 ","$20,897,000 ","($6,894,000)","$20,000 ","$14,023,000 ","($175,000)",,"$13,848,000 ",6.60%,,6.70%,1.3,36,58,14,37.70%,53.60%,9,"($7,119,000)",-2.50%,,-2.50%
345,North Shore Medical Center,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$177,833,000 ",,"($272,000)","$36,691,000 ",,,"$5,197,000 ","$8,337,000 ","$227,786,000 ","$1,186,000 ","$590,000 ",,,"$602,103,000 ","$226,415,000 ","$375,688,000 ","$53,760,000 ","$431,224,000 ","$659,010,000 ","$8,135,000 ","$59,708,000 ","$26,899,000 ","$44,648,000 ","$139,390,000 ","$169,028,000 ",,"$19,253,000 ","$188,281,000 ","$327,671,000 ","$286,253,000 ","$45,086,000 ",,"$331,339,000 ","$659,010,000 ","$430,883,000 ",,"$23,347,000 ","$64,521,000 ","$5,682,000 ",,"$524,433,000 ","$481,000 ",,,"$1,246,000 ",,"$1,727,000 ","$526,160,000 ","$255,420,000 ",,"$33,417,000 ","$7,139,000 ","$2,943,000 ","$176,044,000 ",,"$474,963,000 ","$51,197,000 ","$596,096,000 ","$2,892,000 ","$650,185,000 ","($1,424,000)",,"$648,761,000 ",9.40%,0.30%,9.70%,1.6,31,66,6,27.40%,50.30%,7,"($19,006,000)",-4.50%,0.40%,-4.20%
105,Newton-Wellesley Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$85,001,000 ","$8,698,000 ","$49,000 ","$45,129,000 ",,,"$1,245,000 ","$12,579,000 ","$152,701,000 ","$4,193,000 ","$908,000 ",,,"$548,871,000 ","$311,548,000 ","$237,323,000 ","$113,566,000 ","$355,990,000 ","$508,691,000 ","$18,574,000 ","$65,604,000 ","$16,882,000 ","$50,335,000 ","$151,395,000 ","$177,203,000 ",,"$52,409,000 ","$229,612,000 ","$381,007,000 ","$42,788,000 ","$84,896,000 ",,"$127,684,000 ","$508,691,000 ","$480,861,000 ",,"$23,692,000 ","$37,278,000 ",,,"$541,831,000 ","$80,000 ",,,"($2,176,000)",,"($2,096,000)","$539,735,000 ","$274,018,000 ",,"$33,374,000 ","$4,320,000 ","$5,127,000 ","$248,525,000 ",,"$565,364,000 ","($25,629,000)","($9,770,000)","$558,000 ","($34,841,000)","$207,000 ",,"($34,634,000)",-4.40%,-0.40%,-4.70%,1,34,59,0.5,2.40%,25.10%,9,"($62,907,000)",-12.10%,-0.40%,-12.50%
50,Cooley Dickinson Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$27,236,000 ","($30,065,000)","$30,192,000 ","$14,006,000 ",,,,"$4,297,000 ","$45,666,000 ","$6,253,000 ",,"$9,817,000 ",,"$200,032,000 ","$117,566,000 ","$82,466,000 ","$15,577,000 ","$114,113,000 ","$159,779,000 ","$4,828,000 ","$36,509,000 ","$1,462,000 ","$19,679,000 ","$62,478,000 ","$34,022,000 ",,"$23,434,000 ","$57,456,000 ","$119,934,000 ","$30,028,000 ","$9,817,000 ",,"$39,845,000 ","$159,779,000 ","$185,860,000 ",,"$4,586,000 ","$9,144,000 ",,,"$199,590,000 ","$8,000 ",,,"$166,000 ",,"$174,000 ","$199,764,000 ","$97,981,000 ",,"$12,127,000 ","$1,722,000 ","$1,110,000 ","$87,631,000 ",,"$200,571,000 ","($807,000)","($13,111,000)","$138,000 ","($13,780,000)",,,"($13,780,000)",-0.50%,0.10%,-0.40%,0.7,28,50,2,11.70%,24.90%,10,"($9,951,000)",-5.30%,0.10%,-5.20%
88,Martha's Vineyard Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$39,179,000 ","$4,060,000 ","$27,102,000 ","$6,262,000 ",,,"$2,448,000 ",,"$79,051,000 ","$37,542,000 ",,,,"$114,186,000 ","$58,948,000 ","$55,238,000 ","$15,999,000 ","$108,779,000 ","$187,830,000 ","$12,000 ","$31,423,000 ","$1,573,000 ","$8,068,000 ","$41,076,000 ","$222,000 ",,"$8,706,000 ","$8,928,000 ","$50,004,000 ","$124,229,000 ","$13,597,000 ",,"$137,826,000 ","$187,830,000 ","$94,012,000 ",,"$3,536,000 ","$6,664,000 ","$92,000 ",,"$104,304,000 ","$3,137,000 ","$990,000 ",,"$1,207,000 ",,"$5,334,000 ","$109,638,000 ","$58,891,000 ",,"$6,205,000 ","$7,000 ","$340,000 ","$34,214,000 ",,"$99,657,000 ","$9,981,000 ","($1,568,000)",,"$8,413,000 ","$4,000 ",,"$8,417,000 ",4.20%,4.90%,9.10%,1.9,24,38,852.3,39.20%,73.40%,10,"$3,225,000 ",-2.00%,5.20%,3.10%
101,Nantucket Cottage Hospital,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$7,448,000 ","($5,823,000)","$5,823,000 ","$5,593,000 ","$2,037,000 ",,"$114,000 ","$9,127,000 ","$24,319,000 ","$2,865,000 ","$9,036,000 ",,,"$124,467,000 ","$28,667,000 ","$95,800,000 ","$35,092,000 ","$142,793,000 ","$167,112,000 ","$81,000 ","$3,589,000 ",,"$4,562,000 ","$8,232,000 ","$1,969,000 ",,"$1,335,000 ","$3,304,000 ","$11,536,000 ","$105,637,000 ","$49,939,000 ",,"$155,576,000 ","$167,112,000 ","$51,190,000 ",,"$1,114,000 ","$4,394,000 ","$608,000 ",,"$57,306,000 ","$25,000 ","$1,203,000 ",,"$4,029,000 ",,"$5,257,000 ","$62,563,000 ","$33,275,000 ",,"$5,615,000 ","$104,000 ","$256,000 ","$24,625,000 ",,"$63,875,000 ","($1,312,000)","($8,000,000)","$11,266,000 ","$1,954,000 ","($8,000)",,"$1,946,000 ",-10.50%,8.40%,-2.10%,3,40,29,23.8,42.20%,93.10%,5,"($6,314,000)",-20.10%,9.10%,-11.00%
89,Massachusetts Eye and Ear Infirmary,AcuteHospital,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$49,948,000 ","$7,804,000 ","$6,193,000 ","$15,704,000 ",,,,"$11,449,000 ","$91,098,000 ","$4,585,000 ",,,,"$283,034,000 ","$138,313,000 ","$144,721,000 ","$55,707,000 ","$205,013,000 ","$296,111,000 ","$6,894,000 ","$31,398,000 ","$3,857,000 ","$37,157,000 ","$79,306,000 ","$127,934,000 ",,"$69,075,000 ","$197,009,000 ","$276,315,000 ","$19,796,000 ",,,"$19,796,000 ","$296,111,000 ","$190,832,000 ",,"$67,143,000 ","$9,060,000 ",,,"$267,035,000 ","$389,000 ","($2,180,000)",,"$213,000 ",,"($1,578,000)","$265,457,000 ","$84,136,000 ",,"$20,239,000 ","$5,316,000 ","$1,642,000 ","$179,548,000 ",,"$290,881,000 ","($25,424,000)","($5,811,000)","$1,565,000 ","($29,670,000)","($7,000)",,"($29,677,000)",-9.00%,-0.60%,-9.60%,1.1,30,65,0,-2.50%,6.70%,7,"($34,484,000)",-12.80%,-0.60%,-13.40%
3791,Mass General Brigham,HHS,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$2,129,189,000 ","$1,142,275,000 ","$4,424,436,000 ","$983,273,000 ",,,"$70,633,000 ","$668,130,000 ","$9,417,936,000 ","$5,168,054,000 ","$256,345,000 ",,,"$12,326,630,000 ","$5,915,513,000 ","$6,411,117,000 ","$3,786,911,000 ","$15,622,427,000 ","$25,040,363,000 ","$436,166,000 ","$1,080,524,000 ",,"$2,668,920,000 ","$4,185,610,000 ","$5,964,310,000 ",,"$4,270,149,000 ","$10,234,459,000 ","$14,420,069,000 ","$8,099,064,000 ","$2,521,230,000 ",,"$10,620,294,000 ","$25,040,363,000 ","$9,609,196,000 ",,"$3,893,601,000 ","$546,373,000 ","$9,457,000 ",,"$14,058,627,000 ","$612,355,000 ","($76,328,000)",,"$78,001,000 ",,"$614,028,000 ","$14,672,655,000 ","$7,678,213,000 ",,"$742,187,000 ","$192,576,000 ","$61,973,000 ","$5,734,191,000 ",,"$14,409,140,000 ","$263,515,000 ",,"$100,474,000 ","$363,989,000 ","$376,740,000 ",,"$740,729,000 ",-2.40%,4.20%,1.80%,2.3,37,83,1.9,9.90%,42.40%,8,"($292,315,000)",-6.40%,4.30%,-2.10%
8745,Partners Community Physician Organization,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$74,209,000 ",,"$47,158,000 ","$2,055,000 ",,,"$123,422,000 ","$2,503,000 ",,,,,"$2,503,000 ","$125,925,000 ","$75,714,000 ",,"$4,360,000 ","$8,000 ",,"$65,966,000 ",,"$146,048,000 ","($20,123,000)","$3,753,000 ",,"($16,370,000)",,,"($16,370,000)",-18.00%,2.00%,-16.00%,-,,,"-1,969.40",,,0,"($22,178,000)",-19.90%,2.00%,-17.90%
11002,Massachusetts General Hospital Physicians Organization,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$777,486,000 ",,"$377,561,000 ","$21,354,000 ",,,"$1,176,401,000 ","$36,649,000 ",,,"($2,031,000)",,"$34,618,000 ","$1,211,019,000 ","$1,024,601,000 ",,"$13,578,000 ","$1,732,000 ",,"$155,001,000 ",,"$1,194,912,000 ","$16,107,000 ","($20,785,000)",,"($4,678,000)","($747,000)",,"($5,425,000)",-1.50%,2.90%,1.30%,-,,,18.1,,,0,"($5,247,000)",-3.40%,2.90%,-0.40%
10996,Brigham and Women's Physicians Organization,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$654,424,000 ",,"$245,616,000 ","$17,438,000 ",,,"$917,478,000 ","$21,216,000 ",,,"($14,000)",,"$21,202,000 ","$938,680,000 ","$767,821,000 ",,"$29,517,000 ","$1,088,000 ",,"$135,346,000 ",,"$933,772,000 ","$4,908,000 ","($29,099,000)","$2,225,000 ","($21,966,000)",,,"($21,966,000)",-1.70%,2.30%,0.50%,-,,,32.6,,,0,"($12,530,000)",-3.70%,2.30%,-1.40%
11004,North Shore Physicians Group,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$108,923,000 ",,"$40,120,000 ","$3,055,000 ",,,"$152,098,000 ","$19,000 ",,,,,"$19,000 ","$152,117,000 ","$139,945,000 ",,"$1,401,000 ",,,"$38,847,000 ",,"$180,193,000 ","($28,076,000)","$3,726,000 ",,"($24,350,000)",,,"($24,350,000)",-18.50%,,-18.50%,-,,,0,,,0,"($31,131,000)",-20.90%,,-20.90%
8644,Newton-Wellesley Physician Hospital Group,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$69,723,000 ",,"$38,803,000 ","$1,866,000 ",,,"$110,392,000 ",,,,"($120,000)",,"($120,000)","$110,272,000 ","$82,741,000 ",,"$1,330,000 ",,,"$28,648,000 ",,"$112,719,000 ","($2,447,000)","$6,505,000 ",,"$4,058,000 ",,,"$4,058,000 ",-2.10%,-0.10%,-2.20%,-,,,0,,,0,"($4,313,000)",-3.90%,-0.10%,-4.00%
9323,CD Practice Associates,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$40,389,000 ",,"$10,106,000 ","$731,000 ",,,"$51,226,000 ",,,,,,-,"$51,226,000 ","$51,649,000 ",,"$154,000 ",,,"$16,966,000 ",,"$68,769,000 ","($17,543,000)","$18,250,000 ",,"$707,000 ",,,"$707,000 ",-34.20%,,-34.20%,-,,,0,,,0,"($18,274,000)",-36.20%,,-36.20%
14423,"Massachusetts Eye and Ear Associates, Inc",PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$108,207,000 ",,"$20,883,000 ","$2,428,000 ",,,"$131,518,000 ","$502,000 ",,,"($30,000)",,"$472,000 ","$131,990,000 ","$121,905,000 ",,"$98,000 ",,,"$17,032,000 ",,"$139,035,000 ","($7,045,000)","($26,000)",,"($7,071,000)",,,"($7,071,000)",-5.70%,0.40%,-5.30%,-,,,0,,,0,"($9,473,000)",-7.70%,0.40%,-7.30%
16579,Nantucket Physician Organization,PhysicianOrganization,3791,2020,30-Sep,5,12,"10/01/2019-09/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$770,000 ",,"$28,000 ",,,,"$798,000 ",,,,,,-,"$798,000 ","$133,000 ",,,,,"$36,000 ",,"$169,000 ","$629,000 ",,,"$629,000 ",,,"$629,000 ",78.80%,,78.80%,-,,,0,,,0,"$629,000 ",78.80%,,78.80%
