Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"
11915,Seacoast Affiliated Group Practice,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,501,000",,"$463,000",,,,"$12,964,000",,,,,,-,"$12,964,000","$12,977,000",,"$107,000",,,"$4,889,000",,"$17,973,000","($5,009,000)",,,"($5,009,000)",,,"($5,009,000)",-38.6%,,-38.6%,-,,,,,,
12022,Winchester Physician Associates,PhysicianOrganization,16665,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$51,721,000",,"$6,568,000",,,,"$58,289,000",,,,,,-,"$58,289,000","$46,672,000",,"$399,000",,,"$19,408,000",,"$66,479,000","($8,190,000)",,,"($8,190,000)",,,"($8,190,000)",-14.1%,,-14.1%,-,,,,,,
14286,Boston Children's Hospital and Subsidiaries,HHS,14286,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$286,346,000",,,"$444,939,000",,,"$299,350,000","$1,030,635,000","$3,252,878,000","$66,499,000",,,"$5,204,746,000","$2,525,772,000","$2,678,974,000","$3,967,369,000","$9,965,720,000","$10,996,355,000","$5,936,000","$15,317,000",,"$727,983,000","$749,236,000","$1,553,980,000",,"$1,030,582,000","$2,584,562,000","$3,333,798,000","$6,810,524,000","$511,669,000","$340,364,000","$7,662,557,000","$10,996,355,000","$2,845,817,000",,"$621,591,000",,,"$79,157,000","$3,546,565,000","$175,185,000","$18,291,000",,"$246,925,000","$54,650,000","$495,051,000","$4,041,616,000","$2,228,522,000",,"$175,134,000","$55,455,000","$45,703,000","$1,278,478,000",,"$3,783,292,000","$258,324,000",,"$13,132,000","$271,456,000","($10,133,000)",,"$261,323,000",-5.9%,12.2%,6.4%,1.4,57,74,4.8,10.4%,69.7%,14
46,Boston Children's Hospital,AcuteHospital,14286,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$722,000",,,"$330,139,000","$2,613,593,000",,"$345,236,000","$3,289,690,000","$1,642,844,000","$65,928,000",,,"$4,796,550,000","$2,434,108,000","$2,362,442,000","$651,358,000","$4,722,572,000","$8,012,262,000","$5,620,000","$15,297,000",,"$647,138,000","$668,055,000","$1,515,410,000",,"$763,211,000","$2,278,621,000","$2,946,676,000","$3,052,276,000","$982,517,000","$1,030,793,000","$5,065,586,000","$8,012,262,000","$1,856,193,000",,"$541,218,000",,,"$102,907,000","$2,500,318,000","$64,419,000","$18,235,000",,"($4,305,000)","$1,275,000","$79,624,000","$2,579,942,000","$1,218,539,000",,"$169,911,000","$53,056,000","$45,703,000","$1,218,725,000",,"$2,705,934,000","($125,992,000)","$22,864,000","$15,512,000","($87,616,000)","($23,842,000)",,"($111,458,000)",-8.0%,3.1%,-4.9%,4.9,65,94,1.7,2.0%,63.2%,14
14426,"Physicians Organization at Children's Hospital, Inc. and Foundation",PhysicianOrganization,14286,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$812,755,098",,"$158,058,681",,,"$29,513,584","$1,000,327,363","$18,185,473",,,"$98,503,036","$17,999,976","$134,688,485","$1,135,015,848","$827,279,578",,"$1,470,439",,,"$197,003,032",,"$1,025,753,049","$109,262,799",,,"$109,262,799","$13,711,782",,"$122,974,581",-2.2%,11.9%,9.6%,-,,,,,,
14287,"Boston Medical Center Health System, Inc.",HHS,14287,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$1,335,273,000",,,"$124,661,000",,"$690,000","$524,369,000","$1,984,993,000","$916,114,000","$9,704,000",,,"$2,306,734,000","$1,286,307,000","$1,020,427,000","$507,686,000","$2,453,931,000","$4,438,924,000","$13,341,000",,,"$1,302,397,000","$1,315,738,000","$889,795,000",,"$209,778,000","$1,099,573,000","$2,415,311,000","$1,665,684,000","$315,352,000","$42,577,000","$2,023,613,000","$4,438,924,000","$1,314,427,000",,"$4,706,861,000","$2,973,000","$9,052,000","$29,330,000","$6,062,643,000","$99,037,000",,,"$1,622,000",,"$100,659,000","$6,163,302,000","$1,513,042,000",,"$110,852,000","$22,701,000","$43,502,000","$4,372,464,000",,"$6,062,561,000","$100,741,000",,"$20,578,000","$121,319,000","$5,449,000",,"$126,768,000",,1.6%,1.6%,1.5,35,81,5.8,8.4%,45.6%,12
3107,Boston Medical Center,AcuteHospital,14287,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$51,221,000",,,"$128,953,000","$68,937,000","$7,473,000","$357,279,000","$613,863,000","$913,499,000","$9,704,000",,,"$2,295,388,000","$1,289,756,000","$1,005,632,000","$134,400,000","$2,063,235,000","$2,677,098,000","$13,136,000",,"$78,000","$324,136,000","$337,350,000","$889,259,000",,"$202,953,000","$1,092,212,000","$1,429,562,000","$889,607,000","$42,577,000","$315,352,000","$1,247,536,000","$2,677,098,000","$1,406,292,000",,"$899,455,000","$2,973,000","$9,052,000","$29,330,000","$2,347,102,000","$38,235,000",,,"$1,703,000",,"$39,938,000","$2,387,040,000","$846,481,000",,"$105,952,000","$22,692,000","$43,502,000","$1,398,967,000",,"$2,417,594,000","($30,554,000)","($15,289,000)","$20,578,000","($25,265,000)","$5,449,000",,"($19,816,000)",-3.0%,1.7%,-1.3%,1.8,33,53,2.7,6.1%,46.6%,12
13198,Boston University Affiliated Physicians,PhysicianOrganization,14287,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$73,000",,"$977,000",,,,"$1,050,000",,,,,,-,"$1,050,000","$1,146,000",,,,,"$24,000",,"$1,170,000","($120,000)",,,"($120,000)",,,"($120,000)",-11.4%,,-11.4%,-,,,,,,
14418,BMC Faculty Practice Foundation,PhysicianOrganization,14287,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$193,167,000",,"$281,825,000",,,,"$474,992,000","$4,141,000",,,"($81,000)",,"$4,060,000","$479,052,000","$427,391,000",,"$627,000","$9,000",,"$62,424,000",,"$490,451,000","($11,399,000)","$14,939,000",,"$3,540,000",,,"$3,540,000",-3.2%,0.8%,-2.4%,-,,,,,,
3108,Cambridge Health Alliance,AcuteHospital,13159,2023,Jun 30,5,12,"07/01/2022-06/30/2023
","$184,335,088","$48,393,909",,"$33,928,724",,"$149,423,999","$30,096,727","$446,178,447","$6,432,883",,,,"$808,434,571","$576,150,387","$232,284,184","$58,663,021","$297,380,088","$743,558,535","$12,822,340","$8,644,622",,"$124,821,838","$146,288,800","$62,798,890",,"$260,024,509","$322,823,399","$469,112,199","$265,721,682",,"$8,724,652","$274,446,334","$743,558,533","$383,908,760","$69,880,434","$448,482,176",,,,"$902,271,370","$4,963,449","$1,415,999",,"$7,750,000",,"$14,129,448","$916,400,818","$547,011,684","$5,541,108","$41,444,700","$2,201,639","$2,201,309","$348,025,005",,"$946,425,445","($30,024,627)",,,"($30,024,627)",,,-,-4.8%,1.5%,-3.3%,3.0,32,56,0.9,5.5%,36.9%,14
13159,Cambridge Health Alliance,HHS,13159,2023,Jun 30,5,12,"07/01/2022-06/30/2023
","$184,335,088","$48,393,909",,"$33,928,724",,"$149,423,999","$30,096,727","$446,178,447","$6,432,883",,,,"$808,434,571","$576,150,387","$232,284,184","$58,663,021","$297,380,088","$743,558,535","$12,822,340","$8,644,622",,"$124,821,838","$146,288,800","$62,798,890",,"$260,024,509","$322,823,399","$469,112,199","$265,721,682",,"$8,724,652","$274,446,334","$743,558,533","$383,908,760","$69,880,434","$448,482,176",,,,"$902,271,370","$4,963,449","$1,415,999",,"$7,750,000",,"$14,129,448","$916,400,818","$547,011,684","$5,541,108","$41,444,700","$2,201,639","$2,201,309","$348,025,005",,"$946,425,445","($30,024,627)",,,,,,-,-4.8%,1.5%,-3.3%,3.0,32,56,1.0,5.9%,36.9%,14
3109,"Cape Cod Healthcare, Inc.",HHS,3109,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$51,381,863","$103,774,693","$6,284,829","$101,617,417",,,"$47,807,069","$310,865,871","$61,267,866","$14,079,386",,,"$913,064,035","$548,816,532","$364,247,503","$489,039,388","$928,634,143","$1,239,500,014","$11,367,662","$16,724,944",,"$161,650,953","$189,743,559","$83,504,599",,"$70,627,220","$154,131,819","$343,875,378","$808,555,991","$87,068,645",,"$895,624,636","$1,239,500,014","$1,034,607,928",,"$67,448,270","$8,482,266",,"$2,271,658","$1,112,810,122","$8,629,408","$6,233,326","$18,506","$38,934,946",,"$53,816,186","$1,166,626,308","$672,366,195",,"$36,719,893","$1,771,883","$15,939,967","$381,369,494",,"$1,108,167,432","$58,458,876",,"$3,503,559","$61,962,435",,,"$61,962,435",0.4%,4.6%,5.0%,1.6,36,59,4.2,19.8%,72.3%,15
39,Cape Cod Hospital,AcuteHospital,3109,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$7,340,301","$57,241,993",,"$70,397,900","$43,757,636",,"$18,310,443","$197,048,273","$49,404,758",,,,"$533,847,069","$318,650,622","$215,196,447","$215,998,550","$480,599,755","$677,648,028","$8,226,439","$12,888,934","$3,912,941","$51,386,132","$76,414,446","$67,058,956",,"$1,051,928","$68,110,884","$144,525,330","$483,710,695","$49,412,003",,"$533,122,698","$677,648,028","$701,923,155",,"$9,565,097","$6,582,755",,"$620,318","$718,691,325","$4,618,638","$1,257,112","$18,506","$19,927,863",,"$25,822,119","$744,513,444","$364,209,369",,"$17,591,033","$1,179,497","$12,774,151","$271,935,176",,"$667,689,226","$76,824,218","($30,110,887)","$756,156","$47,469,487",,,"$47,469,487",6.9%,3.5%,10.3%,2.6,37,36,10.2,65.8%,78.7%,18
40,Falmouth Hospital,AcuteHospital,3109,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$2,038,744","$2,894,527",,"$17,263,436","($30,434,440)",,"$4,652,123","($3,585,610)","$20,256,537",,,,"$197,787,754","$127,322,108","$70,465,646","$181,124,567","$271,846,750","$268,261,140","$2,760,235","$3,836,010","$841,294","$12,162,078","$19,599,617","$13,791,712",,"$395,927","$14,187,639","$33,787,256","$214,217,347","$20,256,537",,"$234,473,884","$268,261,140","$181,765,649",,"$2,398,662","$1,828,666",,"$634,114","$186,627,091","$3,027,559","$1,190,402",,"$13,018,217",,"$17,236,178","$203,863,269","$106,220,250",,"$5,975,504","$291,725","$3,165,817","$68,500,676",,"$184,153,972","$19,709,297","($9,760,742)","$294,971","$10,243,526",,,"$10,243,526",1.2%,8.5%,9.7%,(0.2),35,32,8.5,76.9%,87.4%,21
11810,Medical Affiliates of Cape Cod Inc,PhysicianOrganization,3109,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$91,994,460",,"$1,657,091",,,"$287,451","$93,939,002",,,,,,-,"$93,939,002","$101,982,336",,"$480,774",,,"$27,250,910",,"$129,714,020","($35,775,018)","$39,042,969",,"$3,267,951",,,"$3,267,951",-38.1%,,-38.1%,-,,,,,,
13155,"Dana-Farber Cancer Institute, Inc. and Subsidiaries",HHS,13155,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$89,329,951",,"$733,782","$262,343,797",,,"$355,151,152","$707,558,683",,"$45,107,843",,,"$2,228,765,539","$1,295,484,736","$933,280,803","$3,046,346,089","$4,024,734,735","$4,732,293,418","$6,978,915","$57,105,269",,"$406,869,148","$470,953,332","$549,719,702",,"$351,045,545","$900,765,247","$1,371,718,579","$1,735,209,356","$1,324,454,388","$300,911,095","$3,360,574,840","$4,732,293,418","$2,273,620,390",,"$396,618,001",,,"$142,352,741","$2,812,591,132","($576,187)","$301,707,396",,"$297,630,422",,"$598,761,631","$3,411,352,764","$948,622,408",,"$94,837,802","$21,874,884","$15,291,995","$1,924,068,386",,"$3,004,695,474","$406,657,289",,"($36,332,315)","$370,324,974","$764,298",,"$371,089,272",-5.6%,17.6%,11.9%,1.5,42,52,16.0,43.1%,71.0%,14
51,Dana-Farber Cancer Institute,AcuteHospital,13155,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$82,797,260",,"$733,782","$262,343,797",,,"$359,302,035","$705,176,874",,"$45,107,843",,,"$2,228,765,539","$1,295,484,736","$933,280,803","$3,044,317,854","$4,022,706,500","$4,727,883,374","$6,978,915","$57,105,269",,"$406,316,482","$470,400,666","$549,719,702",,"$351,045,545","$900,765,247","$1,371,165,913","$1,731,351,978","$1,324,454,388","$300,911,095","$3,356,717,462","$4,727,883,374","$2,273,620,390",,"$397,536,333",,,"$142,352,741","$2,813,509,465","($576,187)","$301,707,396",,"$297,630,422",,"$598,761,631","$3,412,271,096","$948,324,730",,"$94,837,802","$21,874,884","$15,291,995","$1,924,044,772",,"$3,004,374,183","$407,896,913",,"($36,332,315)","$371,564,598","$764,298",,"$372,328,896",-5.6%,17.5%,12.0%,1.5,42,52,18.2,49.3%,71.0%,14
12776,"Emerson Health System, Inc. and Subsidiaries",HHS,12776,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$16,227,353",,,"$39,556,280","$215,231","$780,707","$12,950,306","$69,729,877","$3,839,839",,"$12,515,435","$761,979","$351,144,264","$229,114,606","$122,029,658","$84,071,017","$223,217,928","$292,947,805","$12,254,455",,"$215,231","$59,180,823","$71,650,509","$106,806,621",,"$23,010,437","$129,817,058","$201,467,567","$79,637,474","$11,842,764",,"$91,480,238","$292,947,805","$336,180,825",,"$16,949,004",,"$3,837,923","$1,729,451","$358,697,203","$47,293",,,"($2,075,711)",,"($2,028,418)","$356,668,785","$207,744,202",,"$11,348,642","$1,722,111","$5,318,976","$142,404,655",,"$368,538,586","($11,869,801)",,"($561,415)","($12,431,216)","$3,800,287",,"($8,630,929)",-2.8%,-0.6%,-3.3%,1.0,43,73,0.0,-1.0%,31.2%,20
57,Emerson Hospital,AcuteHospital,12776,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$11,694,111",,,"$39,556,280","$215,231","$780,707","$12,177,070","$64,423,399","$176,877",,"$12,515,435",,"$350,131,857","$228,102,199","$122,029,658","$94,196,368","$228,918,338","$293,341,737","$12,254,455",,"$215,231","$59,090,489","$71,560,175","$106,806,621",,"$23,010,437","$129,817,058","$201,377,233","$80,121,740","$11,842,764",,"$91,964,504","$293,341,737","$336,180,825",,"$15,696,918",,"$3,837,923","$1,729,451","$357,445,117","$47,293",,,"($2,075,711)",,"($2,028,418)","$355,416,699","$206,863,011",,"$11,348,642","$1,722,111","$5,318,976","$142,034,054",,"$367,286,794","($11,870,095)","($497,547)","($402,126)","($12,769,768)","$3,800,287",,"($8,969,481)",-2.8%,-0.6%,-3.3%,0.9,43,73,0.1,-0.3%,31.4%,20
12807,"Heywood Healthcare System, Inc.",HHS,12807,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$5,566,093","$622,482","$2,149,799","$23,789,430",,,"$5,740,870","$37,868,674","$11,329,017",,,,"$191,019,293","$104,164,328","$86,854,965","$16,307,614","$114,491,596","$152,360,270","$2,489,190","$8,393,079",,"$58,795,898","$69,678,167","$71,405,613",,"$3,565,681","$74,971,294","$144,649,461","$500,356","$4,891,457","$2,318,996","$7,710,809","$152,360,270","$188,544,460",,"$47,357,085",,"$2,786,661","$89,294","$238,777,500","($487,633)","$84,891",,"($1,357,984)",,"($1,760,726)","$237,016,774","$108,020,707",,"$6,260,532","$1,010,903","$2,785,664","$133,612,501",,"$251,690,307","($14,673,533)",,"$78,052","($14,595,481)",,,"($14,595,481)",-5.4%,-0.7%,-6.2%,0.5,46,91,(2.5),-7.0%,5.1%,17
2,Athol Memorial Hospital,AcuteHospital,12807,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$1,447,311",,,"$4,160,993",,,"$504,181","$6,112,485","$1,784,952",,,,"$19,775,756","$14,356,368","$5,419,388","$11,444,300","$18,648,640","$24,761,125","$132,723","$1,133,076",,"$8,005,062","$9,270,861","$289,556",,"$5,000","$294,556","$9,565,417","$13,412,013","$1,783,695",,"$15,195,708","$24,761,125","$37,627,504",,"$2,916,169",,"$791,663","$40,000","$41,375,336",$227,"$84,891",,,,"$85,118","$41,460,454","$13,796,793",,"$759,137","$52,683","$242,787","$25,608,544",,"$40,459,944","$1,000,510","($14,851,893)",,"($13,851,383)",,,"($13,851,383)",2.2%,0.2%,2.4%,0.7,40,75,9.8,18.4%,61.4%,19
73,Heywood Hospital,AcuteHospital,12807,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$2,828,234","$622,587","$2,149,799","$16,785,744",,,"$4,638,881","$27,025,245","$9,413,427",,,,"$141,198,594","$80,692,573","$60,506,021","$3,294,152","$73,213,600","$100,238,845","$2,356,467","$8,705,169",,"$43,463,386","$54,525,022","$54,456,057",,"$2,190,154","$56,646,211","$111,171,233","($16,233,318)","$5,300,930",,"($10,932,388)","$100,238,845","$143,814,410",,"$40,410,059",,"$1,994,998","$49,294","$186,268,761","($487,720)",,,"($1,393,058)",,"($1,880,778)","$184,387,983","$82,225,595",,"$4,518,564","$695,189","$2,542,811","$107,906,392",,"$197,888,551","($13,500,568)","($1,697,875)","$78,052","($15,120,391)",,,"($15,120,391)",-6.3%,-1.0%,-7.3%,0.5,43,86,(2.7),-8.2%,-10.9%,18
10976,Heywood Medical Group,PhysicianOrganization,12807,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$7,102,546",,"$1,120,632",,,,"$8,223,178",,,,,,-,"$8,223,178","$11,998,319",,"$70,006","$43,205",,"($2,425,442)",($12),"$9,686,076","($1,462,898)","$14,310,434",,"$12,847,536",,,"$12,847,536",-17.8%,,-17.8%,-,,,,,,
13156,Lawrence General Hospital and Affiliates,HHS,13156,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$27,085,000","$20,446,000","$1,069,000","$41,820,000",,"$4,059,000","$21,255,000","$115,734,000","$16,644,000","$1,488,000",,,"$307,828,000","$187,900,000","$119,928,000","$50,608,000","$188,668,000","$304,402,000","$2,180,000","$2,049,000",,"$109,524,000","$113,753,000","$98,599,000",,"$56,334,000","$154,933,000","$268,686,000","$34,881,000","$3,899,999","$1,100,000","$39,880,999","$308,566,999","$317,835,000",,"$32,155,000",,,"$48,000","$350,038,000","$1,200,000",,,"$1,243,000",,"$2,443,000","$352,481,000","$153,468,000",,"$13,194,000","$5,166,000","$7,929,000","$184,151,000",,"$363,908,000","($11,427,000)",,"($64,000)","($11,491,000)",,,"($11,491,000)",-3.9%,0.7%,-3.2%,1.0,48,116,0.9,0.6%,13.1%,14
83,Lawrence General Hospital,AcuteHospital,13156,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$25,954,000",,,"$40,582,000","$12,779,000","$4,059,000","$20,186,000","$103,560,000","$15,302,000",,"$16,855,000",,"$267,830,000","$180,726,000","$87,104,000","$48,312,000","$167,573,000","$271,133,000","$1,489,000","$2,049,000","$1,918,000","$106,968,000","$112,424,000","$68,750,000",,"$54,792,000","$123,542,000","$235,966,000","$36,305,000",,"$1,100,000","$37,405,000","$273,371,000","$309,320,000",,"$23,521,000",,"$7,273,000",,"$340,114,000","$599,000",,"$947,000","($164,000)",,"$1,382,000","$341,496,000","$167,913,000",,"$11,968,000","$3,751,000","$7,929,000","$153,936,000",,"$345,497,000","($4,001,000)","($4,487,000)",,"($8,488,000)",,,"($8,488,000)",-1.6%,0.4%,-1.2%,0.9,48,121,2.2,4.4%,13.8%,15
13118,"Community Medical Associates, Inc.",PhysicianOrganization,13156,2023,Sep 30,5,12,"10/01/2022-09/30/2023
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$4,943,000",,"$121,000",,,,"$5,064,000",,,,,,-,"$5,064,000","$7,788,000",,"$176,000",,,"$3,584,000",,"$11,548,000","($6,484,000)","$5,880,000",,"($604,000)",,,"($604,000)",-128.0%,,-128.0%,-,,,,,,
3791,Mass General Brigham,HHS,3791,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$279,459,000","$3,397,634,000","$3,505,987,000","$1,638,306,000",,"$159,813,000","$1,015,179,000","$9,996,378,000","$5,440,702,000","$487,698,000",,,"$14,136,660,000","$7,359,297,000","$6,777,363,000","$5,973,162,000","$18,678,925,000","$28,675,303,000","$481,130,000","$59,584,000",,"$3,174,256,000","$3,714,970,000","$5,469,626,000",,"$2,389,106,000","$7,858,732,000","$11,573,702,000","$13,362,445,000","$3,739,156,000",,"$17,101,601,000","$28,675,303,000","$12,792,586,000",,"$5,912,975,000",,"$121,476,000",,"$18,827,037,000","$962,128,000","($85,888,000)",,"$266,224,000",,"$1,142,464,000","$19,969,501,000","$9,659,280,000",,"$774,563,000","$168,765,000","$46,324,000","$8,082,939,000",,"$18,731,871,000","$1,237,630,000",,"$70,802,000","$1,308,432,000","$476,211,000",,"$1,784,643,000",0.5%,5.7%,6.2%,2.7,47,74,1.9,11.9%,59.6%,10
59,Brigham and Women's Faulkner Hospital,AcuteHospital,3791,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$25,601,000","($1,564,000)",,"$40,874,000",,"$1,191,000","$5,323,000","$71,425,000",,"$2,006,000",,,"$340,036,000","$164,060,000","$175,976,000","$7,905,000","$185,887,000","$257,312,000","$5,290,000","$327,000","$19,485,000","$37,068,000","$62,170,000","$110,346,000",,"$6,784,000","$117,130,000","$179,300,000","$70,596,000","$7,416,000",,"$78,012,000","$257,312,000","$346,351,000",,"$8,794,000",,"$4,387,000",,"$359,532,000","$1,378,000",,,"($61,000)",,"$1,317,000","$360,849,000","$202,074,000",,"$15,897,000","$679,000","$1,748,000","$154,815,000",,"$375,213,000","($14,364,000)","($11,942,000)","$9,000","($26,297,000)","$810,000",,"($25,487,000)",-4.3%,0.4%,-4.0%,1.1,43,63,0.4,0.9%,30.3%,10
22,Brigham and Women's Hospital,AcuteHospital,3791,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$72,302,000","($6,897,000)","$202,988,000","$463,436,000",,"$18,222,000","$198,200,000","$948,251,000","$37,902,000","$70,035,000",,,"$3,460,498,000","$1,985,491,000","$1,475,007,000","$731,223,000","$2,314,167,000","$3,262,418,000","$146,594,000","$35,000","$130,855,000","$499,082,000","$776,566,000","$1,336,933,000",,"$303,054,000","$1,639,987,000","$2,416,553,000","$386,256,000","$459,609,000",,"$845,865,000","$3,262,418,000","$2,955,815,000",,"$1,131,154,000",,,,"$4,086,969,000","$6,378,000","($14,000)",,"($234,000)",,"$6,130,000","$4,093,099,000","$1,451,005,000",,"$195,754,000","$47,102,000","$14,531,000","$2,250,421,000",,"$3,958,813,000","$134,286,000","($229,006,000)","$24,722,000","($69,998,000)","$10,451,000",,"($59,547,000)",3.1%,0.1%,3.3%,1.2,57,75,1.9,15.6%,25.9%,10
50,Cooley Dickinson Hospital,AcuteHospital,3791,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","($9,126,000)","($19,119,000)","$15,706,000","$23,236,000",,,"$6,001,000","$16,698,000","$10,981,000","$1,027,000",,,"$199,031,000","$133,460,000","$65,571,000","$25,410,000","$102,989,000","$119,687,000","$3,943,000","$8,823,000","$12,587,000","$23,158,000","$48,511,000","$26,320,000",,"$19,007,000","$45,327,000","$93,838,000","$11,461,000","$14,388,000",,"$25,849,000","$119,687,000","$250,985,000",,"$5,028,000",,"$4,404,000",,"$260,417,000","$1,000",,,"$2,419,000",,"$2,420,000","$262,837,000","$121,074,000",,"$10,758,000","$1,175,000","$633,000","$111,652,000",,"$245,292,000","$17,545,000","($41,655,000)","$2,160,000","($21,950,000)",,,"($21,950,000)",5.8%,0.9%,6.7%,0.3,34,62,5.8,37.8%,21.6%,12
88,Martha's Vineyard Hospital,AcuteHospital,3791,2023,Sep 30,5,12,"10/01/2022-09/30/2023
","$17,812,000","$42,726,000","$3,399,000","$10,078,000",,,"$3,874,000","$77,889,000","$44,312,000","$2,890,000",,,"$132,743,000","$72,155,000","$60,588,000","$20,099,000","$127,889,000","$205,778,000","$44,000","$10,994,000","$3,318,000","$10,358,000","$24,714,000","$620,000",,"$5,691,000","$6,311,000","$31,025,000","$153,288,000","$21,465,000",,"$174,753,000","$205,778,000","$134,849,000",,"$8,151,000",,,,"$143,000,000","$7,137,000","$508,000",,"($1,208,000)",,"$6,437,000","$149,437,000","$81,851,000",,"$6,265,000","$49,000","$1,093,000","$44,309,000",,"$133,567,000","$15,870,000","($491,000)","$804,000","$16,183,000","$253,000",,"$16,436,000",6.3%,4.3%,10.6%,3.2,27,39,238.5,87.4%,84.9%,12
