Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
Franklin Memorial Hospital,Total Non-Current Assets,46785737,46457328,53966933,36795883,34357203
Franklin Memorial Hospital,Trustee Held Investments,,,,,-107604
Franklin Memorial Hospital,Board Designated and Undesignated Investments,,,,,
Franklin Memorial Hospital,Due From Affiliates,,,,,
Franklin Memorial Hospital,Investments in Affiliates,,,,,
Franklin Memorial Hospital,Other Non-current Assets,11003632,10858291,15493307,1693990,2026264
Franklin Memorial Hospital,"Gross Property, Plant and Equipment",,75528900,79145770,85018148,85640384
Franklin Memorial Hospital,Accumulated Depreciation,39746795,43546733,46544522,50538491,54495459
Franklin Memorial Hospital,"Net Property, Plant and Equipment",,35782105,35599037,38473626,35101893
Franklin Memorial Hospital,Total Unrestricted Assets,69457833,68961346,73659345,65739498,49436960
Franklin Memorial Hospital,Total Current Liabilities,9158841,7721725,9299724,7939700,6743047
Franklin Memorial Hospital,Current Long Term Debt,,836500,570000,891387,762668
Franklin Memorial Hospital,Accounts Payable and Accrued Expenses,6781663,5861337,6293976,7120921,6016990
Franklin Memorial Hospital,Estimated Third Party Settlements,1396953,1290388,2114361,,
Franklin Memorial Hospital,Due to Affiliates,143725,,,,
Franklin Memorial Hospital,Other Current Liabilities,,,,56111,56057
Franklin Memorial Hospital,Total Non-current Liabilities,22734643,22503474,25636466,25237719,21806956
Franklin Memorial Hospital,Long Term Debt,22458788,21874495,24777994,24003228,19776019
Franklin Memorial Hospital,Estimated Third Party Settlements,,,,,
Franklin Memorial Hospital,Due to Affiliates,,,,,
Franklin Memorial Hospital,Self Insurance Fund,,,,,
Franklin Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Franklin Memorial Hospital,Other Non-Current Liabilities,275855,628979,858472,1234491,2030937
Franklin Memorial Hospital,Fund Balance Unrestricted,37564349,38736147,38723155,32562079,20886957
Franklin Memorial Hospital,Total Liabilities & Equity,69457833,68961346,73659345,65739498,49436960
Franklin Memorial Hospital,Total Restricted Assets,2174847,2509381,2509659,2837639,2982078
Franklin Memorial Hospital,Cash and Investments,2027348,2361882,2362160,2690140,2982078
Franklin Memorial Hospital,Receivables,,,,,
Franklin Memorial Hospital,Other Assets,147499,147499,147499,147499,
Franklin Memorial Hospital,Total Restricted Liabilities and Equity,2174847,2509381,2509659,2837639,2982078
Franklin Memorial Hospital,Total Restricted Fund Balance,2174847,2509381,2509659,2837639,2982078
Franklin Memorial Hospital,Total Liabilities,,,,,
Franklin Memorial Hospital,Temporarily Restricted Net Assets,773717,1063840,1077560,1387990,1705323
Franklin Memorial Hospital,Permanently Restricted Net Assets,1401130,1445541,1432099,1449649,1276755
Franklin Memorial Hospital,Total Gross Patient Service Revenue,,169309438,168401934,175789248,166927198
Franklin Memorial Hospital,Gross Inpatient Service Revenue,60144370,54300450,55105860,49705499,43380159
Franklin Memorial Hospital,Gross Outpatient Service Revenue,109165068,114101484,120683388,117221699,115866119
Franklin Memorial Hospital,Free Care,,,4659236,6831140,6705032
Franklin Memorial Hospital,Bad Debt,,,,,3615786
Franklin Memorial Hospital,Contractuals,81150601,77036439,81463941,82441727,82809113
Franklin Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,363000,-1800000,661000,-1674000,-1693240
Franklin Memorial Hospital,Net Patient Service Revenue,79520815,83128182,83233994,74243822,70521724
Franklin Memorial Hospital,Other Operating Revenue,2372073,2191861,6235108,2241888,3610129
Franklin Memorial Hospital,Total Operating Revenue,81892888,85320043,89469102,76485710,74131853
Franklin Memorial Hospital,Total Operating Expenses,79453564,83770932,89726136,84015968,77500827
Franklin Memorial Hospital,Depreciation and Amortization,4626946,4887968,4684361,4512293,4050233
Franklin Memorial Hospital,Interest,1122315,1096903,1150299,1180951,983664
Franklin Memorial Hospital,Advertising Expenses,8674,10338,165589,147871,110213
Franklin Memorial Hospital,Allowed Advertising Expenses,8674,10338,165589,147871,110213
Franklin Memorial Hospital,Non-Allowed Advertising Expenses,,,,,
Franklin Memorial Hospital,Salaries and Benefits,48015942,50828420,56160492,52808057,48458138
Franklin Memorial Hospital,Other Operating Expenses,25679687,26947303,27565395,25366796,23898579
Franklin Memorial Hospital,Net Operating Income,2439324,1549111,-257034,-7530258,-3368974
Franklin Memorial Hospital,Total Non-operating Revenue,268722,-365750,-28228,-156829,516801
Franklin Memorial Hospital,Total Investment Income,8038,7883,-1030,-10106,-16148
Franklin Memorial Hospital,Interest and Dividends,8038,7883,-1030,-10106,-16148
Franklin Memorial Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Franklin Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Franklin Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,156779,-48794,-251219,-187058,-143179
Franklin Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Franklin Memorial Hospital,Other Non-Operating Revenues,,,,103905,-324839
Franklin Memorial Hospital,Excess of Revenue over Expenses,2708046,1183361,-285262,-7687087,-2852173
Franklin Memorial Hospital,Extraordinary Gains/Losses,,,,,
Franklin Memorial Hospital,Total Surplus/Deficit,2708046,1183361,-285262,-7687087,-2852173
Franklin Memorial Hospital,Total Change in Unrestricted Net Assets,2725298,1171798,-12992,-6161076,-11675126
Franklin Memorial Hospital,Net Assets Released for Restrictions,,,,,
Franklin Memorial Hospital,Unrealized Gains/Losses on Investments,,,,,
Franklin Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Franklin Memorial Hospital,Transfers From/To Affiliates,17252,-11563,272270,1526011,-8970453
Franklin Memorial Hospital,Mergers,,,,,
Franklin Memorial Hospital,Consolidations with Support,,,,,
Franklin Memorial Hospital,Other Changes,,,,,
Henrietta D. Goodall Hospital,Total Current Assets,16897863,18637809,18120252,16026103,
Henrietta D. Goodall Hospital,Cash and Investment,3543859,3457192,3963141,2460677,
Henrietta D. Goodall Hospital,Current Assets Whose Use is Limited,1370260,1327303,668839,650595,
Henrietta D. Goodall Hospital,Net Patient Accounts Receivable,7753284,9577350,9091776,10344259,
Henrietta D. Goodall Hospital,Due from Affiliates,807720,1246294,1449032,390231,
Henrietta D. Goodall Hospital,Third Party Settlements Receivable,,,,,
Henrietta D. Goodall Hospital,Other Accounts Receivable,,,,,
Henrietta D. Goodall Hospital,Inventory,1535788,1481101,1417919,1161471,
Henrietta D. Goodall Hospital,Other Current Assets,1886952,1548569,1529545,1018870,
Henrietta D. Goodall Hospital,Total Non-Current Assets,56867347,57202994,57158643,57809685,
Henrietta D. Goodall Hospital,Trustee Held Investments,,,,,
Henrietta D. Goodall Hospital,Board Designated and Undesignated Investments,12292129,15267534,14174344,14963254,
Henrietta D. Goodall Hospital,Due From Affiliates,457755,424708,388200,,
Henrietta D. Goodall Hospital,Investments in Affiliates,-497870,-897571,-1181526,-339546,
Henrietta D. Goodall Hospital,Other Non-current Assets,9986363,8580897,11017498,11172452,
Henrietta D. Goodall Hospital,"Gross Property, Plant and Equipment",,71861323,73409727,75725206,78090024
Henrietta D. Goodall Hospital,Accumulated Depreciation,37232353,39582301,42965079,46076499,
Henrietta D. Goodall Hospital,"Net Property, Plant and Equipment",,34628970,33827426,32760127,32013525
Henrietta D. Goodall Hospital,Total Unrestricted Assets,73765210,75840803,75278895,73835788,
Henrietta D. Goodall Hospital,Total Current Liabilities,14824845,16196933,16971159,15396277,
Henrietta D. Goodall Hospital,Current Long Term Debt,,1889257,2288868,1714752,1749703
Henrietta D. Goodall Hospital,Accounts Payable and Accrued Expenses,12443535,13116998,14711137,13061335,
Henrietta D. Goodall Hospital,Estimated Third Party Settlements,492053,791067,545270,585239,
Henrietta D. Goodall Hospital,Due to Affiliates,,,,,
Henrietta D. Goodall Hospital,Other Current Liabilities,,,,,
Henrietta D. Goodall Hospital,Total Non-current Liabilities,21986673,21245925,19940576,18708186,
Henrietta D. Goodall Hospital,Long Term Debt,21986673,21245925,19830148,18073785,
Henrietta D. Goodall Hospital,Estimated Third Party Settlements,,,,,
Henrietta D. Goodall Hospital,Due to Affiliates,,,,,
Henrietta D. Goodall Hospital,Self Insurance Fund,,,,,
Henrietta D. Goodall Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Henrietta D. Goodall Hospital,Other Non-Current Liabilities,,,110428,634401,
Henrietta D. Goodall Hospital,Fund Balance Unrestricted,36953692,38397945,38367160,39731325,
Henrietta D. Goodall Hospital,Total Liabilities & Equity,73765210,75840803,75278895,73835788,
Henrietta D. Goodall Hospital,Total Restricted Assets,10363714,11954985,10665133,11982008,
Henrietta D. Goodall Hospital,Cash and Investments,10363714,11954985,10665133,11982008,
Henrietta D. Goodall Hospital,Receivables,,,,,
Henrietta D. Goodall Hospital,Other Assets,,,,,
Henrietta D. Goodall Hospital,Total Restricted Liabilities and Equity,10363714,11954984,10665133,11982008,
Henrietta D. Goodall Hospital,Total Restricted Fund Balance,10363714,11954984,10665133,11982008,
Henrietta D. Goodall Hospital,Total Liabilities,,,,,
Henrietta D. Goodall Hospital,Temporarily Restricted Net Assets,1451392,1572577,1506154,1610349,
Henrietta D. Goodall Hospital,Permanently Restricted Net Assets,8912322,10382407,9158979,10371659,
Henrietta D. Goodall Hospital,Total Gross Patient Service Revenue,,160349362,173977073,184345126,193534482
Henrietta D. Goodall Hospital,Gross Inpatient Service Revenue,31509748,32424874,32870170,34876781,
Henrietta D. Goodall Hospital,Gross Outpatient Service Revenue,128839614,141552199,151474956,158657701,
Henrietta D. Goodall Hospital,Free Care,,,882162,1457760,2061769
Henrietta D. Goodall Hospital,Bad Debt,,,,,5796802
Henrietta D. Goodall Hospital,Contractuals,80838954,87763173,96371476,105609138,
Henrietta D. Goodall Hospital,Changes in Prior Year Estimated/Final Settlements,,,-1376000,-140000,
Henrietta D. Goodall Hospital,Net Patient Service Revenue,72831444,78841357,79962567,78016217,
Henrietta D. Goodall Hospital,Other Operating Revenue,2583584,2505441,4184387,4184097,
Henrietta D. Goodall Hospital,Total Operating Revenue,75415028,81346798,84146954,82200314,
Henrietta D. Goodall Hospital,Total Operating Expenses,75030000,80446286,82183640,83665205,
Henrietta D. Goodall Hospital,Depreciation and Amortization,3582599,3434797,3440351,3511091,
Henrietta D. Goodall Hospital,Interest,838504,846631,827095,817718,
Henrietta D. Goodall Hospital,Advertising Expenses,73462,93059,204906,187266,
Henrietta D. Goodall Hospital,Allowed Advertising Expenses,38747,12922,12697,9061,
Henrietta D. Goodall Hospital,Non-Allowed Advertising Expenses,34715,80137,192209,178205,
Henrietta D. Goodall Hospital,Salaries and Benefits,44020030,48293441,49695968,50155652,
Henrietta D. Goodall Hospital,Other Operating Expenses,26515405,27778358,28015320,28993478,
Henrietta D. Goodall Hospital,Net Operating Income,385028,900512,1963314,-1464891,
Henrietta D. Goodall Hospital,Total Non-operating Revenue,-249041,-788965,-1140870,1269711,
Henrietta D. Goodall Hospital,Total Investment Income,46251,-85451,308242,452328,
Henrietta D. Goodall Hospital,Interest and Dividends,,,,,
Henrietta D. Goodall Hospital,Realized Gains/Losses on Sales of Securities,46251,-85451,308242,452328,
Henrietta D. Goodall Hospital,Permanently Impaired Security Writedowns,,,,,
Henrietta D. Goodall Hospital,Gains/Losses on Joint Ventures/Equity Investments,-298977,-706433,-124857,746601,
Henrietta D. Goodall Hospital,Permanently Impaired Writedowns of Other Assets,,,-1347958,,
Henrietta D. Goodall Hospital,Other Non-Operating Revenues,,,,3685,2919
Henrietta D. Goodall Hospital,Excess of Revenue over Expenses,135987,111547,822444,-195180,
Henrietta D. Goodall Hospital,Extraordinary Gains/Losses,,,-230184,-143793,
Henrietta D. Goodall Hospital,Total Surplus/Deficit,135987,111547,592260,-338973,
Henrietta D. Goodall Hospital,Total Change in Unrestricted Net Assets,1710216,1444256,-37316,1382033,
Henrietta D. Goodall Hospital,Net Assets Released for Restrictions,,,,,
Henrietta D. Goodall Hospital,Unrealized Gains/Losses on Investments,1168962,1289715,-659600,1357212,
Henrietta D. Goodall Hospital,Minimum Pension Liability Adjustment,,,,,
Henrietta D. Goodall Hospital,Transfers From/To Affiliates,,,,,
Henrietta D. Goodall Hospital,Mergers,,,,,
Henrietta D. Goodall Hospital,Consolidations with Support,,,,,
Henrietta D. Goodall Hospital,Other Changes,405267,42994,30024,297832,
Houlton Regional Hospital,Total Current Assets,10409383,10298308,11011141,8489715,9530917
Houlton Regional Hospital,Cash and Investment,558262,1252206,742531,121080,309910
Houlton Regional Hospital,Current Assets Whose Use is Limited,308854,305047,306752,302696,308787
Houlton Regional Hospital,Net Patient Accounts Receivable,5516033,6878103,8379146,6576482,7600541
Houlton Regional Hospital,Due from Affiliates,,,,,
Houlton Regional Hospital,Third Party Settlements Receivable,2209656,176221,55498,,
Houlton Regional Hospital,Other Accounts Receivable,344291,321850,280911,255593,171802
Houlton Regional Hospital,Inventory,888495,874335,785159,768382,772018
Houlton Regional Hospital,Other Current Assets,583792,490546,461144,465482,367859
Houlton Regional Hospital,Total Non-Current Assets,18758874,18463386,19685621,17543556,16915070
Houlton Regional Hospital,Trustee Held Investments,,,,,
Houlton Regional Hospital,Board Designated and Undesignated Investments,3200002,2971486,3322885,3766885,4270809
Houlton Regional Hospital,Due From Affiliates,5702663,,,,
Houlton Regional Hospital,Investments in Affiliates,-5687898,,,,
Houlton Regional Hospital,Other Non-current Assets,1877707,2387819,2703273,760161,722632
Houlton Regional Hospital,"Gross Property, Plant and Equipment",,39282928,39669783,40393840,40912065
Houlton Regional Hospital,Accumulated Depreciation,25616528,26565702,26734377,27895555,29239149
Houlton Regional Hospital,"Net Property, Plant and Equipment",,13666400,13104081,13659463,13016510
Houlton Regional Hospital,Total Unrestricted Assets,29168257,28761694,30696762,26033271,26445987
Houlton Regional Hospital,Total Current Liabilities,8150331,8704885,11883701,10503188,12099202
Houlton Regional Hospital,Current Long Term Debt,,667000,744260,892000,883000
Houlton Regional Hospital,Accounts Payable and Accrued Expenses,4228008,4177321,4523872,4751231,5521372
Houlton Regional Hospital,Estimated Third Party Settlements,3015839,2322028,4852012,4868957,4438271
Houlton Regional Hospital,Due to Affiliates,,,,,
Houlton Regional Hospital,Other Current Liabilities,239484,1461276,1615817,,1159559
Houlton Regional Hospital,Total Non-current Liabilities,13086978,12140141,11674138,11322752,10305808
Houlton Regional Hospital,Long Term Debt,11858993,11427811,11031107,10177638,9283486
Houlton Regional Hospital,Estimated Third Party Settlements,670179,,,,
Houlton Regional Hospital,Due to Affiliates,,,,,
Houlton Regional Hospital,Self Insurance Fund,425000,555000,365000,750000,625000
Houlton Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Houlton Regional Hospital,Other Non-Current Liabilities,132806,157330,278031,395114,397322
Houlton Regional Hospital,Fund Balance Unrestricted,7930948,7916668,7138923,4207331,4040977
Houlton Regional Hospital,Total Liabilities & Equity,29168257,28761694,30696762,26033271,26445987
Houlton Regional Hospital,Total Restricted Assets,366639,561747,284139,66297,136031
Houlton Regional Hospital,Cash and Investments,64139,51664,51664,51664,51664
Houlton Regional Hospital,Receivables,302500,510083,232475,14633,84367
Houlton Regional Hospital,Other Assets,,,,,
Houlton Regional Hospital,Total Restricted Liabilities and Equity,366639,561750,284139,66297,136031
Houlton Regional Hospital,Total Restricted Fund Balance,366639,561750,284139,66297,136031
Houlton Regional Hospital,Total Liabilities,,,,,
Houlton Regional Hospital,Temporarily Restricted Net Assets,314975,510086,232475,14633,84367
Houlton Regional Hospital,Permanently Restricted Net Assets,51664,51664,51664,51664,51664
Houlton Regional Hospital,Total Gross Patient Service Revenue,,67523171,72174919,73439422,76679949
Houlton Regional Hospital,Gross Inpatient Service Revenue,18728571,19049186,18637903,18492039,20635206
Houlton Regional Hospital,Gross Outpatient Service Revenue,48794600,53125733,54801519,58187910,59044456
Houlton Regional Hospital,Free Care,,,1245888,1610524,1713780
Houlton Regional Hospital,Bad Debt,,,,,1102308
Houlton Regional Hospital,Contractuals,23735083,25086745,28514707,32578509,31767468
Houlton Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-319000,-521000,68000,339000,-355000
Houlton Regional Hospital,Net Patient Service Revenue,41758892,44588650,41180935,40149544,44190290
Houlton Regional Hospital,Other Operating Revenue,588175,544345,962834,1373156,393218
Houlton Regional Hospital,Total Operating Revenue,42347067,45132995,42143769,41522700,44583508
Houlton Regional Hospital,Total Operating Expenses,42482050,45320845,44012843,45218727,45354339
Houlton Regional Hospital,Depreciation and Amortization,1030571,1293906,1446103,1594985,1585608
Houlton Regional Hospital,Interest,533405,710948,751968,725136,653766
Houlton Regional Hospital,Advertising Expenses,17776,15277,16574,30349,17921
Houlton Regional Hospital,Allowed Advertising Expenses,3831,4133,2849,16058,6167
Houlton Regional Hospital,Non-Allowed Advertising Expenses,13945,11144,13725,14291,11754
Houlton Regional Hospital,Salaries and Benefits,30885200,32565815,31260713,32297216,33024273
Houlton Regional Hospital,Other Operating Expenses,10015098,10734899,10537485,10571041,10072771
Houlton Regional Hospital,Net Operating Income,-134983,-187850,-1869074,-3696027,-770831
Houlton Regional Hospital,Total Non-operating Revenue,-302402,404568,349299,386473,357043
Houlton Regional Hospital,Total Investment Income,364594,404568,349299,386473,357043
Houlton Regional Hospital,Interest and Dividends,113683,136201,124058,125279,164176
Houlton Regional Hospital,Realized Gains/Losses on Sales of Securities,250911,268367,225241,261194,192867
Houlton Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Houlton Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,-297172,,,,
Houlton Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Houlton Regional Hospital,Other Non-Operating Revenues,,,,-369824,
Houlton Regional Hospital,Excess of Revenue over Expenses,-437385,216718,-1519775,-3309554,-413788
Houlton Regional Hospital,Extraordinary Gains/Losses,,,,,
Houlton Regional Hospital,Total Surplus/Deficit,-437385,216718,-1519775,-3309554,-413788
Houlton Regional Hospital,Total Change in Unrestricted Net Assets,-175100,-14280,-777745,-2931592,-166354
Houlton Regional Hospital,Net Assets Released for Restrictions,,,302744,35842,371833
Houlton Regional Hospital,Unrealized Gains/Losses on Investments,-40459,-266840,370197,104105,191990
Houlton Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Houlton Regional Hospital,Transfers From/To Affiliates,,,,,
Houlton Regional Hospital,Mergers,,,,,
Houlton Regional Hospital,Consolidations with Support,,,,,
Houlton Regional Hospital,Other Changes,,,,,
Inland Hospital,Total Current Assets,7739174,11511815,11854680,17601126,12442576
Inland Hospital,Cash and Investment,234949,1659400,1453853,5108976,239013
Inland Hospital,Current Assets Whose Use is Limited,230270,232370,287464,89688,75364
Inland Hospital,Net Patient Accounts Receivable,4054916,5911639,6657455,8126348,8243608
Inland Hospital,Due from Affiliates,378069,114102,45121,161167,48724
Inland Hospital,Third Party Settlements Receivable,1691158,1416501,1760520,540228,1020178
Inland Hospital,Other Accounts Receivable,190742,286101,322844,1531093,986584
Inland Hospital,Inventory,624275,702084,601581,554602,635780
Inland Hospital,Other Current Assets,334795,1189618,725842,1489024,1193325
Inland Hospital,Total Non-Current Assets,33171280,35026396,39831910,37562895,37469035
Inland Hospital,Trustee Held Investments,1097421,1475845,1766516,2046983,2533897
Inland Hospital,Board Designated and Undesignated Investments,7718505,6754420,7090037,7138817,8410597
Inland Hospital,Due From Affiliates,,,,,
Inland Hospital,Investments in Affiliates,,,,,
Inland Hospital,Other Non-current Assets,8700384,9372047,13832394,7556806,6355899
Inland Hospital,"Gross Property, Plant and Equipment",,33761627,35991900,37292772,42992878
Inland Hospital,Accumulated Depreciation,18106657,18567816,20149809,22172589,24709548
Inland Hospital,"Net Property, Plant and Equipment",,15654970,17424084,17142963,20820289
Inland Hospital,Total Unrestricted Assets,40910454,46538211,51686590,55164021,49911611
Inland Hospital,Total Current Liabilities,11151615,14334782,15763228,17503823,15900288
Inland Hospital,Current Long Term Debt,,961625,897586,935123,719776
Inland Hospital,Accounts Payable and Accrued Expenses,5683687,6340259,5468132,7012303,6598029
Inland Hospital,Estimated Third Party Settlements,2186723,1922985,3505074,2454229,909807
Inland Hospital,Due to Affiliates,619580,545775,701710,761171,1607021
Inland Hospital,Other Current Liabilities,1700000,4628177,5153189,6556344,6244583
Inland Hospital,Total Non-current Liabilities,9485398,9498131,12217082,12971977,12547578
Inland Hospital,Long Term Debt,6731587,6003808,5014674,4264559,5306875
Inland Hospital,Estimated Third Party Settlements,1502847,1803882,3309867,2849511,2827305
Inland Hospital,Due to Affiliates,,,,,
Inland Hospital,Self Insurance Fund,,,,,
Inland Hospital,Accrued Pension and Post Retiree Health Benefits,1156508,1591980,3789905,5742907,4196673
Inland Hospital,Other Non-Current Liabilities,94456,98461,102636,115000,216725
Inland Hospital,Fund Balance Unrestricted,20273441,22705298,23706280,24688221,21463745
Inland Hospital,Total Liabilities & Equity,40910454,46538211,51686590,55164021,49911611
Inland Hospital,Total Restricted Assets,883828,959856,2051691,1939303,1824367
Inland Hospital,Cash and Investments,883828,959856,2051691,1939303,1824367
Inland Hospital,Receivables,,,,,
Inland Hospital,Other Assets,,,,,
Inland Hospital,Total Restricted Liabilities and Equity,883828,959856,2051691,1939303,1824367
Inland Hospital,Total Restricted Fund Balance,883828,959856,2051691,1939303,1824367
Inland Hospital,Total Liabilities,,,,,
Inland Hospital,Temporarily Restricted Net Assets,350218,356500,1384495,1225808,1077940
Inland Hospital,Permanently Restricted Net Assets,533610,603356,667196,713495,746427
Inland Hospital,Total Gross Patient Service Revenue,,107316864,118316252,118074490,116565585
Inland Hospital,Gross Inpatient Service Revenue,20803691,24922372,21953891,21694733,23627510
Inland Hospital,Gross Outpatient Service Revenue,86513173,93393880,96120599,94870852,97383790
Inland Hospital,Free Care,,,2643073,1956443,2938858
Inland Hospital,Bad Debt,,,,,3125247
Inland Hospital,Contractuals,42957230,46340192,46287250,46722513,47773996
Inland Hospital,Changes in Prior Year Estimated/Final Settlements,-909920,-321766,-1060217,-1716993,-580404
Inland Hospital,Net Patient Service Revenue,59501234,66166998,66200553,64737951,65467945
Inland Hospital,Other Operating Revenue,785721,1300550,3484148,2467055,2188565
Inland Hospital,Total Operating Revenue,60286955,67467548,69684701,67205006,67656510
Inland Hospital,Total Operating Expenses,59520483,64847407,68955834,66415711,69218631
Inland Hospital,Depreciation and Amortization,2052181,2296747,2373884,2391012,2608928
Inland Hospital,Interest,435613,474787,474564,479412,390600
Inland Hospital,Advertising Expenses,257543,249779,306629,243507,303565
Inland Hospital,Allowed Advertising Expenses,,,,,
Inland Hospital,Non-Allowed Advertising Expenses,257543,249779,306629,243507,303565
Inland Hospital,Salaries and Benefits,33846303,37471894,39282538,36160212,36313468
Inland Hospital,Other Operating Expenses,22928843,24354200,26518219,27141568,29602070
Inland Hospital,Net Operating Income,766472,2620141,728867,789295,-1562121
Inland Hospital,Total Non-operating Revenue,304787,505120,214871,441334,144679
Inland Hospital,Total Investment Income,304787,505120,214871,441334,144679
Inland Hospital,Interest and Dividends,236855,243630,245957,211360,203418
Inland Hospital,Realized Gains/Losses on Sales of Securities,67932,261490,-31086,229974,-58739
Inland Hospital,Permanently Impaired Security Writedowns,,,,,
Inland Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Inland Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Inland Hospital,Other Non-Operating Revenues,,,,,
Inland Hospital,Excess of Revenue over Expenses,1071259,3125261,943738,1230629,-1417442
Inland Hospital,Extraordinary Gains/Losses,,,,,
Inland Hospital,Total Surplus/Deficit,1071259,3125261,943738,1230629,-1417442
Inland Hospital,Total Change in Unrestricted Net Assets,2185402,2431857,1000982,981942,-3224476
Inland Hospital,Net Assets Released for Restrictions,,,323240,57615,136322
Inland Hospital,Unrealized Gains/Losses on Investments,332630,-252494,183645,-351364,167495
Inland Hospital,Minimum Pension Liability Adjustment,,,,,
Inland Hospital,Transfers From/To Affiliates,18273,-498525,-262723,-524314,-2249951
Inland Hospital,Mergers,,,,,
Inland Hospital,Consolidations with Support,,,,,
Inland Hospital,Other Changes,440000,,,,
LincolnHealth,Total Current Assets,,,,,22053847
LincolnHealth,Cash and Investment,,,,,1712786
LincolnHealth,Current Assets Whose Use is Limited,,,,,395758
LincolnHealth,Net Patient Accounts Receivable,,,,,9991844
LincolnHealth,Due from Affiliates,,,,,4857768
LincolnHealth,Third Party Settlements Receivable,,,,,2716260
LincolnHealth,Other Accounts Receivable,,,,,
LincolnHealth,Inventory,,,,,1787455
LincolnHealth,Other Current Assets,,,,,591976
LincolnHealth,Total Non-Current Assets,,,,,44456218
LincolnHealth,Trustee Held Investments,,,,,
LincolnHealth,Board Designated and Undesignated Investments,,,,,9576443
LincolnHealth,Due From Affiliates,,,,,
LincolnHealth,Investments in Affiliates,,,,,1872000
LincolnHealth,Other Non-current Assets,,,,,661841
LincolnHealth,"Gross Property, Plant and Equipment",,,,,
LincolnHealth,Accumulated Depreciation,,,,,44465683
LincolnHealth,"Net Property, Plant and Equipment",,,,,
LincolnHealth,Total Unrestricted Assets,,,,,66510065
LincolnHealth,Total Current Liabilities,,,,,9800189
LincolnHealth,Current Long Term Debt,,,,,
LincolnHealth,Accounts Payable and Accrued Expenses,,,,,2957083
LincolnHealth,Estimated Third Party Settlements,,,,,
LincolnHealth,Due to Affiliates,,,,,5217069
LincolnHealth,Other Current Liabilities,,,,,711033
LincolnHealth,Total Non-current Liabilities,,,,,13447228
LincolnHealth,Long Term Debt,,,,,13130394
LincolnHealth,Estimated Third Party Settlements,,,,,
LincolnHealth,Due to Affiliates,,,,,
LincolnHealth,Self Insurance Fund,,,,,
LincolnHealth,Accrued Pension and Post Retiree Health Benefits,,,,,
LincolnHealth,Other Non-Current Liabilities,,,,,316834
LincolnHealth,Fund Balance Unrestricted,,,,,43262648
LincolnHealth,Total Liabilities & Equity,,,,,66510065
LincolnHealth,Total Restricted Assets,,,,,5693732
LincolnHealth,Cash and Investments,,,,,5693229
LincolnHealth,Receivables,,,,,503
LincolnHealth,Other Assets,,,,,
LincolnHealth,Total Restricted Liabilities and Equity,,,,,5693731
LincolnHealth,Total Restricted Fund Balance,,,,,5662049
LincolnHealth,Total Liabilities,,,,,31682
LincolnHealth,Temporarily Restricted Net Assets,,,,,413611
LincolnHealth,Permanently Restricted Net Assets,,,,,5248438
LincolnHealth,Total Gross Patient Service Revenue,,,,,
LincolnHealth,Gross Inpatient Service Revenue,,,,,39286182
LincolnHealth,Gross Outpatient Service Revenue,,,,,75290488
LincolnHealth,Free Care,,,,,
LincolnHealth,Bad Debt,,,,,
LincolnHealth,Contractuals,,,,,39996957
LincolnHealth,Changes in Prior Year Estimated/Final Settlements,,,,,-1669000
LincolnHealth,Net Patient Service Revenue,,,,,67940639
LincolnHealth,Other Operating Revenue,,,,,2244588
LincolnHealth,Total Operating Revenue,,,,,70185227
LincolnHealth,Total Operating Expenses,,,,,71174000
LincolnHealth,Depreciation and Amortization,,,,,2916078
LincolnHealth,Interest,,,,,709968
LincolnHealth,Advertising Expenses,,,,,72063
LincolnHealth,Allowed Advertising Expenses,,,,,63887
LincolnHealth,Non-Allowed Advertising Expenses,,,,,8176
LincolnHealth,Salaries and Benefits,,,,,27941794
LincolnHealth,Other Operating Expenses,,,,,39534097
LincolnHealth,Net Operating Income,,,,,-988773
LincolnHealth,Total Non-operating Revenue,,,,,643779
LincolnHealth,Total Investment Income,,,,,533222
LincolnHealth,Interest and Dividends,,,,,285777
LincolnHealth,Realized Gains/Losses on Sales of Securities,,,,,247445
LincolnHealth,Permanently Impaired Security Writedowns,,,,,
LincolnHealth,Gains/Losses on Joint Ventures/Equity Investments,,,,,
LincolnHealth,Permanently Impaired Writedowns of Other Assets,,,,,
LincolnHealth,Other Non-Operating Revenues,,,,,
LincolnHealth,Excess of Revenue over Expenses,,,,,-344994
