Hospital,Ratio,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Eastern Maine Medical Center,Realized Gains Divided by Non-Operating Revenue,-0.014,-0.043,0.081,0.586,0.092
Eastern Maine Medical Center,Realized Gains Divided by Net Income,-0.001,-0.009,0.03,0.094,-0.028
Eastern Maine Medical Center,Long Term Debt to Equity,0.174,0.155,0.141,0.148,0.142
Franklin Memorial Hospital,Current Ratio with Board Designated and Undesignated Investments,4.207,4.52,5.528,1.943,2.371
Franklin Memorial Hospital,Current Ratio without Board Designated and Undesignated Investments,3.653,3.925,4.805,1.943,2.371
Franklin Memorial Hospital,Days in Accounts Receivable,41.974,38.367,47.195,44.601,48.382
Franklin Memorial Hospital,Acid Test,1.923,1.585,2.023,0.595,0.936
Franklin Memorial Hospital,"Days Cash on Hand, Current",97.983,68.307,75.037,26.081,39.789
Franklin Memorial Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",126.183,93.954,101.824,26.081,39.789
Franklin Memorial Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",44.715,34.492,34.227,39.838,31.313
Franklin Memorial Hospital,"Average Payment Period, Current Liabilities",50.944,43.104,37.098,43.85,42.502
Franklin Memorial Hospital,Equity Financing Ratio,0.674,0.689,0.583,0.492,0.521
Franklin Memorial Hospital,Fixed Asset Financing,0.439,0.415,0.85,0.631,0.624
Franklin Memorial Hospital,Cash Flow Divided by Total Debt,0.346,0.239,0.234,0.255,0.183
Franklin Memorial Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.292,0.178,0.194,0.222,0.179
Franklin Memorial Hospital,Debt Service Coverage Total,4.998,3.505,4.829,8.188,4.087
Franklin Memorial Hospital,Debt Service Coverage Total with Operating Income Only,4.294,2.72,4.054,7.198,4.014
Franklin Memorial Hospital,Total Margin,0.062,0.023,0.056,0.061,0.023
Franklin Memorial Hospital,Operating Margin,0.046,0.006,0.039,0.048,0.021
Franklin Memorial Hospital,Non Operating Revenue Margin,0.268,0.764,0.319,0.229,0.07
Franklin Memorial Hospital,Return On Assets,0.065,0.025,0.053,0.073,0.027
Franklin Memorial Hospital,Return On Equity,0.096,0.036,0.091,0.149,0.052
Franklin Memorial Hospital,Markup,1.893,1.922,1.995,2.083,2.1
Franklin Memorial Hospital,Deductible,0.423,0.457,0.472,0.479,0.48
Franklin Memorial Hospital,Markup Adjustment for Deductible,1.108,1.064,1.072,1.106,1.107
Franklin Memorial Hospital,Reported Income Index,0.896,0.691,0.795,-0.407,0.595
Franklin Memorial Hospital,Total Asset Turnover,1.049,1.056,0.95,1.2,1.188
Franklin Memorial Hospital,Fixed Asset Turnover,2.315,2.205,2.399,1.977,2.122
Franklin Memorial Hospital,Average Age Plant Depreciation Only,9.339,9.578,8.856,8.924,8.829
Franklin Memorial Hospital,Total Operating Expense Growth,0.123,0.081,0.16,0.089,0.066
Franklin Memorial Hospital,Total Operating Revenue Growth,0.105,0.037,0.2,0.1,0.037
Franklin Memorial Hospital,Realized Gains Divided by Non-Operating Revenue,0.603,0.587,0.583,0.606,
Franklin Memorial Hospital,Realized Gains Divided by Net Income,0.162,0.449,0.186,0.139,
Franklin Memorial Hospital,Long Term Debt to Equity,0.29,0.283,0.567,0.768,0.669
Henrietta D. Goodall Hospital,Current Ratio with Board Designated and Undesignated Investments,3.227,2.867,2.871,2.053,1.652
Henrietta D. Goodall Hospital,Current Ratio without Board Designated and Undesignated Investments,0.982,1.167,1.337,0.847,1.013
Henrietta D. Goodall Hospital,Days in Accounts Receivable,48.317,55.271,53.612,60.288,46.292
Henrietta D. Goodall Hospital,Acid Test,0.324,0.126,0.252,0.088,0.288
Henrietta D. Goodall Hospital,"Days Cash on Hand, Current",34.431,12.736,26.655,10.121,24.954
Henrietta D. Goodall Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",272.807,184.033,188.848,148.214,80.365
Henrietta D. Goodall Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",70.492,67.146,68.212,71.025,63.22
Henrietta D. Goodall Hospital,"Average Payment Period, Current Liabilities",106.166,100.785,105.671,114.505,86.741
Henrietta D. Goodall Hospital,Equity Financing Ratio,0.624,0.604,0.538,0.513,0.465
Henrietta D. Goodall Hospital,Fixed Asset Financing,0.529,0.509,0.645,0.635,0.643
Henrietta D. Goodall Hospital,Cash Flow Divided by Total Debt,-0.009,0.132,0.222,0.027,-0.152
Henrietta D. Goodall Hospital,Cash Flow Divided by Total Debt with Operating Income Only,-0.063,0.072,0.077,0.036,-0.074
Henrietta D. Goodall Hospital,Debt Service Coverage Total,0.299,2.545,4.393,0.898,-1.564
Henrietta D. Goodall Hospital,Debt Service Coverage Total with Operating Income Only,-0.612,1.574,1.825,1.029,-0.572
Henrietta D. Goodall Hospital,Total Margin,-0.062,0.019,0.089,-0.035,-0.152
Henrietta D. Goodall Hospital,Operating Margin,-0.096,-0.011,0.0,-0.029,-0.098
Henrietta D. Goodall Hospital,Non Operating Revenue Margin,-0.487,1.596,0.998,0.176,0.322
Henrietta D. Goodall Hospital,Return On Assets,-0.042,0.015,0.067,-0.025,-0.13
Henrietta D. Goodall Hospital,Return On Equity,-0.067,0.025,0.125,-0.049,-0.28
Henrietta D. Goodall Hospital,Markup,1.647,1.769,1.816,1.947,2.028
Henrietta D. Goodall Hospital,Deductible,0.412,0.411,0.421,0.457,0.477
Henrietta D. Goodall Hospital,Markup Adjustment for Deductible,0.985,1.056,1.07,1.076,1.079
Henrietta D. Goodall Hospital,Reported Income Index,1.867,0.795,2.487,0.845,0.879
Henrietta D. Goodall Hospital,Total Asset Turnover,0.675,0.795,0.757,0.716,0.857
Henrietta D. Goodall Hospital,Fixed Asset Turnover,1.935,2.061,1.629,1.717,1.855
Henrietta D. Goodall Hospital,Average Age Plant Depreciation Only,8.202,8.764,8.635,8.787,9.148
Henrietta D. Goodall Hospital,Total Operating Expense Growth,0.247,0.16,0.046,0.064,0.113
Henrietta D. Goodall Hospital,Total Operating Revenue Growth,0.145,0.256,0.058,0.034,0.043
Henrietta D. Goodall Hospital,Realized Gains Divided by Non-Operating Revenue,0.799,1.059,1.031,-1.631,0.223
Henrietta D. Goodall Hospital,Realized Gains Divided by Net Income,-0.389,1.69,1.029,-0.287,0.072
Henrietta D. Goodall Hospital,Long Term Debt to Equity,0.287,0.315,0.508,0.519,0.67
Houlton Regional Hospital,Current Ratio with Board Designated and Undesignated Investments,1.432,1.466,1.67,1.783,1.673
Houlton Regional Hospital,Current Ratio without Board Designated and Undesignated Investments,0.994,1.104,1.224,1.435,1.376
Houlton Regional Hospital,Days in Accounts Receivable,59.028,51.521,49.55,47.2,41.172
Houlton Regional Hospital,Acid Test,0.084,0.058,0.304,0.066,0.403
Houlton Regional Hospital,"Days Cash on Hand, Current",8.03,5.759,26.183,5.604,35.918
Houlton Regional Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",49.82,41.687,64.598,35.0,62.411
Houlton Regional Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",47.596,51.211,41.599,39.189,42.437
Houlton Regional Hospital,"Average Payment Period, Current Liabilities",95.281,99.07,86.073,84.498,89.119
Houlton Regional Hospital,Equity Financing Ratio,0.233,0.213,0.258,0.303,0.261
Houlton Regional Hospital,Fixed Asset Financing,0.907,0.927,0.947,0.873,0.998
Houlton Regional Hospital,Cash Flow Divided by Total Debt,0.146,0.053,0.077,0.171,0.032
Houlton Regional Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.138,0.11,0.136,0.218,0.081
Houlton Regional Hospital,Debt Service Coverage Total,2.729,1.319,1.715,3.434,1.182
Houlton Regional Hospital,Debt Service Coverage Total with Operating Income Only,2.605,2.19,2.611,4.247,2.191
Houlton Regional Hospital,Total Margin,0.034,-0.012,0.008,0.055,-0.006
Houlton Regional Hospital,Operating Margin,0.029,0.021,0.038,0.075,0.021
Houlton Regional Hospital,Non Operating Revenue Margin,0.138,2.731,-3.89,-0.4,4.504
Houlton Regional Hospital,Return On Assets,0.045,-0.016,0.011,0.083,-0.008
Houlton Regional Hospital,Return On Equity,0.192,-0.077,0.044,0.275,-0.031
Houlton Regional Hospital,Markup,1.753,1.611,1.642,1.636,1.593
Houlton Regional Hospital,Deductible,0.403,0.357,0.349,0.341,0.339
Houlton Regional Hospital,Markup Adjustment for Deductible,1.063,1.044,1.076,1.083,1.057
Houlton Regional Hospital,Reported Income Index,1.414,4.942,0.239,1.256,10.459
Houlton Regional Hospital,Total Asset Turnover,1.32,1.321,1.42,1.514,1.322
Houlton Regional Hospital,Fixed Asset Turnover,2.636,2.959,3.382,3.801,3.397
Houlton Regional Hospital,Average Age Plant Depreciation Only,15.161,15.95,21.226,25.632,25.871
Houlton Regional Hospital,Total Operating Expense Growth,0.076,0.132,0.06,0.11,0.075
Houlton Regional Hospital,Total Operating Revenue Growth,0.138,0.122,0.078,0.155,0.015
Houlton Regional Hospital,Realized Gains Divided by Non-Operating Revenue,0.879,-0.044,0.001,0.09,0.237
Houlton Regional Hospital,Realized Gains Divided by Net Income,0.121,-0.119,-0.003,-0.036,1.066
Houlton Regional Hospital,Long Term Debt to Equity,1.94,2.012,1.586,1.174,1.528
Inland Hospital,Current Ratio with Board Designated and Undesignated Investments,1.397,1.638,1.35,1.476,1.476
Inland Hospital,Current Ratio without Board Designated and Undesignated Investments,1.018,1.18,0.954,1.036,0.834
Inland Hospital,Days in Accounts Receivable,32.566,28.386,29.823,33.66,25.927
Inland Hospital,Acid Test,0.19,0.295,0.128,0.122,0.162
Inland Hospital,"Days Cash on Hand, Current",18.038,24.754,9.319,8.283,11.34
Inland Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",53.986,63.133,38.093,38.174,56.18
Inland Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",31.773,37.739,32.164,37.944,35.948
Inland Hospital,"Average Payment Period, Current Liabilities",94.979,83.813,72.529,67.999,69.898
Inland Hospital,Equity Financing Ratio,0.511,0.488,0.529,0.488,0.502
Inland Hospital,Fixed Asset Financing,0.358,0.489,0.373,0.524,0.491
Inland Hospital,Cash Flow Divided by Total Debt,0.402,0.047,0.217,0.206,0.198
Inland Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.39,0.044,0.198,0.194,0.213
Inland Hospital,Debt Service Coverage Total,5.806,0.481,3.147,3.842,3.676
Inland Hospital,Debt Service Coverage Total with Operating Income Only,5.646,0.464,2.912,3.638,3.92
Inland Hospital,Total Margin,0.096,-0.023,0.029,0.035,0.032
Inland Hospital,Operating Margin,0.092,-0.024,0.024,0.031,0.036
Inland Hospital,Non Operating Revenue Margin,0.04,-0.046,0.194,0.119,-0.152
Inland Hospital,Return On Assets,0.145,-0.031,0.044,0.053,0.048
Inland Hospital,Return On Equity,0.284,-0.063,0.084,0.108,0.096
Inland Hospital,Markup,1.792,1.794,1.807,1.873,1.821
Inland Hospital,Deductible,0.355,0.426,0.404,0.413,0.399
Inland Hospital,Markup Adjustment for Deductible,1.167,1.043,1.086,1.105,1.1
Inland Hospital,Reported Income Index,0.863,7.083,1.033,1.613,0.623
Inland Hospital,Total Asset Turnover,1.514,1.363,1.52,1.523,1.529
Inland Hospital,Fixed Asset Turnover,4.098,3.385,3.234,3.481,3.778
Inland Hospital,Average Age Plant Depreciation Only,12.157,7.802,8.243,8.622,8.824
Inland Hospital,Total Operating Expense Growth,0.157,0.056,0.065,0.156,0.157
Inland Hospital,Total Operating Revenue Growth,0.235,-0.064,0.117,0.164,0.164
Inland Hospital,Realized Gains Divided by Non-Operating Revenue,-0.019,1.613,0.113,0.759,0.072
Inland Hospital,Realized Gains Divided by Net Income,-0.001,-0.073,0.022,0.09,-0.011
Inland Hospital,Long Term Debt to Equity,0.258,0.403,0.33,0.467,0.397
Maine Coast Memorial Hospital,Current Ratio with Board Designated and Undesignated Investments,1.985,2.319,3.12,2.705,2.697
Maine Coast Memorial Hospital,Current Ratio without Board Designated and Undesignated Investments,1.669,1.99,2.652,2.218,2.414
Maine Coast Memorial Hospital,Days in Accounts Receivable,36.088,26.312,34.215,34.213,31.693
Maine Coast Memorial Hospital,Acid Test,0.918,1.036,1.795,1.136,1.542
Maine Coast Memorial Hospital,"Days Cash on Hand, Current",51.425,46.476,86.492,58.024,84.259
Maine Coast Memorial Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",69.102,61.238,109.065,82.9,99.739
Maine Coast Memorial Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",44.056,40.855,43.589,46.893,50.291
Maine Coast Memorial Hospital,"Average Payment Period, Current Liabilities",56.036,44.84,48.189,51.058,54.638
Maine Coast Memorial Hospital,Equity Financing Ratio,0.527,0.565,0.556,0.611,0.542
Maine Coast Memorial Hospital,Fixed Asset Financing,0.449,0.438,0.42,0.422,0.549
Maine Coast Memorial Hospital,Cash Flow Divided by Total Debt,0.186,0.221,0.47,0.301,0.193
Maine Coast Memorial Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.159,0.188,0.214,0.26,0.198
Maine Coast Memorial Hospital,Debt Service Coverage Total,3.783,3.829,9.264,5.248,4.318
Maine Coast Memorial Hospital,Debt Service Coverage Total with Operating Income Only,3.299,3.329,4.461,4.599,4.419
Maine Coast Memorial Hospital,Total Margin,0.036,0.029,0.111,0.048,0.034
Maine Coast Memorial Hospital,Operating Margin,0.028,0.02,0.039,0.038,0.036
Maine Coast Memorial Hospital,Non Operating Revenue Margin,0.244,0.313,0.673,0.22,-0.051
Maine Coast Memorial Hospital,Return On Assets,0.051,0.046,0.169,0.072,0.046
Maine Coast Memorial Hospital,Return On Equity,0.097,0.081,0.304,0.118,0.084
Maine Coast Memorial Hospital,Markup,1.877,1.969,1.945,2.025,2.042
Maine Coast Memorial Hospital,Deductible,0.422,0.459,0.442,0.46,0.458
Maine Coast Memorial Hospital,Markup Adjustment for Deductible,1.104,1.086,1.107,1.112,1.117
Maine Coast Memorial Hospital,Reported Income Index,0.275,1.08,1.66,0.971,1.194
Maine Coast Memorial Hospital,Total Asset Turnover,1.402,1.578,1.523,1.516,1.337
Maine Coast Memorial Hospital,Fixed Asset Turnover,2.342,2.737,3.11,3.278,2.778
Maine Coast Memorial Hospital,Average Age Plant Depreciation Only,13.265,8.446,8.96,8.386,7.705
Maine Coast Memorial Hospital,Total Operating Expense Growth,0.093,0.142,0.099,0.105,0.085
Maine Coast Memorial Hospital,Total Operating Revenue Growth,0.098,0.133,0.121,0.103,0.082
Maine Coast Memorial Hospital,Realized Gains Divided by Non-Operating Revenue,-0.302,0.153,-0.002,-0.069,5.667
Maine Coast Memorial Hospital,Realized Gains Divided by Net Income,-0.073,0.048,-0.001,-0.015,-0.287
Maine Coast Memorial Hospital,Long Term Debt to Equity,0.506,0.443,0.342,0.316,0.488
MaineGeneral Medical Center,Current Ratio with Board Designated and Undesignated Investments,5.349,4.883,4.396,4.252,3.906
MaineGeneral Medical Center,Current Ratio without Board Designated and Undesignated Investments,2.14,1.459,1.328,1.847,2.219
MaineGeneral Medical Center,Days in Accounts Receivable,34.322,32.117,34.366,32.064,29.961
MaineGeneral Medical Center,Acid Test,0.264,0.3,0.127,0.287,0.844
MaineGeneral Medical Center,"Days Cash on Hand, Current",12.459,14.316,6.311,11.684,36.961
MaineGeneral Medical Center,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",163.726,177.879,159.332,109.727,110.843
MaineGeneral Medical Center,"Average Payment Period, Accounts Payable and Accrued Expenses",26.201,24.677,30.327,25.855,32.013
MaineGeneral Medical Center,"Average Payment Period, Current Liabilities",47.136,47.763,49.877,40.775,43.784
MaineGeneral Medical Center,Equity Financing Ratio,0.648,0.638,0.686,0.668,0.599
MaineGeneral Medical Center,Fixed Asset Financing,0.478,0.605,0.417,0.364,0.347
MaineGeneral Medical Center,Cash Flow Divided by Total Debt,0.287,0.34,0.34,0.166,0.166
MaineGeneral Medical Center,Cash Flow Divided by Total Debt with Operating Income Only,0.248,0.231,0.248,0.135,0.263
MaineGeneral Medical Center,Debt Service Coverage Total,4.816,6.435,5.728,2.24,2.599
MaineGeneral Medical Center,Debt Service Coverage Total with Operating Income Only,4.211,4.474,4.27,1.887,3.932
MaineGeneral Medical Center,Total Margin,0.048,0.074,0.057,-0.013,-0.011
MaineGeneral Medical Center,Operating Margin,0.034,0.034,0.027,-0.024,0.025
MaineGeneral Medical Center,Non Operating Revenue Margin,0.297,0.558,0.544,-0.771,3.375
MaineGeneral Medical Center,Return On Assets,0.046,0.071,0.053,-0.013,-0.012
MaineGeneral Medical Center,Return On Equity,0.072,0.111,0.078,-0.02,-0.019
MaineGeneral Medical Center,Markup,1.837,1.828,1.83,1.832,1.962
MaineGeneral Medical Center,Deductible,0.403,0.404,0.402,0.433,0.455
MaineGeneral Medical Center,Markup Adjustment for Deductible,1.111,1.104,1.111,1.054,1.09
MaineGeneral Medical Center,Reported Income Index,0.803,0.94,0.524,0.238,0.115
MaineGeneral Medical Center,Total Asset Turnover,0.975,0.955,0.941,1.012,1.047
MaineGeneral Medical Center,Fixed Asset Turnover,2.735,2.455,1.989,1.967,2.15
MaineGeneral Medical Center,Average Age Plant Depreciation Only,8.505,8.606,8.427,7.589,7.349
MaineGeneral Medical Center,Total Operating Expense Growth,0.109,0.095,0.097,0.094,-0.014
MaineGeneral Medical Center,Total Operating Revenue Growth,0.093,0.095,0.089,0.041,0.036
MaineGeneral Medical Center,Realized Gains Divided by Non-Operating Revenue,-0.156,0.265,-0.178,-1.424,0.053
MaineGeneral Medical Center,Realized Gains Divided by Net Income,-0.047,0.148,-0.097,1.097,0.179
MaineGeneral Medical Center,Long Term Debt to Equity,0.26,0.353,0.278,0.277,0.293
Maine Medical Center,Current Ratio with Board Designated and Undesignated Investments,3.595,3.456,2.944,3.473,3.844
Maine Medical Center,Current Ratio without Board Designated and Undesignated Investments,2.866,2.752,2.419,2.74,3.019
Maine Medical Center,Days in Accounts Receivable,18.678,18.544,20.266,29.68,25.718
Maine Medical Center,Acid Test,2.216,2.3,1.92,2.102,2.391
Maine Medical Center,"Days Cash on Hand, Current",194.436,222.562,224.615,161.691,162.911
Maine Medical Center,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",258.447,290.699,286.081,218.054,219.098
Maine Medical Center,"Average Payment Period, Accounts Payable and Accrued Expenses",35.831,35.712,37.665,35.591,35.364
Maine Medical Center,"Average Payment Period, Current Liabilities",87.746,96.771,117.012,76.933,68.14
Maine Medical Center,Equity Financing Ratio,0.712,0.622,0.602,0.607,0.509
Maine Medical Center,Fixed Asset Financing,0.305,0.534,0.409,0.336,0.301
Maine Medical Center,Cash Flow Divided by Total Debt,0.6,0.278,0.284,0.265,0.245
Maine Medical Center,Cash Flow Divided by Total Debt with Operating Income Only,0.495,0.215,0.222,0.227,0.214
Maine Medical Center,Debt Service Coverage Total,10.606,9.384,13.539,8.635,6.52
Maine Medical Center,Debt Service Coverage Total with Operating Income Only,8.811,7.334,10.678,7.461,5.723
Maine Medical Center,Total Margin,0.146,0.091,0.112,0.083,0.092
Maine Medical Center,Operating Margin,0.115,0.06,0.079,0.065,0.073
Maine Medical Center,Non Operating Revenue Margin,0.242,0.364,0.319,0.238,0.218
Maine Medical Center,Return On Assets,0.126,0.065,0.077,0.062,0.071
Maine Medical Center,Return On Equity,0.176,0.105,0.127,0.102,0.139
Maine Medical Center,Markup,1.703,1.665,1.693,1.719,1.803
Maine Medical Center,Deductible,0.331,0.321,0.331,0.347,0.367
Maine Medical Center,Markup Adjustment for Deductible,1.145,1.136,1.138,1.126,1.146
Maine Medical Center,Reported Income Index,1.39,3.091,1.998,-4.681,-1.111
Maine Medical Center,Total Asset Turnover,0.857,0.713,0.682,0.741,0.77
Maine Medical Center,Fixed Asset Turnover,2.301,1.987,1.671,1.568,1.617
Maine Medical Center,Average Age Plant Depreciation Only,8.451,7.969,8.701,7.916,6.79
Maine Medical Center,Total Operating Expense Growth,0.065,0.048,0.031,0.089,0.091
Maine Medical Center,Total Operating Revenue Growth,0.148,-0.013,0.053,0.072,0.101
Maine Medical Center,Realized Gains Divided by Non-Operating Revenue,0.097,0.034,-0.092,-0.292,-0.26
Maine Medical Center,Realized Gains Divided by Net Income,0.023,0.013,-0.029,-0.07,-0.057
Maine Medical Center,Long Term Debt to Equity,0.154,0.298,0.267,0.256,0.276
Mayo Regional Hospital,Current Ratio with Board Designated and Undesignated Investments,5.232,5.043,5.371,3.601,3.871
Mayo Regional Hospital,Current Ratio without Board Designated and Undesignated Investments,3.607,3.45,3.548,2.24,2.316
Mayo Regional Hospital,Days in Accounts Receivable,40.882,37.367,30.94,26.266,29.434
Mayo Regional Hospital,Acid Test,1.303,1.16,1.481,1.066,1.435
Mayo Regional Hospital,"Days Cash on Hand, Current",48.422,43.619,56.76,47.981,72.523
Mayo Regional Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",108.785,103.509,126.611,109.255,151.099
Mayo Regional Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",30.733,31.217,32.278,39.286,32.517
Mayo Regional Hospital,"Average Payment Period, Current Liabilities",37.149,37.603,38.318,45.03,50.532
Mayo Regional Hospital,Equity Financing Ratio,0.645,0.655,0.69,0.698,0.714
Mayo Regional Hospital,Fixed Asset Financing,0.566,0.534,0.495,0.415,0.376
Mayo Regional Hospital,Cash Flow Divided by Total Debt,0.494,0.28,0.429,0.319,0.434
Mayo Regional Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.461,0.235,0.359,0.317,0.391
Mayo Regional Hospital,Debt Service Coverage Total,6.083,3.736,5.495,4.189,5.782
Mayo Regional Hospital,Debt Service Coverage Total with Operating Income Only,5.706,3.197,4.654,4.162,5.243
Mayo Regional Hospital,Total Margin,0.112,0.047,0.076,0.043,0.066
Mayo Regional Hospital,Operating Margin,0.104,0.033,0.058,0.042,0.056
Mayo Regional Hospital,Non Operating Revenue Margin,0.087,0.296,0.244,0.014,0.161
Mayo Regional Hospital,Return On Assets,0.134,0.053,0.089,0.05,0.076
Mayo Regional Hospital,Return On Equity,0.208,0.081,0.129,0.071,0.107
Mayo Regional Hospital,Markup,1.685,1.605,1.59,1.511,1.595
Mayo Regional Hospital,Deductible,0.324,0.338,0.311,0.294,0.318
Mayo Regional Hospital,Markup Adjustment for Deductible,1.153,1.074,1.106,1.076,1.099
Mayo Regional Hospital,Reported Income Index,0.995,1.041,1.005,1.028,1.007
Mayo Regional Hospital,Total Asset Turnover,1.193,1.141,1.174,1.154,1.162
Mayo Regional Hospital,Fixed Asset Turnover,2.659,2.534,2.843,2.782,3.045
Mayo Regional Hospital,Average Age Plant Depreciation Only,12.753,12.104,11.884,11.335,11.179
Mayo Regional Hospital,Total Operating Expense Growth,0.121,0.097,0.087,0.082,0.074
Mayo Regional Hospital,Total Operating Revenue Growth,0.127,0.017,0.116,0.064,0.089
Mayo Regional Hospital,Realized Gains Divided by Non-Operating Revenue,0.13,0.184,0.33,-19.879,0.122
Mayo Regional Hospital,Realized Gains Divided by Net Income,0.011,0.055,0.081,-0.27,0.02
Mayo Regional Hospital,Long Term Debt to Equity,0.39,0.362,0.291,0.247,0.199
Mercy Hospital,Current Ratio with Board Designated and Undesignated Investments,2.788,5.726,3.53,1.859,2.257
Mercy Hospital,Current Ratio without Board Designated and Undesignated Investments,1.605,1.946,1.563,1.214,1.413
Mercy Hospital,Days in Accounts Receivable,55.965,43.673,43.799,46.01,38.904
Mercy Hospital,Acid Test,0.126,0.415,0.65,-0.006,0.375
Mercy Hospital,"Days Cash on Hand, Current",7.797,24.496,43.96,-0.463,22.583
Mercy Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",80.985,247.65,176.837,46.945,73.377
Mercy Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",30.63,44.82,46.988,44.705,34.133
Mercy Hospital,"Average Payment Period, Current Liabilities",61.865,59.033,67.583,73.531,60.185
Mercy Hospital,Equity Financing Ratio,0.682,0.463,0.462,0.435,0.493
Mercy Hospital,Fixed Asset Financing,0.283,1.437,0.885,0.571,0.593
Mercy Hospital,Cash Flow Divided by Total Debt,0.346,0.14,0.129,-0.039,0.18
Mercy Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.293,0.115,0.095,0.069,0.058
Mercy Hospital,Debt Service Coverage Total,5.75,6.976,9.553,-1.757,2.072
Mercy Hospital,Debt Service Coverage Total with Operating Income Only,4.922,5.773,7.114,4.799,0.831
Mercy Hospital,Total Margin,0.043,0.047,0.044,-0.081,0.036
Mercy Hospital,Operating Margin,0.028,0.03,0.021,-0.003,-0.029
Mercy Hospital,Non Operating Revenue Margin,0.348,0.375,0.523,0.955,1.763
Mercy Hospital,Return On Assets,0.049,0.037,0.035,-0.064,0.035
Mercy Hospital,Return On Equity,0.071,0.079,0.076,-0.147,0.071
Mercy Hospital,Markup,1.778,1.762,1.824,1.804,1.772
Mercy Hospital,Deductible,0.393,0.389,0.394,0.396,0.4
Mercy Hospital,Markup Adjustment for Deductible,1.09,1.084,1.114,1.1,1.071
Mercy Hospital,Reported Income Index,1.119,0.932,1.366,2.411,0.6
Mercy Hospital,Total Asset Turnover,1.133,0.782,0.802,0.793,0.978
Mercy Hospital,Fixed Asset Turnover,2.738,2.757,1.855,1.453,1.643
Mercy Hospital,Average Age Plant Depreciation Only,7.319,7.894,8.94,7.888,6.523
Mercy Hospital,Total Operating Expense Growth,0.069,0.106,0.091,0.119,0.102
Mercy Hospital,Total Operating Revenue Growth,0.064,0.108,0.081,0.091,0.074
Mercy Hospital,Realized Gains Divided by Non-Operating Revenue,0.52,0.529,0.328,0.132,-0.037
Mercy Hospital,Realized Gains Divided by Net Income,0.181,0.198,0.171,0.126,-0.065
Mercy Hospital,Long Term Debt to Equity,0.169,0.866,0.81,0.772,0.672
Mid Coast Hospital,Current Ratio with Board Designated and Undesignated Investments,3.955,4.553,4.33,4.101,3.372
Mid Coast Hospital,Current Ratio without Board Designated and Undesignated Investments,1.801,1.674,1.556,1.372,1.655
Mid Coast Hospital,Days in Accounts Receivable,21.582,24.537,24.807,29.788,29.428
Mid Coast Hospital,Acid Test,0.977,0.813,0.663,0.33,0.828
Mid Coast Hospital,"Days Cash on Hand, Current",48.739,41.8,35.938,15.656,49.226
Mid Coast Hospital,"Days Cash on Hand, Incl Board Designated & Undesignated Investments",156.16,189.873,186.384,145.291,151.344
Mid Coast Hospital,"Average Payment Period, Accounts Payable and Accrued Expenses",39.894,40.447,39.804,43.631,52.569
Mid Coast Hospital,"Average Payment Period, Current Liabilities",49.87,51.43,54.243,47.508,59.452
Mid Coast Hospital,Equity Financing Ratio,0.557,0.601,0.608,0.62,0.556
Mid Coast Hospital,Fixed Asset Financing,0.601,0.585,0.561,0.507,0.568
Mid Coast Hospital,Cash Flow Divided by Total Debt,0.244,0.338,0.253,0.193,0.169
Mid Coast Hospital,Cash Flow Divided by Total Debt with Operating Income Only,0.213,0.272,0.186,0.136,0.149
Mid Coast Hospital,Debt Service Coverage Total,2.857,4.094,3.526,2.685,5.372
Mid Coast Hospital,Debt Service Coverage Total with Operating Income Only,2.556,3.385,2.713,2.005,4.781
Mid Coast Hospital,Total Margin,0.071,0.103,0.069,0.033,0.041
Mid Coast Hospital,Operating Margin,0.056,0.076,0.041,0.01,0.031
Mid Coast Hospital,Non Operating Revenue Margin,0.223,0.291,0.428,0.694,0.255
Mid Coast Hospital,Return On Assets,0.062,0.091,0.061,0.031,0.036
Mid Coast Hospital,Return On Equity,0.111,0.152,0.101,0.05,0.064
Mid Coast Hospital,Markup,1.937,1.937,1.811,1.818,1.899
Mid Coast Hospital,Deductible,0.439,0.414,0.419,0.431,0.433
Mid Coast Hospital,Markup Adjustment for Deductible,1.099,1.145,1.063,1.048,1.091
