Hospital,Measure,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
Charles A. Dean Memorial Hospital,Interest and Dividends,15702,18345,119645,4667,2468
Charles A. Dean Memorial Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Charles A. Dean Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Charles A. Dean Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Charles A. Dean Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Charles A. Dean Memorial Hospital,Other Non-Operating Revenues,,,,,
Charles A. Dean Memorial Hospital,Excess of Revenue over Expenses,-177765,-1618250,1238653,2126720,1996634
Charles A. Dean Memorial Hospital,Extraordinary Gains/Losses,,,,,
Charles A. Dean Memorial Hospital,Total Surplus/Deficit,-177765,-1618250,1238653,2126720,1996634
Charles A. Dean Memorial Hospital,Total Change in Unrestricted Net Assets,-858023,-2006350,703423,2342908,1496050
Charles A. Dean Memorial Hospital,Net Assets Released for Restrictions,,,,,
Charles A. Dean Memorial Hospital,Unrealized Gains/Losses on Investments,-19879,89883,-101754,,
Charles A. Dean Memorial Hospital,Minimum Pension Liability Adjustment,-247734,-82195,97840,73619,-433358
Charles A. Dean Memorial Hospital,Transfers From/To Affiliates,-412659,-401924,-533129,-122838,-68009
Charles A. Dean Memorial Hospital,Mergers,,,,,
Charles A. Dean Memorial Hospital,Consolidations with Support,,,,,
Charles A. Dean Memorial Hospital,Other Changes,14,6136,1813,-1639,783
Down East Community Hospital,Total Current Assets,8023676,10156636,7407975,9191889,11349636
Down East Community Hospital,Cash and Investment,2040832,1351479,1259123,3634278,3793083
Down East Community Hospital,Current Assets Whose Use is Limited,413342,423954,432185,448617,1191549
Down East Community Hospital,Net Patient Accounts Receivable,3573055,3819696,4193187,3807521,5033704
Down East Community Hospital,Due from Affiliates,,,,,
Down East Community Hospital,Third Party Settlements Receivable,,,,,
Down East Community Hospital,Other Accounts Receivable,1137057,3528747,475227,148317,263869
Down East Community Hospital,Inventory,522969,499746,466816,528703,662779
Down East Community Hospital,Other Current Assets,336421,533014,581437,624453,404652
Down East Community Hospital,Total Non-Current Assets,12433797,10763480,14931873,14732133,21779554
Down East Community Hospital,Trustee Held Investments,,,,,
Down East Community Hospital,Board Designated and Undesignated Investments,2042913,705767,1212691,1240112,7244990
Down East Community Hospital,Due from Affiliates,,,,,
Down East Community Hospital,Investment in Affiliates,,,,,
Down East Community Hospital,Other Non-Current Assets,120485,384245,258733,116435,
Down East Community Hospital,"Gross Property, Plant and Equipment",,30078690,30242861,35254166,35945581
Down East Community Hospital,Accumulated Depreciation,19808291,20569393,21793717,22569995,22466230
Down East Community Hospital,"Net Property, Plant and Equipment",,10270399,9673468,13460449,13375586
Down East Community Hospital,Total Unrestricted Assets,20457473,20920116,22339848,23924022,33129190
Down East Community Hospital,Total Current Liabilities,6049013,7055647,5849600,6555994,5895058
Down East Community Hospital,Current Long Term Debt,,697266,693346,846185,949237
Down East Community Hospital,Accounts Payable and Accrued Expenses,2949747,6146301,3778263,3017161,3734342
Down East Community Hospital,Estimated Third Party Settlements,2402000,216000,586533,2026616,927837
Down East Community Hospital,Due to Affiliates,,,,,
Down East Community Hospital,Other Current Liabilities,,,638619,562980,611865
Down East Community Hospital,Total Non-Current Liabilities,7485876,5709213,7084243,7271741,14208428
Down East Community Hospital,Long Term Debt,2384020,1612591,4482550,4520340,11480292
Down East Community Hospital,Estimated Third Party Settlements,2391121,1548411,,,
Down East Community Hospital,Due to Affiliates,,,,,
Down East Community Hospital,Self Insurance Fund,,,,,
Down East Community Hospital,Accrued Pension and Post Retiree Health Benefits,2710735,2548211,2601693,2751401,2728136
Down East Community Hospital,Other Non-Current Liabilities,,,,,
Down East Community Hospital,Fund Balance Unrestricted,6922584,8155256,9406005,10096287,13025704
Down East Community Hospital,Total Liabilities & Equity,20457473,20920116,22339848,23924022,33129190
Down East Community Hospital,Total Restricted Assets,1757096,2640813,2534104,1752225,1705987
Down East Community Hospital,Cash and Investments,,2640813,2534104,1752225,1705987
Down East Community Hospital,Receivables,1757096,,,,
Down East Community Hospital,Other Assets,,,,,
Down East Community Hospital,Total Restricted Liabilities and Equity,1757096,2640813,2534104,1752225,1705987
Down East Community Hospital,Total Restricted Fund Balance,1757096,2640813,2534104,1752225,1705987
Down East Community Hospital,Total Liabilities,,,,,
Down East Community Hospital,Temporarily Restricted Net Assets,363500,1247217,1140508,358629,303457
Down East Community Hospital,Permanently Restricted Net Assets,1393596,1393596,1393596,1393596,1402530
Down East Community Hospital,Total Gross Patient Service Revenue,,73261912,77520878,85445795,94102095
Down East Community Hospital,Gross Inpatient Service Revenue,13339003,13191696,13088699,14230326,15776565
Down East Community Hospital,Gross Outpatient Service Revenue,59922909,64329182,72357096,79871769,88378589
Down East Community Hospital,Free Care,,,1880930,2064620,2457007
Down East Community Hospital,Bad Debt,,,,,2990480
Down East Community Hospital,Contractuals,33438173,35500915,38761023,44347764,52920188
Down East Community Hospital,Changes in Prior Year Estimated/Final Settlements,-42000,-1092000,-758000,-382000,-433000
Down East Community Hospital,Net Patient Service Revenue,34994329,38123866,42143323,44448634,48231370
Down East Community Hospital,Other Operating Revenue,1043648,608628,692171,815519,1701167
Down East Community Hospital,Total Operating Revenue,36037977,38732494,42835494,45264153,49932537
Down East Community Hospital,Total Operating Expenses,36241900,38120004,42319152,45142708,47880479
Down East Community Hospital,Depreciation and Amortization,1495762,1278690,1224324,1242419,1450317
Down East Community Hospital,Interest,135303,114621,134610,252040,268583
Down East Community Hospital,Advertising Expenses,64732,54209,78998,108570,68299
Down East Community Hospital,Allowed Advertising Expenses,32583,27717,39251,71227,22364
Down East Community Hospital,Non-Allowed Advertising Expenses,32149,26492,39747,37343,45935
Down East Community Hospital,Salaries and Benefits,21561106,20506229,29120916,30384542,32718720
Down East Community Hospital,Other Operating Expenses,12984997,16166255,11760304,13155137,13374560
Down East Community Hospital,Net Operating Income,-203923,612490,516342,121445,2052058
Down East Community Hospital,Total Non-Operating Revenue,99031,178746,161036,266293,242645
Down East Community Hospital,Total Investment Income,99031,178746,161036,266293,242645
Down East Community Hospital,Interest and Dividends,99031,178746,161036,266293,242645
Down East Community Hospital,Realized Gains/Losses on Sales of Securities,,,,,
Down East Community Hospital,Permanently Impaired Security Writedowns,,,,,
Down East Community Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Down East Community Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Down East Community Hospital,Other Non-Operating Revenues,,,,,
Down East Community Hospital,Excess of Revenue over Expenses,-104892,791236,677378,387738,2294703
Down East Community Hospital,Extraordinary Gains/Losses,,,,,
Down East Community Hospital,Total Surplus/Deficit,-104892,791236,677378,387738,2294703
Down East Community Hospital,Total Change in Unrestricted Net Assets,304206,1232682,1250750,690282,2929417
Down East Community Hospital,Net Assets Released for Restrictions,,,,70674,365469
Down East Community Hospital,Unrealized Gains/Losses on Investments,-159970,26926,263282,-276639,273259
Down East Community Hospital,Minimum Pension Liability Adjustment,604059,243846,31654,-143492,193973
Down East Community Hospital,Transfers From/To Affiliates,-34991,100000,-87033,-497,160000
Down East Community Hospital,Mergers,,,,,
Down East Community Hospital,Consolidations with Support,,,,,
Down East Community Hospital,Other Changes,,,,,-214140
Eastern Maine Medical Center,Total Current Assets,169521523,192131234,199622132,271218510,348295113
Eastern Maine Medical Center,Cash and Investment,47762234,65576104,28125022,116178677,151637889
Eastern Maine Medical Center,Current Assets Whose Use is Limited,11986674,16663619,3789260,3879617,4183258
Eastern Maine Medical Center,Net Patient Accounts Receivable,81937734,84186557,93736422,95653619,125679963
Eastern Maine Medical Center,Due from Affiliates,2776697,2244338,3343821,3894386,836715
Eastern Maine Medical Center,Third Party Settlements Receivable,11989099,9208938,51746553,30699380,46585659
Eastern Maine Medical Center,Other Accounts Receivable,4887477,4565448,5181284,6793714,7594545
Eastern Maine Medical Center,Inventory,2699182,3430338,4117217,3561165,4551199
Eastern Maine Medical Center,Other Current Assets,5482426,6255892,9582553,10557952,7225885
Eastern Maine Medical Center,Total Non-Current Assets,610226028,743220862,585709596,524662585,510190209
Eastern Maine Medical Center,Trustee Held Investments,41474869,144090612,82738154,21386941,16331051
Eastern Maine Medical Center,Board Designated and Undesignated Investments,206846016,192417920,49889759,53205491,54937405
Eastern Maine Medical Center,Due from Affiliates,,,,,
Eastern Maine Medical Center,Investment in Affiliates,,,,,
Eastern Maine Medical Center,Other Non-Current Assets,33440894,14734826,3021161,3261514,7235419
Eastern Maine Medical Center,"Gross Property, Plant and Equipment",,657583428,743637514,791680067,814768920
Eastern Maine Medical Center,Accumulated Depreciation,329119179,351660010,341619545,367960281,396887791
Eastern Maine Medical Center,"Net Property, Plant and Equipment",,328464249,391977504,450060522,446808639
Eastern Maine Medical Center,Total Unrestricted Assets,779747551,935352096,785331728,795881095,858485322
Eastern Maine Medical Center,Total Current Liabilities,93848524,88522871,81184469,86040176,101536644
Eastern Maine Medical Center,Current Long Term Debt,,3191672,3286324,3446144,3495103
Eastern Maine Medical Center,Accounts Payable and Accrued Expenses,75353702,76226192,70837666,66976034,55068069
Eastern Maine Medical Center,Estimated Third Party Settlements,8433361,2405515,842009,218422,1707932
Eastern Maine Medical Center,Due to Affiliates,5561921,5238899,4736646,13936338,39347575
Eastern Maine Medical Center,Other Current Liabilities,1307868,1365941,1322004,1414279,1854799
Eastern Maine Medical Center,Total Non-Current Liabilities,330519150,467981891,455304333,452097410,474855752
Eastern Maine Medical Center,Long Term Debt,208079450,355955176,351600169,347134396,342606115
Eastern Maine Medical Center,Estimated Third Party Settlements,9345516,9379516,1093352,1093352,
Eastern Maine Medical Center,Due to Affiliates,,,,,
Eastern Maine Medical Center,Self Insurance Fund,,,,,
Eastern Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,110440483,100234232,100185555,101540393,129868712
Eastern Maine Medical Center,Other Non-Current Liabilities,2653701,2412967,2425257,2329269,2380925
Eastern Maine Medical Center,Fund Balance Unrestricted,355379877,378847334,248842926,257743509,282092926
Eastern Maine Medical Center,Total Liabilities & Equity,779747551,935352096,785331728,795881095,858485322
Eastern Maine Medical Center,Total Restricted Assets,44470938,43705836,46887816,43214964,40282460
Eastern Maine Medical Center,Cash and Investments,44470938,43705836,46887816,43214964,40282460
Eastern Maine Medical Center,Receivables,,,,,
Eastern Maine Medical Center,Other Assets,,,,,
Eastern Maine Medical Center,Total Restricted Liabilities and Equity,44470938,43705836,46887816,43214963,40282460
Eastern Maine Medical Center,Total Restricted Fund Balance,44470938,43705836,46887816,43214963,40282460
Eastern Maine Medical Center,Total Liabilities,,,,,
Eastern Maine Medical Center,Temporarily Restricted Net Assets,32827338,31867125,34858924,30477511,27569248
Eastern Maine Medical Center,Permanently Restricted Net Assets,11643600,11838711,12028892,12737452,12713212
Eastern Maine Medical Center,Total Gross Patient Service Revenue,,1505053654,1631943865,1803509897,1903577823
Eastern Maine Medical Center,Gross Inpatient Service Revenue,768350376,807210409,907332236,954576957,1059051016
Eastern Maine Medical Center,Gross Outpatient Service Revenue,736703278,824733456,896177661,949000866,1047575482
Eastern Maine Medical Center,Free Care,,,20465047,24911411,23753163
Eastern Maine Medical Center,Bad Debt,,,,,32553501
Eastern Maine Medical Center,Contractuals,763767641,842711697,950676480,1021305859,1206346500
Eastern Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,-2352200,-3672071,-25811280,-6157031,-6928229
Eastern Maine Medical Center,Net Patient Service Revenue,690619665,742503234,815807993,814022092,860579895
Eastern Maine Medical Center,Other Operating Revenue,29766277,33686210,40223509,65256382,66474484
Eastern Maine Medical Center,Total Operating Revenue,720385942,776189444,856031502,879278474,927054379
Eastern Maine Medical Center,Total Operating Expenses,680823269,746442259,828215961,870395089,879045685
Eastern Maine Medical Center,Depreciation and Amortization,23769952,28514737,20190627,29089972,29598597
Eastern Maine Medical Center,Interest,2930842,5329982,11733068,14744681,14751160
Eastern Maine Medical Center,Advertising Expenses,1621983,1594176,2064704,1434966,1379031
Eastern Maine Medical Center,Allowed Advertising Expenses,,,,,
Eastern Maine Medical Center,Non-Allowed Advertising Expenses,1621983,1594176,2064704,1434966,1379031
Eastern Maine Medical Center,Salaries and Benefits,355113126,380058227,426990065,447274893,433401629
Eastern Maine Medical Center,Other Operating Expenses,297387366,330945137,367237497,377850577,399915268
Eastern Maine Medical Center,Net Operating Income,39562673,29747185,27815541,8883385,48008694
Eastern Maine Medical Center,Total Non-Operating Revenue,2283319,1777733,15723300,791636,1239147
Eastern Maine Medical Center,Total Investment Income,2283319,1777733,15723300,791636,777862
Eastern Maine Medical Center,Interest and Dividends,1705837,1580657,789586,786372,732606
Eastern Maine Medical Center,Realized Gains/Losses on Sales of Securities,577482,197076,14933714,5264,45256
Eastern Maine Medical Center,Permanently Impaired Security Writedowns,,,,,
Eastern Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,,,,,930192
Eastern Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Eastern Maine Medical Center,Other Non-Operating Revenues,,,,,
Eastern Maine Medical Center,Excess of Revenue over Expenses,41845992,31524918,43538841,9675021,49247841
Eastern Maine Medical Center,Extraordinary Gains/Losses,,,,,
Eastern Maine Medical Center,Total Surplus/Deficit,41845992,31524918,43538841,9675021,49247841
Eastern Maine Medical Center,Total Change in Unrestricted Net Assets,7416519,23467456,-130004408,8900583,24349416
Eastern Maine Medical Center,Net Assets Released for Restrictions,,,1870484,3132109,777278
Eastern Maine Medical Center,Unrealized Gains/Losses on Investments,-3055,9366374,-16696328,-183855,379780
Eastern Maine Medical Center,Minimum Pension Liability Adjustment,-15750733,-6971610,11094308,2026099,-30591635
Eastern Maine Medical Center,Transfers From/To Affiliates,-20597537,-13641508,-169031991,-6118560,1736143
Eastern Maine Medical Center,Mergers,,,,,
Eastern Maine Medical Center,Consolidations with Support,,,,,
Eastern Maine Medical Center,Other Changes,51368,57173,313484,56723,-295275
Franklin Memorial Hospital,Total Current Assets,16367409,12134787,14362556,19084308,19209626
Franklin Memorial Hospital,Cash and Investment,1414900,13278,1526555,4384042,-13690
Franklin Memorial Hospital,Current Assets Whose Use is Limited,404076,361998,391810,386993,412066
Franklin Memorial Hospital,Net Patient Accounts Receivable,8387622,7901603,8070664,7623619,7694974
Franklin Memorial Hospital,Due from Affiliates,268925,424036,486289,1595832,73758
Franklin Memorial Hospital,Third Party Settlements Receivable,1631015,684951,1348338,2506165,8152298
Franklin Memorial Hospital,Other Accounts Receivable,,,,,
Franklin Memorial Hospital,Inventory,,,1735840,1608966,1811396
Franklin Memorial Hospital,Other Current Assets,4260871,2748921,803060,978691,1078824
Franklin Memorial Hospital,Total Non-Current Assets,31667225,30968057,27997755,28835241,38275374
Franklin Memorial Hospital,Trustee Held Investments,-350765,-376304,,,
Franklin Memorial Hospital,Board Designated and Undesignated Investments,,,,,
Franklin Memorial Hospital,Due from Affiliates,,,,,
Franklin Memorial Hospital,Investment in Affiliates,,,,,
Franklin Memorial Hospital,Other Non-Current Assets,2239386,2579455,1640979,4196979,10830822
Franklin Memorial Hospital,"Gross Property, Plant and Equipment",,88239511,90241451,90865488,90977087
Franklin Memorial Hospital,Accumulated Depreciation,58460907,61476545,64508712,66338825,68034293
Franklin Memorial Hospital,"Net Property, Plant and Equipment",,29778604,28764906,26356776,24638262
Franklin Memorial Hospital,Total Unrestricted Assets,48034634,43102844,42360311,47919549,57485000
Franklin Memorial Hospital,Total Current Liabilities,10985942,9345703,9763773,10493963,10721146
Franklin Memorial Hospital,Current Long Term Debt,,725000,775000,825000,845000
Franklin Memorial Hospital,Accounts Payable and Accrued Expenses,8986920,4641164,5546778,6066718,7929154
Franklin Memorial Hospital,Estimated Third Party Settlements,,,,,
Franklin Memorial Hospital,Due to Affiliates,502628,3658602,3239937,3475757,1803005
Franklin Memorial Hospital,Other Current Liabilities,771394,270937,152058,106488,108987
Franklin Memorial Hospital,Total Non-Current Liabilities,20172300,20148593,18041341,19248902,23014496
Franklin Memorial Hospital,Long Term Debt,18080455,17215654,16355941,15453788,14516635
Franklin Memorial Hospital,Estimated Third Party Settlements,,,,,
Franklin Memorial Hospital,Due to Affiliates,,,785400,2895114,8497861
Franklin Memorial Hospital,Self Insurance Fund,,,,,
Franklin Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Franklin Memorial Hospital,Other Non-Current Liabilities,2091845,2932939,900000,900000,
Franklin Memorial Hospital,Fund Balance Unrestricted,16876392,13608548,14555198,18176684,23749358
Franklin Memorial Hospital,Total Liabilities & Equity,48034634,43102844,42360312,47919549,57485000
Franklin Memorial Hospital,Total Restricted Assets,2762510,2919384,3307943,2678764,2654497
Franklin Memorial Hospital,Cash and Investments,2762510,2919384,3006192,2678764,2654497
Franklin Memorial Hospital,Receivables,,,,,
Franklin Memorial Hospital,Other Assets,,,301751,,
Franklin Memorial Hospital,Total Restricted Liabilities and Equity,2762510,2919384,3307943,2678764,2654497
Franklin Memorial Hospital,Total Restricted Fund Balance,2762510,2919384,3307943,2678764,2654497
Franklin Memorial Hospital,Total Liabilities,,,,,
Franklin Memorial Hospital,Temporarily Restricted Net Assets,1525940,1679687,2149809,1510999,1488558
Franklin Memorial Hospital,Permanently Restricted Net Assets,1236570,1239697,1158134,1167765,1165939
Franklin Memorial Hospital,Total Gross Patient Service Revenue,,162078200,164675383,166744449,182476241
Franklin Memorial Hospital,Gross Inpatient Service Revenue,44337408,42203555,38907314,45123797,41766932
Franklin Memorial Hospital,Gross Outpatient Service Revenue,117740792,122471828,127837135,137352444,142422159
Franklin Memorial Hospital,Free Care,,,2942965,2948375,2753393
Franklin Memorial Hospital,Bad Debt,,,,,3603718
Franklin Memorial Hospital,Contractuals,82053016,86767094,84720303,96184834,93581765
Franklin Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-730000,-2275000,-267199,-907019,299639
Franklin Memorial Hospital,Net Patient Service Revenue,74208501,72502612,73391700,77633247,79612680
Franklin Memorial Hospital,Other Operating Revenue,3946766,3402938,2790112,3060386,3258736
Franklin Memorial Hospital,Total Operating Revenue,78155267,75905550,76181812,80693633,82871416
Franklin Memorial Hospital,Total Operating Expenses,78859215,81042764,81194827,86486480,92835343
Franklin Memorial Hospital,Depreciation and Amortization,3742913,3711734,3690828,3473160,4544665
Franklin Memorial Hospital,Interest,909838,828673,799853,729047,857151
Franklin Memorial Hospital,Advertising Expenses,118296,106763,130162,129756,3876
Franklin Memorial Hospital,Allowed Advertising Expenses,118296,106763,130162,129756,3876
Franklin Memorial Hospital,Non-Allowed Advertising Expenses,,,,,
Franklin Memorial Hospital,Salaries and Benefits,47164361,46386411,45482309,45487940,48698890
Franklin Memorial Hospital,Other Operating Expenses,26923807,30009183,31091675,36666577,38730761
Franklin Memorial Hospital,Net Operating Income,-703948,-5137214,-5013015,-5792847,-9963927
Franklin Memorial Hospital,Total Non-Operating Revenue,19899,141986,1258282,48376,-234293
Franklin Memorial Hospital,Total Investment Income,-21925,83266,-24418,-943,22935
Franklin Memorial Hospital,Interest and Dividends,-21925,-2300,-24418,-943,22935
Franklin Memorial Hospital,Realized Gains/Losses on Sales of Securities,,85566,,,
Franklin Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Franklin Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,1605,39206,,,
Franklin Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Franklin Memorial Hospital,Other Non-Operating Revenues,,,,40219,19514
Franklin Memorial Hospital,Excess of Revenue over Expenses,-684049,-4995228,-3754733,-5744471,-10198220
Franklin Memorial Hospital,Extraordinary Gains/Losses,,,,,
Franklin Memorial Hospital,Total Surplus/Deficit,-684049,-4995228,-3754733,-5744471,-10198220
Franklin Memorial Hospital,Total Change in Unrestricted Net Assets,-2080227,-3267872,946650,3621491,5572673
Franklin Memorial Hospital,Net Assets Released for Restrictions,,,76185,30311,29883
Franklin Memorial Hospital,Unrealized Gains/Losses on Investments,,,,,
Franklin Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Franklin Memorial Hospital,Transfers From/To Affiliates,-1472363,1697045,4671500,8535478,15739800
Franklin Memorial Hospital,Mergers,,,,,
Franklin Memorial Hospital,Consolidations with Support,,,,,
Franklin Memorial Hospital,Other Changes,,,,,
Houlton Regional Hospital,Total Current Assets,9882256,7982545,8340756,8474438,9600130
Houlton Regional Hospital,Cash and Investment,776889,23261,109560,32254,69229
Houlton Regional Hospital,Current Assets Whose Use is Limited,287572,297456,284565,289041,254328
Houlton Regional Hospital,Net Patient Accounts Receivable,7020340,6017490,6271498,6240011,7495521
Houlton Regional Hospital,Due from Affiliates,,,,,
Houlton Regional Hospital,Third Party Settlements Receivable,,,,,
Houlton Regional Hospital,Other Accounts Receivable,568974,352659,392769,453793,399744
Houlton Regional Hospital,Inventory,837749,836048,854091,895013,869619
Houlton Regional Hospital,Other Current Assets,390732,455631,428273,564326,511689
Houlton Regional Hospital,Total Non-Current Assets,15799705,15161819,14797151,14654474,14168926
Houlton Regional Hospital,Trustee Held Investments,,,,,
Houlton Regional Hospital,Board Designated and Undesignated Investments,4141212,4474278,4517757,4556782,4679384
Houlton Regional Hospital,Due from Affiliates,,,,,
Houlton Regional Hospital,Investment in Affiliates,,,,,
Houlton Regional Hospital,Other Non-Current Assets,494360,570989,637633,710443,753499
Houlton Regional Hospital,"Gross Property, Plant and Equipment",,41653185,41738187,42229286,42497888
Houlton Regional Hospital,Accumulated Depreciation,30489052,31621635,32587525,33110639,33920324
Houlton Regional Hospital,"Net Property, Plant and Equipment",,11164133,10116552,9641761,9387249
Houlton Regional Hospital,Total Unrestricted Assets,25681961,23144364,23137907,23128912,23769056
Houlton Regional Hospital,Total Current Liabilities,9051639,8837633,10010531,10272118,12591383
Houlton Regional Hospital,Current Long Term Debt,,986000,856000,770000,829000
Houlton Regional Hospital,Accounts Payable and Accrued Expenses,5420363,5746114,6424764,8316792,8854379
Houlton Regional Hospital,Estimated Third Party Settlements,972816,1221679,1195083,554034,788632
Houlton Regional Hospital,Due to Affiliates,,,,,
Houlton Regional Hospital,Other Current Liabilities,1672460,1013840,1620684,572292,2073372
Houlton Regional Hospital,Total Non-Current Liabilities,13184419,11282032,9957086,9235630,7880368
Houlton Regional Hospital,Long Term Debt,8071323,7197038,6450938,5839198,4998496
Houlton Regional Hospital,Estimated Third Party Settlements,4207837,3098560,1952537,2121257,1286484
Houlton Regional Hospital,Due to Affiliates,,,,,
Houlton Regional Hospital,Self Insurance Fund,456000,456000,961000,600000,860000
Houlton Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Houlton Regional Hospital,Other Non-Current Liabilities,449259,530434,592611,675175,735388
Houlton Regional Hospital,Fund Balance Unrestricted,3445903,3024699,3170290,3621164,3297305
Houlton Regional Hospital,Total Liabilities & Equity,25681961,23144364,23137907,23128912,23769056
Houlton Regional Hospital,Total Restricted Assets,66051,66837,64965,91208,65023
Houlton Regional Hospital,Cash and Investments,51664,51664,51664,51664,65023
Houlton Regional Hospital,Receivables,14387,15173,13301,39544,
Houlton Regional Hospital,Other Assets,,,,,
Houlton Regional Hospital,Total Restricted Liabilities and Equity,66051,66837,64965,91208,65023
Houlton Regional Hospital,Total Restricted Fund Balance,66051,66837,64965,91208,65023
Houlton Regional Hospital,Total Liabilities,,,,,
Houlton Regional Hospital,Temporarily Restricted Net Assets,14387,15173,13301,39544,
Houlton Regional Hospital,Permanently Restricted Net Assets,51664,51664,51664,51664,65023
Houlton Regional Hospital,Total Gross Patient Service Revenue,,79878764,84679351,85685025,85189588
Houlton Regional Hospital,Gross Inpatient Service Revenue,21706982,22024280,22800375,22204129,22267124
Houlton Regional Hospital,Gross Outpatient Service Revenue,58171782,62655071,62884650,62985459,64497980
Houlton Regional Hospital,Free Care,,,1191968,1463486,1006068
Houlton Regional Hospital,Bad Debt,,,,,3000000
Houlton Regional Hospital,Contractuals,33248786,35788223,36111021,36565513,38842946
Houlton Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-549000,364000,65000,36000,-168000
Houlton Regional Hospital,Net Patient Service Revenue,42987010,43713642,45052936,43796552,44042303
Houlton Regional Hospital,Other Operating Revenue,2174375,2154726,2332206,3667020,2961336
Houlton Regional Hospital,Total Operating Revenue,45161385,45868368,47385142,47463572,47003639
Houlton Regional Hospital,Total Operating Expenses,45820005,46940919,47890769,47839607,47568469
Houlton Regional Hospital,Depreciation and Amortization,1564681,1488200,1252089,1023604,950495
Houlton Regional Hospital,Interest,652750,591114,563793,563638,566644
Houlton Regional Hospital,Advertising Expenses,19621,27541,25673,22237,16236
Houlton Regional Hospital,Allowed Advertising Expenses,11313,15372,11757,8702,3838
Houlton Regional Hospital,Non-Allowed Advertising Expenses,8308,12169,13916,13535,12398
Houlton Regional Hospital,Salaries and Benefits,33194534,33565377,34782028,34817895,34483154
Houlton Regional Hospital,Other Operating Expenses,10388419,11268687,11267186,11412233,11551940
Houlton Regional Hospital,Net Operating Income,-658620,-1072551,-505627,-376035,-564830
Houlton Regional Hospital,Total Non-Operating Revenue,243838,129486,199942,636609,526671
Houlton Regional Hospital,Total Investment Income,243838,129486,199942,636609,526671
Houlton Regional Hospital,Interest and Dividends,93253,216767,108587,94207,109037
Houlton Regional Hospital,Realized Gains/Losses on Sales of Securities,150585,-87281,91355,542402,417634
Houlton Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Houlton Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Houlton Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Houlton Regional Hospital,Other Non-Operating Revenues,,,,,
Houlton Regional Hospital,Excess of Revenue over Expenses,-414782,-943065,-305685,260574,-38159
Houlton Regional Hospital,Extraordinary Gains/Losses,,,,,
Houlton Regional Hospital,Total Surplus/Deficit,-414782,-943065,-305685,260574,-38159
Houlton Regional Hospital,Total Change in Unrestricted Net Assets,-595074,-421204,145591,450874,-323859
Houlton Regional Hospital,Net Assets Released for Restrictions,,,154237,173728,51993
Houlton Regional Hospital,Unrealized Gains/Losses on Investments,-334529,348133,399283,149123,-385619
Houlton Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Houlton Regional Hospital,Transfers From/To Affiliates,,,,,
Houlton Regional Hospital,Mergers,,,,,
Houlton Regional Hospital,Consolidations with Support,,,,,
Houlton Regional Hospital,Other Changes,,,,,
Inland Hospital,Total Current Assets,12538052,10385465,13888745,11041732,7117518
Inland Hospital,Cash and Investment,276979,-2064986,-3864709,-4674987,-10428307
Inland Hospital,Current Assets Whose Use is Limited,69043,102306,99107,115981,130983
Inland Hospital,Net Patient Accounts Receivable,7369034,7853960,8910891,9508036,9264952
Inland Hospital,Due from Affiliates,181688,79734,42910,79508,37143
Inland Hospital,Third Party Settlements Receivable,2618806,3008863,7235652,3929008,6134250
Inland Hospital,Other Accounts Receivable,906517,200987,257382,979733,924453
Inland Hospital,Inventory,678186,671246,609062,593532,579832
Inland Hospital,Other Current Assets,437799,533355,598450,510921,474212
Inland Hospital,Total Non-Current Assets,38043518,34977138,20545880,19761660,18682162
Inland Hospital,Trustee Held Investments,2570795,2873260,,,
Inland Hospital,Board Designated and Undesignated Investments,8595495,9046379,3440875,3723370,3944395
Inland Hospital,Due from Affiliates,,,,,
Inland Hospital,Investment in Affiliates,,,,,
Inland Hospital,Other Non-Current Assets,8178930,4709375,357787,357787,45795
Inland Hospital,"Gross Property, Plant and Equipment",,45846859,47689552,45684617,46429585
Inland Hospital,Accumulated Depreciation,27148561,29341428,28937399,30749082,32474715
Inland Hospital,"Net Property, Plant and Equipment",,18698298,18348124,16747218,15680503
Inland Hospital,Total Unrestricted Assets,50581570,45362603,34434625,30803392,25799680
