Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Franklin Memorial Hospital,Net Patient Accounts Receivable,6214483,5831899,8650030,8969283,10205081
Franklin Memorial Hospital,Due from Affiliates,,,54468,,
Franklin Memorial Hospital,Third Party Settlements Receivable,4143115,7416883,7433838,194080,
Franklin Memorial Hospital,Other Accounts Receivable,,,,,
Franklin Memorial Hospital,Inventory,1020749,1142901,1104066,1131922,1126231
Franklin Memorial Hospital,Other Current Assets,866576,778850,737576,917994,962453
Franklin Memorial Hospital,Total Non-Current Assets,28320051,30448831,43559280,48536102,46573101
Franklin Memorial Hospital,Trustee Held Investments,,,9380179,,
Franklin Memorial Hospital,Board Designated and Undesignated Investments,3918659,3856266,4665339,,
Franklin Memorial Hospital,Due From Affiliates,,,,,
Franklin Memorial Hospital,Investments in Affiliates,,,,,
Franklin Memorial Hospital,Other Non-current Assets,257624,300206,504020,9822631,9188728
Franklin Memorial Hospital,"Gross Property, Plant and Equipment",,48365261,52855092,58541256,71265320
Franklin Memorial Hospital,Accumulated Depreciation,24221493,26562733,29531514,32551849,35899792
Franklin Memorial Hospital,"Net Property, Plant and Equipment",,24143768,26292359,29009742,38713471
Franklin Memorial Hospital,Total Unrestricted Assets,54180978,55890045,74608364,64695554,66888423
Franklin Memorial Hospital,Total Current Liabilities,7079257,6481130,6461214,8316201,8568404
Franklin Memorial Hospital,Current Long Term Debt,,785000,1055000,500000,545440
Franklin Memorial Hospital,Accounts Payable and Accrued Expenses,6213676,5186229,5961214,7555229,6312707
Franklin Memorial Hospital,Estimated Third Party Settlements,,,,,1382479
Franklin Memorial Hospital,Due to Affiliates,80581,190650,,205532,63218
Franklin Memorial Hospital,Other Current Liabilities,,49251,,10000,
Franklin Memorial Hospital,Total Non-current Liabilities,10596263,10904032,24668171,24571319,23480967
Franklin Memorial Hospital,Long Term Debt,10596263,10904032,24668171,24430522,23309583
Franklin Memorial Hospital,Estimated Third Party Settlements,,,,,
Franklin Memorial Hospital,Due to Affiliates,,,,,
Franklin Memorial Hospital,Self Insurance Fund,,,,,
Franklin Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Franklin Memorial Hospital,Other Non-Current Liabilities,,,,140797,171384
Franklin Memorial Hospital,Fund Balance Unrestricted,36505458,38504882,43478979,31808034,34839051
Franklin Memorial Hospital,Total Liabilities & Equity,54180978,55890044,74608364,64695554,66888422
Franklin Memorial Hospital,Total Restricted Assets,3358459,3183121,3832368,2043039,2013465
Franklin Memorial Hospital,Cash and Investments,3275507,3118790,3786001,1895540,1865966
Franklin Memorial Hospital,Receivables,82952,64331,46367,,
Franklin Memorial Hospital,Other Assets,,,,147499,147499
Franklin Memorial Hospital,Total Restricted Liabilities and Equity,3358459,3183121,3832368,2043039,2013466
Franklin Memorial Hospital,Total Restricted Fund Balance,3358459,3183121,3832368,2043039,2013466
Franklin Memorial Hospital,Total Liabilities,,,,,
Franklin Memorial Hospital,Temporarily Restricted Net Assets,2146735,1970089,2347654,585402,627795
Franklin Memorial Hospital,Permanently Restricted Net Assets,1211724,1213032,1484714,1457637,1385671
Franklin Memorial Hospital,Total Gross Patient Service Revenue,,99093227,108325378,130753960,148651803
Franklin Memorial Hospital,Gross Inpatient Service Revenue,36172199,39689505,48700099,53477838,57529188
Franklin Memorial Hospital,Gross Outpatient Service Revenue,62921028,68635873,82053861,95173965,103235102
Franklin Memorial Hospital,Free Care,,,1096563,1383311,1574349
Franklin Memorial Hospital,Bad Debt,,,,,3058880
Franklin Memorial Hospital,Contractuals,41867030,49458330,61701546,71191385,77150564
Franklin Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-969000,-896000,-2433000,-1391000,-1094000
Franklin Memorial Hospital,Net Patient Service Revenue,54039754,55480681,66898786,73402385,76989100
Franklin Memorial Hospital,Other Operating Revenue,1848999,2500138,2698864,3125895,2338647
Franklin Memorial Hospital,Total Operating Revenue,55888753,57980819,69597650,76528280,79327747
Franklin Memorial Hospital,Total Operating Expenses,53315096,57654641,66905929,72869855,77650499
Franklin Memorial Hospital,Depreciation and Amortization,2593719,2773252,3334551,3647685,4066170
Franklin Memorial Hospital,Interest,577907,560379,572652,598188,1179096
Franklin Memorial Hospital,Other Operating Expenses,50143470,54321010,62998726,68623982,72405233
Franklin Memorial Hospital,Net Operating Income,2573657,326178,2691721,3658425,1677248
Franklin Memorial Hospital,Total Non-operating Revenue,942041,1056390,1260226,1087646,126425
Franklin Memorial Hospital,Total Investment Income,906273,1021013,1237975,1084121,44399
Franklin Memorial Hospital,Interest and Dividends,338448,400700,503153,424903,44399
Franklin Memorial Hospital,Realized Gains/Losses on Sales of Securities,567825,620313,734822,659218,
Franklin Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Franklin Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,-8646
Franklin Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Franklin Memorial Hospital,Other Non-Operating Revenues,,,,35768,35377
Franklin Memorial Hospital,Excess of Revenue over Expenses,3515698,1382568,3951947,4746071,1803673
Franklin Memorial Hospital,Extraordinary Gains/Losses,,,,,
Franklin Memorial Hospital,Total Surplus/Deficit,3515698,1382568,3951947,4746071,1803673
Franklin Memorial Hospital,Total Change in Unrestricted Net Assets,3922814,1999424,4974097,-11670945,3031017
Franklin Memorial Hospital,Net Assets Released for Restrictions,,,55301,297000,
Franklin Memorial Hospital,Unrealized Gains/Losses on Investments,551815,298472,1235686,-1670825,
Franklin Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Franklin Memorial Hospital,Transfers From/To Affiliates,-200000,21384,-213536,-15504712,1227344
Franklin Memorial Hospital,Mergers,,,,,
Franklin Memorial Hospital,Consolidations with Support,,,,,
Franklin Memorial Hospital,Other Changes,,,,758521,
Henrietta D. Goodall Hospital,Total Current Assets,14041719,18504710,23145605,16920183,17096363
Henrietta D. Goodall Hospital,Cash and Investment,3178510,750858,1513872,76897,3271895
Henrietta D. Goodall Hospital,Current Assets Whose Use is Limited,1460128,1252494,2854083,1688191,1583959
Henrietta D. Goodall Hospital,Net Patient Accounts Receivable,6000157,8694715,8873224,10302506,8274854
Henrietta D. Goodall Hospital,Due from Affiliates,73920,170484,483311,752719,1006203
Henrietta D. Goodall Hospital,Third Party Settlements Receivable,1025758,5202016,6615985,16682,
Henrietta D. Goodall Hospital,Other Accounts Receivable,,,,,
Henrietta D. Goodall Hospital,Inventory,1061789,1109313,1040617,1294207,1392759
Henrietta D. Goodall Hospital,Other Current Assets,1241457,1324830,1764513,2788981,1566693
Henrietta D. Goodall Hospital,Total Non-Current Assets,58491115,58756353,68308117,73628017,58631697
Henrietta D. Goodall Hospital,Trustee Held Investments,,,,,
Henrietta D. Goodall Hospital,Board Designated and Undesignated Investments,32114422,26945180,26578988,24083823,10782539
Henrietta D. Goodall Hospital,Due From Affiliates,16000,418866,457755,457755,457755
Henrietta D. Goodall Hospital,Investments in Affiliates,547908,285917,-162379,-265815,-518724
Henrietta D. Goodall Hospital,Other Non-current Assets,1298724,2181044,2717450,11345591,11226792
Henrietta D. Goodall Hospital,"Gross Property, Plant and Equipment",,47487511,54111449,66776906,68484188
Henrietta D. Goodall Hospital,Accumulated Depreciation,22973450,25186103,28060603,30477525,33783950
Henrietta D. Goodall Hospital,"Net Property, Plant and Equipment",,24514061,28925346,38716303,38006663
Henrietta D. Goodall Hospital,Total Unrestricted Assets,72532834,77261063,91453722,90548200,75728060
Henrietta D. Goodall Hospital,Total Current Liabilities,14302880,15853599,17316608,19970081,16878987
Henrietta D. Goodall Hospital,Current Long Term Debt,,1106045,1291430,1493241,2037877
Henrietta D. Goodall Hospital,Accounts Payable and Accrued Expenses,9496835,10562169,11178110,12386947,12302117
Henrietta D. Goodall Hospital,Estimated Third Party Settlements,,,,,2089981
Henrietta D. Goodall Hospital,Due to Affiliates,,,,,
Henrietta D. Goodall Hospital,Other Current Liabilities,3700000,4000000,4645257,5545257,
Henrietta D. Goodall Hospital,Total Non-current Liabilities,12979920,14714149,24974527,24122853,23605598
Henrietta D. Goodall Hospital,Long Term Debt,12979920,14714149,24974527,24122853,23605598
Henrietta D. Goodall Hospital,Estimated Third Party Settlements,,,,,
Henrietta D. Goodall Hospital,Due to Affiliates,,,,,
Henrietta D. Goodall Hospital,Self Insurance Fund,,,,,
Henrietta D. Goodall Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Henrietta D. Goodall Hospital,Other Non-Current Liabilities,,,,,
Henrietta D. Goodall Hospital,Fund Balance Unrestricted,45250034,46693315,49162587,46455266,35243475
Henrietta D. Goodall Hospital,Total Liabilities & Equity,72532834,77261063,91453722,90548200,75728060
Henrietta D. Goodall Hospital,Total Restricted Assets,11479626,12229012,13562676,12848099,9515711
Henrietta D. Goodall Hospital,Cash and Investments,11479626,12229012,13562676,12848099,9515711
Henrietta D. Goodall Hospital,Receivables,,,,,
Henrietta D. Goodall Hospital,Other Assets,,,,,
Henrietta D. Goodall Hospital,Total Restricted Liabilities and Equity,11479626,12229012,13562676,12848099,9515711
Henrietta D. Goodall Hospital,Total Restricted Fund Balance,11479626,12229012,13562676,12848099,9515711
Henrietta D. Goodall Hospital,Total Liabilities,,,,,
Henrietta D. Goodall Hospital,Temporarily Restricted Net Assets,1650700,1614438,1671158,1540527,1338859
Henrietta D. Goodall Hospital,Permanently Restricted Net Assets,9828926,10614574,11891518,11307572,8176852
Henrietta D. Goodall Hospital,Total Gross Patient Service Revenue,,83496235,104442707,111869320,127842206
Henrietta D. Goodall Hospital,Gross Inpatient Service Revenue,28371526,34926856,35504325,39440930,42272664
Henrietta D. Goodall Hospital,Gross Outpatient Service Revenue,55124709,69515851,76364995,88401276,106462737
Henrietta D. Goodall Hospital,Free Care,,,328564,450459,636476
Henrietta D. Goodall Hospital,Bad Debt,,,,,3422942
Henrietta D. Goodall Hospital,Contractuals,34417608,42972951,47047730,58468701,70921846
Henrietta D. Goodall Hospital,Changes in Prior Year Estimated/Final Settlements,,,-211500,1375000,5204000
Henrietta D. Goodall Hospital,Net Patient Service Revenue,45327121,57418312,60411015,62373844,65245192
Henrietta D. Goodall Hospital,Other Operating Revenue,2114269,2186129,2662796,2865914,2794327
Henrietta D. Goodall Hospital,Total Operating Revenue,47441390,59604441,63073811,65239758,68039519
Henrietta D. Goodall Hospital,Total Operating Expenses,51974543,60288623,63063026,67125699,74719168
Henrietta D. Goodall Hospital,Depreciation and Amortization,2801076,2873783,3249676,3468567,3693178
Henrietta D. Goodall Hospital,Interest,734279,781110,1096069,1573522,1157903
Henrietta D. Goodall Hospital,Other Operating Expenses,48439188,56633730,58717281,62083610,69868087
Henrietta D. Goodall Hospital,Net Operating Income,-4533153,-684182,10785,-1885941,-6679649
Henrietta D. Goodall Hospital,Total Non-operating Revenue,1484242,1831349,6130762,-402455,-3171016
Henrietta D. Goodall Hospital,Total Investment Income,1186543,1939189,6321782,8743,-2415674
Henrietta D. Goodall Hospital,Interest and Dividends,,,,,
Henrietta D. Goodall Hospital,Realized Gains/Losses on Sales of Securities,1186543,1939189,6321782,656415,-705788
Henrietta D. Goodall Hospital,Permanently Impaired Security Writedowns,,,,-647672,-1709886
Henrietta D. Goodall Hospital,Gains/Losses on Joint Ventures/Equity Investments,195156,-261991,-448296,-617220,-774248
Henrietta D. Goodall Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Henrietta D. Goodall Hospital,Other Non-Operating Revenues,,,,102543,154151
Henrietta D. Goodall Hospital,Excess of Revenue over Expenses,-3048911,1147167,6141547,-2288396,-9850665
Henrietta D. Goodall Hospital,Extraordinary Gains/Losses,,,,,
Henrietta D. Goodall Hospital,Total Surplus/Deficit,-3048911,1147167,6141547,-2288396,-9850665
Henrietta D. Goodall Hospital,Total Change in Unrestricted Net Assets,-1632702,1751575,2469272,-2707318,-11211794
Henrietta D. Goodall Hospital,Net Assets Released for Restrictions,,,,,
Henrietta D. Goodall Hospital,Unrealized Gains/Losses on Investments,1416209,604408,-3672275,-418922,-1443727
Henrietta D. Goodall Hospital,Minimum Pension Liability Adjustment,,,,,
Henrietta D. Goodall Hospital,Transfers From/To Affiliates,,,,,
Henrietta D. Goodall Hospital,Mergers,,,,,
Henrietta D. Goodall Hospital,Consolidations with Support,,,,,
Henrietta D. Goodall Hospital,Other Changes,,,,,
Houlton Regional Hospital,Total Current Assets,7092171,9359969,9665421,12444906,13543197
Houlton Regional Hospital,Cash and Investment,368378,210380,2159696,289803,1459128
Houlton Regional Hospital,Current Assets Whose Use is Limited,233074,282587,242656,285308,2507353
Houlton Regional Hospital,Net Patient Accounts Receivable,4626552,4600114,4777624,5300970,4702060
Houlton Regional Hospital,Due from Affiliates,,,,,
Houlton Regional Hospital,Third Party Settlements Receivable,722728,2946943,1021423,4951883,3320334
Houlton Regional Hospital,Other Accounts Receivable,261478,342676,353613,357716,345477
Houlton Regional Hospital,Inventory,610676,639294,674187,707699,726148
Houlton Regional Hospital,Other Current Assets,269285,337975,436222,551527,482697
Houlton Regional Hospital,Total Non-Current Assets,15543612,15056976,14900686,14399350,17508021
Houlton Regional Hospital,Trustee Held Investments,,,,,
Houlton Regional Hospital,Board Designated and Undesignated Investments,3130136,3075463,3524637,3016514,2925598
Houlton Regional Hospital,Due From Affiliates,2880409,3447982,4307124,4765860,5482032
Houlton Regional Hospital,Investments in Affiliates,-2068707,-3083297,-3953427,-4653513,-5391025
Houlton Regional Hospital,Other Non-current Assets,322257,347204,387864,340913,2079906
Houlton Regional Hospital,"Gross Property, Plant and Equipment",,34310150,33828790,34440846,35438110
Houlton Regional Hospital,Accumulated Depreciation,23030633,22559166,23806358,24508534,25354383
Houlton Regional Hospital,"Net Property, Plant and Equipment",,11279517,11269624,10634488,10929576
Houlton Regional Hospital,Total Unrestricted Assets,22635783,24416945,24566107,26844256,31051218
Houlton Regional Hospital,Total Current Liabilities,7136723,8480401,7897395,8671054,9841476
Houlton Regional Hospital,Current Long Term Debt,,613000,538000,513000,526000
Houlton Regional Hospital,Accounts Payable and Accrued Expenses,3565022,4383662,3816838,4021535,4686410
Houlton Regional Hospital,Estimated Third Party Settlements,2558701,1994569,3567557,2439177,4251207
Houlton Regional Hospital,Due to Affiliates,,,,,
Houlton Regional Hospital,Other Current Liabilities,400000,1564170,,1684342,338859
Houlton Regional Hospital,Total Non-current Liabilities,10227174,10745663,10319529,10043231,13103694
Houlton Regional Hospital,Long Term Debt,10227174,10445663,10069529,9543231,12385477
Houlton Regional Hospital,Estimated Third Party Settlements,,,,,416849
Houlton Regional Hospital,Due to Affiliates,,,,,
Houlton Regional Hospital,Self Insurance Fund,,300000,250000,500000,250000
Houlton Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Houlton Regional Hospital,Other Non-Current Liabilities,,,,,51368
Houlton Regional Hospital,Fund Balance Unrestricted,5271886,5190881,6349183,8129971,8106048
Houlton Regional Hospital,Total Liabilities & Equity,22635783,24416945,24566107,26844256,31051218
Houlton Regional Hospital,Total Restricted Assets,423196,461862,144584,327964,262852
Houlton Regional Hospital,Cash and Investments,108280,113274,66544,74191,80740
Houlton Regional Hospital,Receivables,314916,348588,78040,253773,182112
Houlton Regional Hospital,Other Assets,,,,,
Houlton Regional Hospital,Total Restricted Liabilities and Equity,423196,461862,144584,327964,262852
Houlton Regional Hospital,Total Restricted Fund Balance,423196,461862,144584,327964,262852
Houlton Regional Hospital,Total Liabilities,,,,,
Houlton Regional Hospital,Temporarily Restricted Net Assets,371532,410198,92920,276300,211188
Houlton Regional Hospital,Permanently Restricted Net Assets,51664,51664,51664,51664,51664
Houlton Regional Hospital,Total Gross Patient Service Revenue,,49467781,51849493,56069208,62292325
Houlton Regional Hospital,Gross Inpatient Service Revenue,16365573,16870624,17903552,18246571,18685064
Houlton Regional Hospital,Gross Outpatient Service Revenue,33102208,34978869,38165656,44045754,46611324
Houlton Regional Hospital,Free Care,,,419876,996435,1034199
Houlton Regional Hospital,Bad Debt,,,,,909978
Houlton Regional Hospital,Contractuals,19926269,18507001,19589697,21233478,22153873
Houlton Regional Hospital,Changes in Prior Year Estimated/Final Settlements,-396600,-452900,-448000,-2513000,-955000
Houlton Regional Hospital,Net Patient Service Revenue,28608258,32589591,35193311,40993036,41684734
Houlton Regional Hospital,Other Operating Revenue,1122150,761706,772213,551079,479325
Houlton Regional Hospital,Total Operating Revenue,29730408,33351297,35965524,41544115,42164059
Houlton Regional Hospital,Total Operating Expenses,28858356,32658303,34611148,38412100,41287298
Houlton Regional Hospital,Depreciation and Amortization,1519111,1414359,1121540,956186,980016
Houlton Regional Hospital,Interest,559578,643067,665095,588026,591021
Houlton Regional Hospital,Other Operating Expenses,26779667,30600877,32824513,36867888,39716261
Houlton Regional Hospital,Net Operating Income,872052,692994,1354376,3132015,876761
Houlton Regional Hospital,Total Non-operating Revenue,139829,-1093318,-1077403,-895571,-1126962
Houlton Regional Hospital,Total Investment Income,232059,155035,101982,34081,-149298
Houlton Regional Hospital,Interest and Dividends,109167,107419,102794,114510,117329
Houlton Regional Hospital,Realized Gains/Losses on Sales of Securities,122892,47616,-812,-80429,-266627
Houlton Regional Hospital,Permanently Impaired Security Writedowns,,,,,
Houlton Regional Hospital,Gains/Losses on Joint Ventures/Equity Investments,,-1039590,-855877,-657594,-751905
Houlton Regional Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Houlton Regional Hospital,Other Non-Operating Revenues,,,,-92230,-208763
Houlton Regional Hospital,Excess of Revenue over Expenses,1011881,-400324,276973,2236444,-250201
Houlton Regional Hospital,Extraordinary Gains/Losses,,,,,
Houlton Regional Hospital,Total Surplus/Deficit,1011881,-400324,276973,2236444,-250201
Houlton Regional Hospital,Total Change in Unrestricted Net Assets,1148663,-81005,1158302,1780788,-23923
Houlton Regional Hospital,Net Assets Released for Restrictions,,,124620,220172,494149
Houlton Regional Hospital,Unrealized Gains/Losses on Investments,12162,99147,387180,-493610,108993
Houlton Regional Hospital,Minimum Pension Liability Adjustment,,,,,
Houlton Regional Hospital,Transfers From/To Affiliates,,,,,
Houlton Regional Hospital,Mergers,,,,,
Houlton Regional Hospital,Consolidations with Support,,,,,
Houlton Regional Hospital,Other Changes,,,,,
Inland Hospital,Total Current Assets,9044824,9748110,7260513,8579458,8229529
Inland Hospital,Cash and Investment,1534232,1536333,762848,645454,1369421
Inland Hospital,Current Assets Whose Use is Limited,152733,902627,215336,362949,231316
Inland Hospital,Net Patient Accounts Receivable,3395129,2749935,3259998,4319862,3881833
Inland Hospital,Due from Affiliates,330698,298428,214055,151344,106167
Inland Hospital,Third Party Settlements Receivable,3106823,3154367,1394322,1654197,1528817
Inland Hospital,Other Accounts Receivable,18256,112548,467279,203888,225275
Inland Hospital,Inventory,411888,563567,556366,542288,623300
Inland Hospital,Other Current Assets,95065,430305,390309,699476,263400
Inland Hospital,Total Non-Current Assets,16858160,17120363,19751427,22768769,27790386
Inland Hospital,Trustee Held Investments,400259,133160,318044,520540,787542
Inland Hospital,Board Designated and Undesignated Investments,3362106,3781505,3020175,3638952,6329388
Inland Hospital,Due From Affiliates,167808,,,,
Inland Hospital,Investments in Affiliates,6669,,,,
Inland Hospital,Other Non-current Assets,3385769,2401042,3788184,4950284,6027032
Inland Hospital,"Gross Property, Plant and Equipment",,25621911,22328285,25449825,27877286
Inland Hospital,Accumulated Depreciation,16086362,11523629,12824801,14218293,15989069
Inland Hospital,"Net Property, Plant and Equipment",,9535549,10804656,12625024,13658993
Inland Hospital,Total Unrestricted Assets,25902984,26868473,27011940,31348227,36019915
Inland Hospital,Total Current Liabilities,8882943,8258030,7612834,8278325,9866444
Inland Hospital,Current Long Term Debt,,1796024,627668,566393,663929
Inland Hospital,Accounts Payable and Accrued Expenses,2971611,3718417,3376005,4619404,5074262
Inland Hospital,Estimated Third Party Settlements,1162935,1262659,2355806,2559514,3279120
Inland Hospital,Due to Affiliates,452613,549526,427892,435478,566712
Inland Hospital,Other Current Liabilities,2499760,2099760,886738,,
Inland Hospital,Total Non-current Liabilities,3786869,5494620,5120625,7766968,8065432
Inland Hospital,Long Term Debt,3409555,5281460,4705726,7153383,7184563
Inland Hospital,Estimated Third Party Settlements,,,,,
Inland Hospital,Due to Affiliates,,,,,
Inland Hospital,Self Insurance Fund,,,,,
Inland Hospital,Accrued Pension and Post Retiree Health Benefits,377314,133160,331507,526657,790255
Inland Hospital,Other Non-Current Liabilities,,80000,83392,86928,90614
Inland Hospital,Fund Balance Unrestricted,13233172,13115823,14278482,15302934,18088039
Inland Hospital,Total Liabilities & Equity,25902984,26868473,27011941,31348227,36019915
Inland Hospital,Total Restricted Assets,660390,704223,827678,874547,907524
Inland Hospital,Cash and Investments,660390,704223,827678,874547,907524
Inland Hospital,Receivables,,,,,
Inland Hospital,Other Assets,,,,,
Inland Hospital,Total Restricted Liabilities and Equity,660390,704223,827678,874547,907524
Inland Hospital,Total Restricted Fund Balance,660390,704223,827678,874547,907524
Inland Hospital,Total Liabilities,,,,,
Inland Hospital,Temporarily Restricted Net Assets,228296,251785,324055,434402,490462
Inland Hospital,Permanently Restricted Net Assets,432094,452438,503623,440145,417062
Inland Hospital,Total Gross Patient Service Revenue,,62533084,65937363,71105740,85601485
Inland Hospital,Gross Inpatient Service Revenue,24084967,25701232,23780618,25942191,21994650
Inland Hospital,Gross Outpatient Service Revenue,38448117,40236131,47325122,59659294,74447240
Inland Hospital,Free Care,,,671231,1254543,1411867
Inland Hospital,Bad Debt,,,,,1634013
Inland Hospital,Contractuals,22175410,28103979,28743970,35365191,38457632
Inland Hospital,Changes in Prior Year Estimated/Final Settlements,,-803310,-888933,-1213691,-2256176
Inland Hospital,Net Patient Service Revenue,38052430,35359509,39898708,46843413,54648130
Inland Hospital,Other Operating Revenue,1019694,1211585,936779,697616,684592
Inland Hospital,Total Operating Revenue,39072124,36571094,40835487,47541029,55332722
Inland Hospital,Total Operating Expenses,35459888,37440094,39867120,46084905,53333313
Inland Hospital,Depreciation and Amortization,1323272,1476920,1555849,1648995,1811921
Inland Hospital,Interest,423067,421289,364194,396003,413860
Inland Hospital,Other Operating Expenses,33713549,35541885,37947077,44039907,51107532
Inland Hospital,Net Operating Income,3612236,-869000,968367,1456124,1999409
Inland Hospital,Total Non-operating Revenue,151798,37858,232898,196108,-263709
Inland Hospital,Total Investment Income,135757,194146,212209,188791,-263709
Inland Hospital,Interest and Dividends,138637,133081,198418,160210,121462
Inland Hospital,Realized Gains/Losses on Sales of Securities,-2880,61065,26324,148808,-18888
Inland Hospital,Permanently Impaired Security Writedowns,,,-12533,-120227,-366283
Inland Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Inland Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Inland Hospital,Other Non-Operating Revenues,,,,16041,-156288
Inland Hospital,Excess of Revenue over Expenses,3764034,-831142,1201265,1652232,1735700
Inland Hospital,Extraordinary Gains/Losses,,,,,
Inland Hospital,Total Surplus/Deficit,3764034,-831142,1201265,1652232,1735700
Inland Hospital,Total Change in Unrestricted Net Assets,4362090,-37349,1162660,1024451,2785105
Inland Hospital,Net Assets Released for Restrictions,,,16479,,105727
Inland Hospital,Unrealized Gains/Losses on Investments,110377,51038,189238,-396968,412937
Inland Hospital,Minimum Pension Liability Adjustment,,,,,
Inland Hospital,Transfers From/To Affiliates,471200,645255,-333570,-254892,453593
Inland Hospital,Mergers,,,,,
Inland Hospital,Consolidations with Support,,97500,,,
Inland Hospital,Other Changes,,,,,
Maine Coast Memorial Hospital,Total Current Assets,13518988,14647495,23139459,22618768,28516548
Maine Coast Memorial Hospital,Cash and Investment,7091923,7216624,15257122,11172884,14524635
Maine Coast Memorial Hospital,Current Assets Whose Use is Limited,341187,413745,405500,417150,3692413
Maine Coast Memorial Hospital,Net Patient Accounts Receivable,5285212,4356858,6343691,7032368,7179679
Maine Coast Memorial Hospital,Due from Affiliates,,,,,
Maine Coast Memorial Hospital,Third Party Settlements Receivable,,1879045,,1931016,1651347
Maine Coast Memorial Hospital,Other Accounts Receivable,,,221232,713554,153265
Maine Coast Memorial Hospital,Inventory,345995,382336,392428,406600,486645
Maine Coast Memorial Hospital,Other Current Assets,454671,398887,519486,945196,828564
Maine Coast Memorial Hospital,Total Non-Current Assets,26624625,25781179,27134317,29508906,34664129
Maine Coast Memorial Hospital,Trustee Held Investments,,,,,
Maine Coast Memorial Hospital,Board Designated and Undesignated Investments,2555101,2423620,4087694,4968969,3346820
Maine Coast Memorial Hospital,Due From Affiliates,,,,,
Maine Coast Memorial Hospital,Investments in Affiliates,4956,21992,38583,,
Maine Coast Memorial Hospital,Other Non-current Assets,239507,228923,218339,685372,854834
Maine Coast Memorial Hospital,"Gross Property, Plant and Equipment",,43456629,40304763,40632149,43506549
Maine Coast Memorial Hospital,Accumulated Depreciation,19631568,17198119,17842448,19651984,20814044
Maine Coast Memorial Hospital,"Net Property, Plant and Equipment",,23825061,23106644,22789701,23854565
Maine Coast Memorial Hospital,Total Unrestricted Assets,40143613,40428674,50273776,52127674,63180677
Maine Coast Memorial Hospital,Total Current Liabilities,8099573,7361791,8726494,10198587,11813011
Maine Coast Memorial Hospital,Current Long Term Debt,,601586,654146,687691,831890
Maine Coast Memorial Hospital,Accounts Payable and Accrued Expenses,6367966,6707645,7893365,9366697,10873153
Maine Coast Memorial Hospital,Estimated Third Party Settlements,1130021,,145438,,
Maine Coast Memorial Hospital,Due to Affiliates,,,,,
Maine Coast Memorial Hospital,Other Current Liabilities,,,,,
Maine Coast Memorial Hospital,Total Non-current Liabilities,10906512,10213429,13575679,10078036,17107531
Maine Coast Memorial Hospital,Long Term Debt,10704766,10121663,9575679,10078036,16711555
Maine Coast Memorial Hospital,Estimated Third Party Settlements,,,,,
Maine Coast Memorial Hospital,Due to Affiliates,,,4000000,,
Maine Coast Memorial Hospital,Self Insurance Fund,,,,,
Maine Coast Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Maine Coast Memorial Hospital,Other Non-Current Liabilities,201746,91766,,,395976
Maine Coast Memorial Hospital,Fund Balance Unrestricted,21137528,22853454,27971603,31851051,34260135
Maine Coast Memorial Hospital,Total Liabilities & Equity,40143613,40428674,50273776,52127674,63180677
Maine Coast Memorial Hospital,Total Restricted Assets,870468,1380895,1651052,1896318,3450193
Maine Coast Memorial Hospital,Cash and Investments,870468,1380895,1651052,1896318,3450193
Maine Coast Memorial Hospital,Receivables,,,,,
Maine Coast Memorial Hospital,Other Assets,,,,,
Maine Coast Memorial Hospital,Total Restricted Liabilities and Equity,870468,1380895,1651052,1896318,3450193
Maine Coast Memorial Hospital,Total Restricted Fund Balance,870468,1380895,1651052,1896318,3450193
Maine Coast Memorial Hospital,Total Liabilities,,,,,
Maine Coast Memorial Hospital,Temporarily Restricted Net Assets,270468,780895,1051052,1204319,2781475
Maine Coast Memorial Hospital,Permanently Restricted Net Assets,600000,600000,600000,691999,668718
Maine Coast Memorial Hospital,Total Gross Patient Service Revenue,,99485614,119206732,129265814,149255830
Maine Coast Memorial Hospital,Gross Inpatient Service Revenue,31750362,35873396,37683402,46192648,50832914
Maine Coast Memorial Hospital,Gross Outpatient Service Revenue,67735252,83333336,91582412,103063182,113848893
Maine Coast Memorial Hospital,Free Care,,,2282684,1738447,1969190
Maine Coast Memorial Hospital,Bad Debt,,,,,2500086
Maine Coast Memorial Hospital,Contractuals,41947104,54696984,57106840,68715498,75485412
Maine Coast Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,-700000,-600000,-1000000,-400000,-2000000
Maine Coast Memorial Hospital,Net Patient Service Revenue,53455740,60438219,67673583,75024452,82685267
Maine Coast Memorial Hospital,Other Operating Revenue,2333383,2796052,3195645,3163735,1952640
