Hospital,Measure,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024
Maine Behavioral Health,Total Unrestricted Assets,34540000,48823000,43944703,49697689,56963842
Maine Behavioral Health,Total Current Liabilities,11890000,9488000,9342245,15384424,13501940
Maine Behavioral Health,Current Long Term Debt (LTD),183000,179000,177745,12629,14235
Maine Behavioral Health,Accounts Payable Plus Accrued Expenses,7011000,5650000,5201862,8125970,8836395
Maine Behavioral Health,Estimated Third Party Settlements,4325000,3249000,2718370,6368166,4260685
Maine Behavioral Health,Due to Affiliates,50000,107000,122170,217620,58188
Maine Behavioral Health,Other Current Liabilities,321000,303000,1122098,660039,332437
Maine Behavioral Health,Total Non-Current Liabilities,6872000,1685000,1290313,466779,418019
Maine Behavioral Health,Long Term Debt (LTD),1712000,1534000,1163049,366112,351103
Maine Behavioral Health,Estimated Third Party Settlements,4984000,,,,
Maine Behavioral Health,Due to Affiliate,,,,,
Maine Behavioral Health,Self Insurance Fund,,,,,
Maine Behavioral Health,Accrued Pension and Post Retiree Health Benefits,,,,,
Maine Behavioral Health,Other Non-Current Liabilities,176000,151000,127264,100667,66916
Maine Behavioral Health,Fund Balance Unrestricted,15778000,37650000,33312145,33846486,43043883
Maine Behavioral Health,Total Liabilities and Equity,34540000,48823000,43944703,49697689,56963842
Maine Behavioral Health,Total Restricted Assets,7547000,4784000,4290257,3049932,2274313
Maine Behavioral Health,Cash and Investments,4289000,2173000,1345527,1493877,1691494
Maine Behavioral Health,Receivables,3117000,2450000,1591456,356196,98617
Maine Behavioral Health,Other Assets,141000,161000,1353274,1199859,484202
Maine Behavioral Health,Total Restricted Liabilities and Equity,7547000,4784000,4290257,3049932,2274313
Maine Behavioral Health,Total Restricted Fund Balance,7547000,4784000,4290257,3049932,2274313
Maine Behavioral Health,Total Liabilities,,,,,
Maine Behavioral Health,Temporarily Restricted Net Assets,6869000,4086000,3621806,2370207,1576466
Maine Behavioral Health,Permanently Restricted Net Assets,678000,698000,668451,679725,697847
Maine Behavioral Health,Total Gross Patient Service Revenue,133747000,130954000,123688723,136080393,147411392
Maine Behavioral Health,Gross Inpatient Service Revenue,84918000,79445000,73004801,78775324,88733712
Maine Behavioral Health,Gross Outpatient Service Revenue,48829000,51509000,50683922,57305069,58677680
Maine Behavioral Health,Free Care (Charity Care),11371000,14553000,11797488,11753318,15177851
Maine Behavioral Health,Bad Debt (Provision for Bad Debt),1470000,1814000,2225592,81572,2297641
Maine Behavioral Health,Contractuals,39884000,32165000,32071071,37491358,32394293
Maine Behavioral Health,Changes in Prior Year Estimated/Final Settlements,,,,,
Maine Behavioral Health,Net Patient Service Revenue,81022000,82422000,77594572,86754145,97541607
Maine Behavioral Health,Other Operating Revenue,15354000,17840000,26512331,24431040,8848883
Maine Behavioral Health,Total Operating Revenue,96376000,100262000,104106903,111185185,106390490
Maine Behavioral Health,Total Operating Expenses,98379000,106120000,121015830,129063583,123096321
Maine Behavioral Health,Deprecation and Amoritization,2569000,3119000,4375137,4426353,2899261
Maine Behavioral Health,Interest,652000,328000,261952,211608,175414
Maine Behavioral Health,Advertising Expenses,,,,,
Maine Behavioral Health,Allowed Advertising Expenses,,,,,
Maine Behavioral Health,Non-Allowed Advertising Expenses,,,,,
Maine Behavioral Health,Salaries and Benefits,73985000,79119000,88418082,94824053,108002155
Maine Behavioral Health,Other Operating Expenses,21173000,23554000,27960659,29601569,12019491
Maine Behavioral Health,Net Operating Income,-2003000,-5858000,-16908927,-17878398,-16705831
Maine Behavioral Health,Total Non-Operating Revenue,-686000,-2000,203905,-11026,7687
Maine Behavioral Health,Total Investment Income,39000,6000,8510,1602,10938
Maine Behavioral Health,Interest and Dividends,6000,7000,7328,2716,10938
Maine Behavioral Health,Realized Gains/Losses on Sales of Securities,33000,-1000,1182,-1114,
Maine Behavioral Health,Permanently Impaired Security Write Downs,,,,,
Maine Behavioral Health,Gains/Losses on Joint Ventures/Equity Investments,,,15254,,
Maine Behavioral Health,Permanently Impaired Writedowns of Other Assets,,,,,
Maine Behavioral Health,"Other Non Operating Revenues (Gifts, Bequests,",-725000,-8000,180141,-12628,-3251
Maine Behavioral Health,Excess of Revenue Over Expenses,-2689000,-5860000,-16705022,-17889424,-16698144
Maine Behavioral Health,Extraordinary Gains/Losses,,,,,
Maine Behavioral Health,Total Surplus/Deficit,-2689000,-5860000,-16705022,-17889424,-16698144
Maine Behavioral Health,Total Change in Unrestricted Net Assets,12596000,21872000,-4337808,534569,9197170
Maine Behavioral Health,Net Assets Released for Restrictions - Capital,,4096000,1722205,1325441,1042616
Maine Behavioral Health,Unrealized Gains/Losses on Investments,1000,12000,,,-5030
Maine Behavioral Health,Minimum Pension Liability Adjustment,,,,,
Maine Behavioral Health,Transfers from/To Affiliates,15284000,23624000,10645009,17098552,24857728
Maine Behavioral Health,Mergers,,,,,
Maine Behavioral Health,Consolidations with Support Organizations,,,,,
Maine Behavioral Health,Other Changes,,,,,
Maine Medical Center,Total Current Assets,419970000,561622000,498739424,505292718,521185326
Maine Medical Center,Cash and Investments,-82818000,68686000,63062551,64908582,76523387
Maine Medical Center,Current Assets Whose Use is Limited,239496000,184123000,111325131,10690106,4540901
Maine Medical Center,Net Patient Accounts Receivable,151147000,188949000,173628079,260463784,312540972
Maine Medical Center,Due From Affiliates,9306000,11444000,27784134,36513089,933863
Maine Medical Center,Third Party Settlements,33413000,42108000,50732627,81140221,64140831
Maine Medical Center,Other Accounts Receivable,,,,,
Maine Medical Center,Inventory,41723000,43970000,29688723,29934323,36220668
Maine Medical Center,Other Current Assets,27703000,22342000,42518179,21642613,26284704
Maine Medical Center,Total Non-Current Assets,892819000,793229000,821613227,873228235,919449546
Maine Medical Center,Trustee Held Investments,,,,,
Maine Medical Center,Board Designated & Undesignated Investments,131774000,,,,
Maine Medical Center,Due from Affiliates,,,,,
Maine Medical Center,Investment in Affiliates,,,,,
Maine Medical Center,Other Non-Current Assets,75078000,51320000,24581819,9380112,4511688
Maine Medical Center,"Gross Property, Plant and Equipment (PP&E)",1534500000,1669987000,1795851450,1918295813,1975303032
Maine Medical Center,Accumulated Deprecation,848533000,928078000,998820042,1054447690,1060365174
Maine Medical Center,"Net Property, Plant and Equipment (PP&E)",685967000,741909000,797031408,863848123,914937858
Maine Medical Center,Total Unrestricted Assets,1312789000,1354851000,1320352651,1378520953,1440634872
Maine Medical Center,Total Current Liabilities,246546000,236630000,280048769,303983634,303041349
Maine Medical Center,Current Long Term Debt (LTD),3845000,3614000,2753531,2634069,2828063
Maine Medical Center,Accounts Payable Plus Accrued Expenses,128816000,110922000,115321369,147608395,151585559
Maine Medical Center,Estimated Third Party Settlements,65637000,59881000,99985134,112153258,99636039
Maine Medical Center,Due to Affiliates,39004000,52683000,51971794,29518380,32212682
Maine Medical Center,Other Current Liabilities,9244000,9530000,10016941,12069532,16779006
Maine Medical Center,Total Non-Current Liabilities,919799000,765112000,616773240,552672953,539759813
Maine Medical Center,Long Term Debt (LTD),549271000,545703000,460828167,458019096,454974464
Maine Medical Center,Estimated Third Party Settlements,,,,,
Maine Medical Center,Due to Affiliate,42105000,32654000,22964156,,
Maine Medical Center,Self Insurance Fund,,,,,
Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,297786000,159412000,111898013,75356690,63860561
Maine Medical Center,Other Non-Current Liabilities,30637000,27343000,21082904,19297167,20924788
Maine Medical Center,Fund Balance Unrestricted,146444000,353109000,423530642,521864366,597833710
Maine Medical Center,Total Liabilities and Equity,1312789000,1354851000,1320352651,1378520953,1440634872
Maine Medical Center,Total Restricted Assets,147689000,173253000,147896741,162180120,191501117
Maine Medical Center,Cash and Investments,147689000,156668000,140870191,154926811,186184677
Maine Medical Center,Receivables,,16585000,7026550,7253309,5316440
Maine Medical Center,Other Assets,,,,,
Maine Medical Center,Total Restricted Liabilities and Equity,147689000,173253000,147896741,162180120,191501117
Maine Medical Center,Total Restricted Fund Balance,147689000,173253000,147896741,162180120,191501117
Maine Medical Center,Total Liabilities,,,,,
Maine Medical Center,Temporarily Restricted Net Assets,111851000,134747000,107506388,119613092,141057274
Maine Medical Center,Permanently Restricted Net Assets,35838000,38506000,40390353,42567028,50443843
Maine Medical Center,Total Gross Patient Service Revenue,2865323000,3423926000,3662255132,4159948408,4811875765
Maine Medical Center,Gross Inpatient Service Revenue,1766022000,2024343000,2139589319,2369758673,2759906053
Maine Medical Center,Gross Outpatient Service Revenue,1099301000,1399583000,1522665813,1790189735,2051969712
Maine Medical Center,Free Care (Charity Care),34379000,20400000,35760385,48327927,54389254
Maine Medical Center,Bad Debt (Provision for Bad Debt),47646000,62242000,52792948,75894535,64064387
Maine Medical Center,Contractuals,1296971000,1875218000,2043057490,2346969704,2756878645
Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,218471000,1418000,-1698000,-1766000,
Maine Medical Center,Net Patient Service Revenue,1267856000,1464648000,1532342309,1690522242,1936543479
Maine Medical Center,Other Operating Revenue,298887000,328508000,391917213,358037684,242874124
Maine Medical Center,Total Operating Revenue,1566743000,1793156000,1924259522,2048559926,2179417603
Maine Medical Center,Total Operating Expenses,1448250000,1627886000,1840432672,1895339250,1971718070
Maine Medical Center,Deprecation and Amoritization,88062000,90314000,89541688,86057963,64005481
Maine Medical Center,Interest,9887000,11921000,10776442,8907594,11262550
Maine Medical Center,Advertising Expenses,,,2331,30667,16329
Maine Medical Center,Allowed Advertising Expenses,,,,30667,16329
Maine Medical Center,Non-Allowed Advertising Expenses,,,2331,,
Maine Medical Center,Salaries and Benefits,643158000,684085000,720391274,752247806,749418445
Maine Medical Center,Other Operating Expenses,707143000,841566000,1019720937,1048095220,1147015265
Maine Medical Center,Net Operating Income,118493000,165270000,83826850,153220676,207699533
Maine Medical Center,Total Non-Operating Revenue,-15523000,-6789000,2752762,19330765,7288675
Maine Medical Center,Total Investment Income,-20469000,-12121000,790486,5950297,3293840
Maine Medical Center,Interest and Dividends,894000,-221000,1388240,5029511,2309553
Maine Medical Center,Realized Gains/Losses on Sales of Securities,-21363000,-11900000,-597754,920786,984287
Maine Medical Center,Permanently Impaired Security Write Downs,,,,,
Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,3009000,4550000,4515898,,
Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Maine Medical Center,"Other Non Operating Revenues (Gifts, Bequests,",1937000,782000,-2553622,13380468,3994835
Maine Medical Center,Excess of Revenue Over Expenses,102970000,158481000,86579612,172551441,214988208
Maine Medical Center,Extraordinary Gains/Losses,,,,,
Maine Medical Center,Total Surplus/Deficit,102970000,158481000,86579612,172551441,214988208
Maine Medical Center,Total Change in Unrestricted Net Assets,30422000,206605000,70421700,98333724,75969342
Maine Medical Center,Net Assets Released for Restrictions - Capital,6642000,35837000,12036896,8187772,2616927
Maine Medical Center,Unrealized Gains/Losses on Investments,,,-7557122,1870096,5095167
Maine Medical Center,Minimum Pension Liability Adjustment,17092000,127244000,45904672,15772338,-3200522
Maine Medical Center,Transfers from/To Affiliates,-96282000,-114957000,-66541889,-100047923,-143530438
Maine Medical Center,Mergers,,,,,
Maine Medical Center,Consolidations with Support Organizations,,,,,
Maine Medical Center,Other Changes,,,-469,,
MaineGeneral Medical Center Augusta,Total Current Assets,117711432,140449257,153160508,151177731,158567100
MaineGeneral Medical Center Augusta,Cash and Investments,23380814,23068407,24604495,18798962,21049521
MaineGeneral Medical Center Augusta,Current Assets Whose Use is Limited,,,,,
MaineGeneral Medical Center Augusta,Net Patient Accounts Receivable,66095192,81320841,82404840,84545438,92194531
MaineGeneral Medical Center Augusta,Due From Affiliates,3067870,7491413,3583242,2702917,3750185
MaineGeneral Medical Center Augusta,Third Party Settlements,,,4165367,15298088,12649810
MaineGeneral Medical Center Augusta,Other Accounts Receivable,,,,,
MaineGeneral Medical Center Augusta,Inventory,7688262,9171231,9400388,10097437,9970830
MaineGeneral Medical Center Augusta,Other Current Assets,17479294,19397365,29002176,19734889,18952223
MaineGeneral Medical Center Augusta,Total Non-Current Assets,521695245,490404673,457223411,429070824,410709743
MaineGeneral Medical Center Augusta,Trustee Held Investments,28305741,18562717,19051176,19381889,19899738
MaineGeneral Medical Center Augusta,Board Designated & Undesignated Investments,114911775,105300816,52709935,32528284,27170022
MaineGeneral Medical Center Augusta,Due from Affiliates,,,,,
MaineGeneral Medical Center Augusta,Investment in Affiliates,,,,,
MaineGeneral Medical Center Augusta,Other Non-Current Assets,2294344,576892,31704586,28562291,26889310
MaineGeneral Medical Center Augusta,"Gross Property, Plant and Equipment (PP&E)",643193324,653552756,654424841,667680773,660316288
MaineGeneral Medical Center Augusta,Accumulated Deprecation,267009939,287588508,300667127,319082413,323565615
MaineGeneral Medical Center Augusta,"Net Property, Plant and Equipment (PP&E)",376183385,365964248,353757714,348598360,336750673
MaineGeneral Medical Center Augusta,Total Unrestricted Assets,639406677,630853930,610383919,580248555,569276843
MaineGeneral Medical Center Augusta,Total Current Liabilities,118568035,101977003,81451933,85103956,99020176
MaineGeneral Medical Center Augusta,Current Long Term Debt (LTD),7457999,9910028,10115289,12628039,10850697
MaineGeneral Medical Center Augusta,Accounts Payable Plus Accrued Expenses,37493425,37116080,40215534,33027570,36170694
MaineGeneral Medical Center Augusta,Estimated Third Party Settlements,37607974,22913313,,,
MaineGeneral Medical Center Augusta,Due to Affiliates,13148163,17969244,13765352,23403245,38594256
MaineGeneral Medical Center Augusta,Other Current Liabilities,22860474,14068338,17355758,16045102,13404529
MaineGeneral Medical Center Augusta,Total Non-Current Liabilities,331428312,314438764,326061652,304890256,293184477
MaineGeneral Medical Center Augusta,Long Term Debt (LTD),282437390,285968670,276122790,266035634,256301626
MaineGeneral Medical Center Augusta,Estimated Third Party Settlements,,,,,
MaineGeneral Medical Center Augusta,Due to Affiliate,,,,,
MaineGeneral Medical Center Augusta,Self Insurance Fund,,,,,
MaineGeneral Medical Center Augusta,Accrued Pension and Post Retiree Health Benefits,44546150,23797563,18824532,10681010,10680648
MaineGeneral Medical Center Augusta,Other Non-Current Liabilities,4444772,4672531,31114330,28173612,26202203
MaineGeneral Medical Center Augusta,Fund Balance Unrestricted,189410330,214438163,202870334,190254343,177072190
MaineGeneral Medical Center Augusta,Total Liabilities and Equity,639406677,630853930,610383919,580248555,569276843
MaineGeneral Medical Center Augusta,Total Restricted Assets,64252847,77585483,65371203,73127802,101152867
MaineGeneral Medical Center Augusta,Cash and Investments,63950506,77385349,65294038,72944295,74909761
MaineGeneral Medical Center Augusta,Receivables,302341,200134,77165,183507,15851804
MaineGeneral Medical Center Augusta,Other Assets,,,,,10391302
MaineGeneral Medical Center Augusta,Total Restricted Liabilities and Equity,64252846,77585482,65371203,73127802,101152867
MaineGeneral Medical Center Augusta,Total Restricted Fund Balance,64252846,77585482,65371203,73127802,101152867
MaineGeneral Medical Center Augusta,Total Liabilities,,,,,
MaineGeneral Medical Center Augusta,Temporarily Restricted Net Assets,4708097,15990024,6207519,13788058,40909955
MaineGeneral Medical Center Augusta,Permanently Restricted Net Assets,59544749,61595458,59163684,59339744,60242912
MaineGeneral Medical Center Augusta,Total Gross Patient Service Revenue,1129388322,1268200729,1350003293,1436396916,1514376307
MaineGeneral Medical Center Augusta,Gross Inpatient Service Revenue,361848245,402789531,424648137,433374300,460519384
MaineGeneral Medical Center Augusta,Gross Outpatient Service Revenue,767540077,865411198,925355156,1003022616,1053856923
MaineGeneral Medical Center Augusta,Free Care (Charity Care),2539618,2365125,998373,711616,942979
MaineGeneral Medical Center Augusta,Bad Debt (Provision for Bad Debt),28096643,26002988,27657347,24358526,30356360
MaineGeneral Medical Center Augusta,Contractuals,648114565,747357033,806190196,851738241,892769737
MaineGeneral Medical Center Augusta,Changes in Prior Year Estimated/Final Settlements,-490000,-5335000,-3427000,-174000,-375000
MaineGeneral Medical Center Augusta,Net Patient Service Revenue,451127496,497810583,518584377,559762533,590682231
MaineGeneral Medical Center Augusta,Other Operating Revenue,84552346,85649113,123780730,82207631,83823136
MaineGeneral Medical Center Augusta,Total Operating Revenue,535679842,583459696,642365107,641970164,674505367
MaineGeneral Medical Center Augusta,Total Operating Expenses,543627144,590124135,636911703,659375693,686056019
MaineGeneral Medical Center Augusta,Deprecation and Amoritization,21158897,22399511,23008958,23632617,23567506
MaineGeneral Medical Center Augusta,Interest,19940269,14300717,8814314,8240051,8217279
MaineGeneral Medical Center Augusta,Advertising Expenses,797937,723870,894748,936745,965395
MaineGeneral Medical Center Augusta,Allowed Advertising Expenses,797937,723870,894748,936745,965395
MaineGeneral Medical Center Augusta,Non-Allowed Advertising Expenses,,,,,
MaineGeneral Medical Center Augusta,Salaries and Benefits,276522797,301342857,312484001,332309257,366859454
MaineGeneral Medical Center Augusta,Other Operating Expenses,225207244,251357180,291709682,294257023,286446385
MaineGeneral Medical Center Augusta,Net Operating Income,-7947302,-6664439,5453404,-17405529,-11550652
MaineGeneral Medical Center Augusta,Total Non-Operating Revenue,451951,9521054,-8700193,3177282,2022401
MaineGeneral Medical Center Augusta,Total Investment Income,913129,12282505,7914189,-408359,1380170
MaineGeneral Medical Center Augusta,Interest and Dividends,1316436,2562544,2580836,862867,543653
MaineGeneral Medical Center Augusta,Realized Gains/Losses on Sales of Securities,-403307,9719961,5333353,-1271226,836517
MaineGeneral Medical Center Augusta,Permanently Impaired Security Write Downs,,,,,
MaineGeneral Medical Center Augusta,Gains/Losses on Joint Ventures/Equity Investments,,,,,
MaineGeneral Medical Center Augusta,Permanently Impaired Writedowns of Other Assets,,,,,
MaineGeneral Medical Center Augusta,"Other Non Operating Revenues (Gifts, Bequests,",-461178,-2761451,-16614382,3585641,642231
MaineGeneral Medical Center Augusta,Excess of Revenue Over Expenses,-7495351,2856615,-3246789,-14228247,-9528251
MaineGeneral Medical Center Augusta,Extraordinary Gains/Losses,,,,,
MaineGeneral Medical Center Augusta,Total Surplus/Deficit,-7495351,2856615,-3246789,-14228247,-9528251
MaineGeneral Medical Center Augusta,Total Change in Unrestricted Net Assets,-24241544,25027833,-11567829,-12615992,-13182153
MaineGeneral Medical Center Augusta,Net Assets Released for Restrictions - Capital,454488,128919,138260,1537731,342755
MaineGeneral Medical Center Augusta,Unrealized Gains/Losses on Investments,-679383,2047676,-3521527,-73286,83846
MaineGeneral Medical Center Augusta,Minimum Pension Liability Adjustment,-13521298,14867522,-937773,7147810,-108281
MaineGeneral Medical Center Augusta,Transfers from/To Affiliates,-3000000,5127101,-4000000,-7000000,-3972222
MaineGeneral Medical Center Augusta,Mergers,,,,,
MaineGeneral Medical Center Augusta,Consolidations with Support Organizations,,,,,
MaineGeneral Medical Center Augusta,Other Changes,,,,,
Mid Coast Hospital,Total Current Assets,62649542,69782821,62737684,63932355,54755495
Mid Coast Hospital,Cash and Investments,21458233,1239113,3828813,1489886,1643142
Mid Coast Hospital,Current Assets Whose Use is Limited,,,,,
Mid Coast Hospital,Net Patient Accounts Receivable,32612983,43820849,31586045,32107914,30515920
Mid Coast Hospital,Due From Affiliates,866022,11399264,13941243,10093716,10281379
Mid Coast Hospital,Third Party Settlements,,,7491450,5905138,7029523
Mid Coast Hospital,Other Accounts Receivable,,,,,
Mid Coast Hospital,Inventory,3637759,3581419,2844444,3062742,2553252
Mid Coast Hospital,Other Current Assets,4074545,9742176,3045689,11272959,2732279
Mid Coast Hospital,Total Non-Current Assets,144346675,126988556,70262155,69036075,70663991
Mid Coast Hospital,Trustee Held Investments,,,,,
Mid Coast Hospital,Board Designated & Undesignated Investments,60609876,63826293,5527964,5015835,5953412
Mid Coast Hospital,Due from Affiliates,1145437,,,,
Mid Coast Hospital,Investment in Affiliates,,,,,
Mid Coast Hospital,Other Non-Current Assets,21874362,298736,294858,298736,286676
Mid Coast Hospital,"Gross Property, Plant and Equipment (PP&E)",149547145,156217310,164646686,170774608,178171575
Mid Coast Hospital,Accumulated Deprecation,88830145,93353783,100207353,107053104,113747672
Mid Coast Hospital,"Net Property, Plant and Equipment (PP&E)",60717000,62863527,64439333,63721504,64423903
Mid Coast Hospital,Total Unrestricted Assets,206996217,196771377,132999839,132968430,125419486
Mid Coast Hospital,Total Current Liabilities,30315112,32270974,32169540,37435727,29483180
Mid Coast Hospital,Current Long Term Debt (LTD),3291676,3291676,3291676,3291676,3291676
Mid Coast Hospital,Accounts Payable Plus Accrued Expenses,24582453,20323339,16207106,28449303,19450402
Mid Coast Hospital,Estimated Third Party Settlements,1087918,1112228,1696582,1410981,1712637
Mid Coast Hospital,Due to Affiliates,1353065,6542633,10075274,3410910,4168287
Mid Coast Hospital,Other Current Liabilities,,1001098,898902,872857,860178
Mid Coast Hospital,Total Non-Current Liabilities,59255624,17982664,13123278,9875454,6611891
Mid Coast Hospital,Long Term Debt (LTD),19624621,16351999,13079376,9875454,6611891
Mid Coast Hospital,Estimated Third Party Settlements,,,,,
Mid Coast Hospital,Due to Affiliate,,,,,
Mid Coast Hospital,Self Insurance Fund,,,,,
Mid Coast Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Mid Coast Hospital,Other Non-Current Liabilities,39631003,1630665,43902,,
Mid Coast Hospital,Fund Balance Unrestricted,117425481,146517739,87707021,85657249,89324415
Mid Coast Hospital,Total Liabilities and Equity,206996217,196771377,132999839,132968430,125419486
Mid Coast Hospital,Total Restricted Assets,26206539,30369962,26057033,28923327,29892724
Mid Coast Hospital,Cash and Investments,26089808,30369962,26057033,28923327,29892724
Mid Coast Hospital,Receivables,116731,,,,
Mid Coast Hospital,Other Assets,,,,,
Mid Coast Hospital,Total Restricted Liabilities and Equity,26206539,30369962,26057033,28923327,29892724
Mid Coast Hospital,Total Restricted Fund Balance,26206539,30369962,26057033,28923327,29892724
Mid Coast Hospital,Total Liabilities,,,,,
Mid Coast Hospital,Temporarily Restricted Net Assets,17776682,21821695,17466523,20225133,21188546
Mid Coast Hospital,Permanently Restricted Net Assets,8429857,8548267,8590510,8698194,8704178
Mid Coast Hospital,Total Gross Patient Service Revenue,461073569,507146148,536035330,626572488,697106227
Mid Coast Hospital,Gross Inpatient Service Revenue,128656453,132818552,150567449,171312282,185258674
Mid Coast Hospital,Gross Outpatient Service Revenue,332417116,374327596,385467881,455260206,511847553
Mid Coast Hospital,Free Care (Charity Care),2823586,2577321,2456821,3927672,5495758
Mid Coast Hospital,Bad Debt (Provision for Bad Debt),19535426,20990277,6051112,14518719,12486547
Mid Coast Hospital,Contractuals,257224151,273522185,313885946,367681828,414948667
Mid Coast Hospital,Changes in Prior Year Estimated/Final Settlements,428000,70000,,,
Mid Coast Hospital,Net Patient Service Revenue,181062406,209986365,213641451,240444269,264175255
Mid Coast Hospital,Other Operating Revenue,16954272,14928712,9575142,9574606,6892372
Mid Coast Hospital,Total Operating Revenue,198016678,224915077,223216593,250018875,271067627
Mid Coast Hospital,Total Operating Expenses,215124582,220139455,243609789,255672744,269717611
Mid Coast Hospital,Deprecation and Amoritization,6842635,7113519,8636380,9011707,6713621
Mid Coast Hospital,Interest,832136,676110,598758,496149,390064
Mid Coast Hospital,Advertising Expenses,177262,,14057,23854,9441
Mid Coast Hospital,Allowed Advertising Expenses,,,,,
Mid Coast Hospital,Non-Allowed Advertising Expenses,177262,,14057,23854,9441
Mid Coast Hospital,Salaries and Benefits,122817005,125764737,124721613,135177029,140592812
Mid Coast Hospital,Other Operating Expenses,84455544,86585089,109638981,110964005,122011673
Mid Coast Hospital,Net Operating Income,-17107904,4775622,-20393196,-5653869,1350016
Mid Coast Hospital,Total Non-Operating Revenue,6074770,3828338,9037553,627985,667990
Mid Coast Hospital,Total Investment Income,5956331,3427935,8998970,422833,662969
Mid Coast Hospital,Interest and Dividends,2366436,3427935,4080146,392690,608701
Mid Coast Hospital,Realized Gains/Losses on Sales of Securities,3589895,,4918824,30143,54268
Mid Coast Hospital,Permanently Impaired Security Write Downs,,,,,
Mid Coast Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Mid Coast Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Mid Coast Hospital,"Other Non Operating Revenues (Gifts, Bequests,",118439,400403,38583,205152,5021
Mid Coast Hospital,Excess of Revenue Over Expenses,-11033134,8603960,-11355643,-5025884,2018006
Mid Coast Hospital,Extraordinary Gains/Losses,,,,,
Mid Coast Hospital,Total Surplus/Deficit,-11033134,8603960,-11355643,-5025884,2018006
Mid Coast Hospital,Total Change in Unrestricted Net Assets,-9466267,29092232,-58810718,-2049773,3667166
Mid Coast Hospital,Net Assets Released for Restrictions - Capital,,,,,
Mid Coast Hospital,Unrealized Gains/Losses on Investments,1566867,4372583,-23342358,1001111,550693
Mid Coast Hospital,Minimum Pension Liability Adjustment,,,,,
Mid Coast Hospital,Transfers from/To Affiliates,,16115689,-24112717,1975000,1098467
Mid Coast Hospital,Mergers,,,,,
Mid Coast Hospital,Consolidations with Support Organizations,,,,,
Mid Coast Hospital,Other Changes,,,,,
Millinocket Regional Hospital,Total Current Assets,13263627,9814416,9371825,5409367,6610686
Millinocket Regional Hospital,Cash and Investments,8529416,5688176,4964510,1467086,820221
Millinocket Regional Hospital,Current Assets Whose Use is Limited,145954,151753,149059,1502,1502
Millinocket Regional Hospital,Net Patient Accounts Receivable,2577164,2296546,3074308,2983778,3770056
Millinocket Regional Hospital,Due From Affiliates,,,63867,1617,19938
Millinocket Regional Hospital,Third Party Settlements,70310,94902,,91589,971213
Millinocket Regional Hospital,Other Accounts Receivable,229744,293938,20660,11700,47287
Millinocket Regional Hospital,Inventory,644436,623723,742139,584921,702658
Millinocket Regional Hospital,Other Current Assets,1066603,665378,357282,267174,277811
Millinocket Regional Hospital,Total Non-Current Assets,7575046,7602307,8866198,8977336,8878780
Millinocket Regional Hospital,Trustee Held Investments,220836,71975,,,
Millinocket Regional Hospital,Board Designated & Undesignated Investments,1738512,2078361,2852798,3208109,1766225
Millinocket Regional Hospital,Due from Affiliates,,,,,
Millinocket Regional Hospital,Investment in Affiliates,1203573,199315,207141,142798,135766
Millinocket Regional Hospital,Other Non-Current Assets,211945,211945,480000,650615,584266
Millinocket Regional Hospital,"Gross Property, Plant and Equipment (PP&E)",20185980,22341908,23005741,23004720,25115363
Millinocket Regional Hospital,Accumulated Deprecation,15985800,17301197,17679482,18028906,18722840
Millinocket Regional Hospital,"Net Property, Plant and Equipment (PP&E)",4200180,5040711,5326259,4975814,6392523
Millinocket Regional Hospital,Total Unrestricted Assets,20838673,17416723,18238023,14386703,15489466
Millinocket Regional Hospital,Total Current Liabilities,12977593,5855778,5737726,3019627,6291266
Millinocket Regional Hospital,Current Long Term Debt (LTD),94885,152381,417202,373265,387435
Millinocket Regional Hospital,Accounts Payable Plus Accrued Expenses,3647668,2879168,2975885,2646362,5903831
Millinocket Regional Hospital,Estimated Third Party Settlements,6712790,2594274,2064666,,
Millinocket Regional Hospital,Due to Affiliates,,,,,
Millinocket Regional Hospital,Other Current Liabilities,2522250,229955,279973,,
Millinocket Regional Hospital,Total Non-Current Liabilities,3110201,3083166,3517640,3303494,2897849
Millinocket Regional Hospital,Long Term Debt (LTD),3110201,3083166,3037640,2948494,2828549
Millinocket Regional Hospital,Estimated Third Party Settlements,,,,,
Millinocket Regional Hospital,Due to Affiliate,,,,,
Millinocket Regional Hospital,Self Insurance Fund,,,,,
Millinocket Regional Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Millinocket Regional Hospital,Other Non-Current Liabilities,,,480000,355000,69300
Millinocket Regional Hospital,Fund Balance Unrestricted,4750879,8477779,8982657,8063582,6300351
Millinocket Regional Hospital,Total Liabilities and Equity,20838673,17416723,18238023,14386703,15489466
Millinocket Regional Hospital,Total Restricted Assets,204797,280886,248677,1299532,921422
Millinocket Regional Hospital,Cash and Investments,197977,274066,248677,1299532,921422
Millinocket Regional Hospital,Receivables,6820,6820,,,
Millinocket Regional Hospital,Other Assets,,,,,
